episode,stage,distance_start,distance_end,jelly_type,jelly_id,quantity,density,speed
epM01,9001,1,2,ID_4338,4338,155,155.0,1000
epM01,9001,1,2,Blast Jelly,403,43,43.0,1000
epM01,9001,1,2,Bear Party,407,43,43.0,1000
epM01,9001,1,2,Magnet Jelly,405,43,43.0,1000
epM01,9001,1,2,Giant Jelly,404,43,43.0,1000
epM01,9001,1,2,Coin Party,406,43,43.0,1000
epM01,9002,257,258,ID_4338,4338,155,155.0,1200
epM01,9002,257,258,Blast Jelly,403,43,43.0,1200
epM01,9002,257,258,Bear Party,407,43,43.0,1200
epM01,9002,257,258,Magnet Jelly,405,43,43.0,1200
epM01,9002,257,258,Giant Jelly,404,43,43.0,1200
epM01,9002,257,258,Coin Party,406,43,43.0,1200
epM01,10001,513,514,ID_4338,4338,155,155.0,1300
epM01,10001,513,514,Blast Jelly,403,43,43.0,1300
epM01,10001,513,514,Bear Party,407,43,43.0,1300
epM01,10001,513,514,Magnet Jelly,405,43,43.0,1300
epM01,10001,513,514,Giant Jelly,404,43,43.0,1300
epM01,10001,513,514,Coin Party,406,43,43.0,1300
epM01,1,769,770,Small Health,408,173,173.0,870
epM01,1,769,770,Bonus Time,402,35,35.0,870
epM01,1,769,770,ID_4215,4215,120,120.0,870
epM01,1,769,770,ID_4234,4234,68,68.0,870
epM01,1,769,770,Blast Jelly,403,10,10.0,870
epM01,1,769,770,ID_4119,4119,8,8.0,870
epM01,11,1281,1282,ID_4338,4338,155,155.0,900
epM01,11,1281,1282,Blast Jelly,403,43,43.0,900
epM01,11,1281,1282,Bear Party,407,43,43.0,900
epM01,11,1281,1282,Magnet Jelly,405,43,43.0,900
epM01,11,1281,1282,Giant Jelly,404,43,43.0,900
epM01,11,1281,1282,Coin Party,406,43,43.0,900
epM01,12,1537,1538,Small Health,408,173,173.0,920
epM01,12,1537,1538,Bonus Time,402,35,35.0,920
epM01,12,1537,1538,ID_4215,4215,120,120.0,920
epM01,12,1537,1538,ID_4234,4234,68,68.0,920
epM01,12,1537,1538,Blast Jelly,403,10,10.0,920
epM01,12,1537,1538,ID_4119,4119,8,8.0,920
epM01,14,2049,2050,Small Health,408,173,173.0,920
epM01,14,2049,2050,Bonus Time,402,35,35.0,920
epM01,14,2049,2050,ID_4215,4215,120,120.0,920
epM01,14,2049,2050,ID_4234,4234,68,68.0,920
epM01,14,2049,2050,Blast Jelly,403,10,10.0,920
epM01,14,2049,2050,ID_4119,4119,8,8.0,920
epM01,14,2050,2051,ID_4338,4338,155,155.0,920
epM01,14,2050,2051,Blast Jelly,403,43,43.0,920
epM01,14,2050,2051,Bear Party,407,43,43.0,920
epM01,14,2050,2051,Magnet Jelly,405,43,43.0,920
epM01,14,2050,2051,Giant Jelly,404,43,43.0,920
epM01,14,2050,2051,Coin Party,406,43,43.0,920
epM01,15,2305,2306,Small Health,408,173,173.0,920
epM01,15,2305,2306,Bonus Time,402,35,35.0,920
epM01,15,2305,2306,ID_4215,4215,120,120.0,920
epM01,15,2305,2306,ID_4234,4234,68,68.0,920
epM01,15,2305,2306,Blast Jelly,403,10,10.0,920
epM01,15,2305,2306,ID_4119,4119,8,8.0,920
epM01,16,2561,2562,Small Health,408,173,173.0,920
epM01,16,2561,2562,Bonus Time,402,35,35.0,920
epM01,16,2561,2562,ID_4215,4215,120,120.0,920
epM01,16,2561,2562,ID_4234,4234,68,68.0,920
epM01,16,2561,2562,Blast Jelly,403,10,10.0,920
epM01,16,2561,2562,ID_4119,4119,8,8.0,920
epM01,17,2817,2818,Small Health,408,173,173.0,900
epM01,17,2817,2818,Bonus Time,402,35,35.0,900
epM01,17,2817,2818,ID_4215,4215,120,120.0,900
epM01,17,2817,2818,ID_4234,4234,68,68.0,900
epM01,17,2817,2818,Blast Jelly,403,10,10.0,900
epM01,17,2817,2818,ID_4119,4119,8,8.0,900
epM01,18,3073,3074,Small Health,408,173,173.0,920
epM01,18,3073,3074,Bonus Time,402,35,35.0,920
epM01,18,3073,3074,ID_4215,4215,120,120.0,920
epM01,18,3073,3074,ID_4234,4234,68,68.0,920
epM01,18,3073,3074,Blast Jelly,403,10,10.0,920
epM01,18,3073,3074,ID_4119,4119,8,8.0,920
epM01,18,3074,3075,ID_4338,4338,155,155.0,920
epM01,18,3074,3075,Blast Jelly,403,43,43.0,920
epM01,18,3074,3075,Bear Party,407,43,43.0,920
epM01,18,3074,3075,Magnet Jelly,405,43,43.0,920
epM01,18,3074,3075,Giant Jelly,404,43,43.0,920
epM01,18,3074,3075,Coin Party,406,43,43.0,920
epM01,19,3329,3330,Small Health,408,173,173.0,920
epM01,19,3329,3330,Bonus Time,402,35,35.0,920
epM01,19,3329,3330,ID_4215,4215,120,120.0,920
epM01,19,3329,3330,ID_4234,4234,68,68.0,920
epM01,19,3329,3330,Blast Jelly,403,10,10.0,920
epM01,19,3329,3330,ID_4119,4119,8,8.0,920
epM01,2,3585,3586,ID_4338,4338,155,155.0,870
epM01,2,3585,3586,Blast Jelly,403,43,43.0,870
epM01,2,3585,3586,Bear Party,407,43,43.0,870
epM01,2,3585,3586,Magnet Jelly,405,43,43.0,870
epM01,2,3585,3586,Giant Jelly,404,43,43.0,870
epM01,2,3585,3586,Coin Party,406,43,43.0,870
epM01,20,3841,3842,Small Health,408,173,173.0,900
epM01,20,3841,3842,Bonus Time,402,35,35.0,900
epM01,20,3841,3842,ID_4215,4215,120,120.0,900
epM01,20,3841,3842,ID_4234,4234,68,68.0,900
epM01,20,3841,3842,Blast Jelly,403,10,10.0,900
epM01,20,3841,3842,ID_4119,4119,8,8.0,900
epM01,21,4097,4098,Small Health,408,173,173.0,900
epM01,21,4097,4098,Bonus Time,402,35,35.0,900
epM01,21,4097,4098,ID_4215,4215,120,120.0,900
epM01,21,4097,4098,ID_4234,4234,68,68.0,900
epM01,21,4097,4098,Blast Jelly,403,10,10.0,900
epM01,21,4097,4098,ID_4119,4119,8,8.0,900
epM01,22,4353,4354,Small Health,408,173,173.0,930
epM01,22,4353,4354,Bonus Time,402,35,35.0,930
epM01,22,4353,4354,ID_4215,4215,120,120.0,930
epM01,22,4353,4354,ID_4234,4234,68,68.0,930
epM01,22,4353,4354,Blast Jelly,403,10,10.0,930
epM01,22,4353,4354,ID_4119,4119,8,8.0,930
epM01,23,4609,4610,Small Health,408,173,173.0,930
epM01,23,4609,4610,Bonus Time,402,35,35.0,930
epM01,23,4609,4610,ID_4215,4215,120,120.0,930
epM01,23,4609,4610,ID_4234,4234,68,68.0,930
epM01,23,4609,4610,Blast Jelly,403,10,10.0,930
epM01,23,4609,4610,ID_4119,4119,8,8.0,930
epM01,24,4865,4866,Small Health,408,173,173.0,950
epM01,24,4865,4866,Bonus Time,402,35,35.0,950
epM01,24,4865,4866,ID_4215,4215,120,120.0,950
epM01,24,4865,4866,ID_4234,4234,68,68.0,950
epM01,24,4865,4866,Blast Jelly,403,10,10.0,950
epM01,24,4865,4866,ID_4119,4119,8,8.0,950
epM01,26,5377,5378,Small Health,408,173,173.0,950
epM01,26,5377,5378,Bonus Time,402,35,35.0,950
epM01,26,5377,5378,ID_4215,4215,120,120.0,950
epM01,26,5377,5378,ID_4234,4234,68,68.0,950
epM01,26,5377,5378,Blast Jelly,403,10,10.0,950
epM01,26,5377,5378,ID_4119,4119,8,8.0,950
epM01,27,5633,5634,Small Health,408,173,173.0,950
epM01,27,5633,5634,Bonus Time,402,35,35.0,950
epM01,27,5633,5634,ID_4215,4215,120,120.0,950
epM01,27,5633,5634,ID_4234,4234,68,68.0,950
epM01,27,5633,5634,Blast Jelly,403,10,10.0,950
epM01,27,5633,5634,ID_4119,4119,8,8.0,950
epM01,29,6145,6146,Small Health,408,173,173.0,1000
epM01,29,6145,6146,Bonus Time,402,35,35.0,1000
epM01,29,6145,6146,ID_4215,4215,120,120.0,1000
epM01,29,6145,6146,ID_4234,4234,68,68.0,1000
epM01,29,6145,6146,Blast Jelly,403,10,10.0,1000
epM01,29,6145,6146,ID_4119,4119,8,8.0,1000
epM01,3,6401,6402,Small Health,408,173,173.0,870
epM01,3,6401,6402,Bonus Time,402,35,35.0,870
epM01,3,6401,6402,ID_4215,4215,120,120.0,870
epM01,3,6401,6402,ID_4234,4234,68,68.0,870
epM01,3,6401,6402,Blast Jelly,403,10,10.0,870
epM01,3,6401,6402,ID_4119,4119,8,8.0,870
epM01,3,6402,6403,ID_4338,4338,155,155.0,870
epM01,3,6402,6403,Blast Jelly,403,43,43.0,870
epM01,3,6402,6403,Bear Party,407,43,43.0,870
epM01,3,6402,6403,Magnet Jelly,405,43,43.0,870
epM01,3,6402,6403,Giant Jelly,404,43,43.0,870
epM01,3,6402,6403,Coin Party,406,43,43.0,870
epM01,31,6913,6914,Small Health,408,173,173.0,1100
epM01,31,6913,6914,Bonus Time,402,35,35.0,1100
epM01,31,6913,6914,ID_4215,4215,120,120.0,1100
epM01,31,6913,6914,ID_4234,4234,68,68.0,1100
epM01,31,6913,6914,Blast Jelly,403,10,10.0,1100
epM01,31,6913,6914,ID_4119,4119,8,8.0,1100
epM01,32,7169,7170,Small Health,408,173,173.0,950
epM01,32,7169,7170,Bonus Time,402,35,35.0,950
epM01,32,7169,7170,ID_4215,4215,120,120.0,950
epM01,32,7169,7170,ID_4234,4234,68,68.0,950
epM01,32,7169,7170,Blast Jelly,403,10,10.0,950
epM01,32,7169,7170,ID_4119,4119,8,8.0,950
epM01,33,7425,7426,Small Health,408,173,173.0,1100
epM01,33,7425,7426,Bonus Time,402,35,35.0,1100
epM01,33,7425,7426,ID_4215,4215,120,120.0,1100
epM01,33,7425,7426,ID_4234,4234,68,68.0,1100
