episode,stage,distance_start,distance_end,jelly_type,jelly_id,quantity,density,speed
epN03,1,2305,2306,Small Health,408,173,173.0,1100
epN03,1,2305,2306,Bonus Time,402,35,35.0,1100
epN03,1,2305,2306,ID_4215,4215,120,120.0,1100
epN03,1,2305,2306,ID_4234,4234,68,68.0,1100
epN03,1,2305,2306,Blast Jelly,403,10,10.0,1100
epN03,1,2305,2306,ID_4119,4119,8,8.0,1100
epN03,1,2317,2318,ID_4338,4338,155,155.0,1100
epN03,1,2317,2318,Blast Jelly,403,43,43.0,1100
epN03,1,2317,2318,Bear Party,407,43,43.0,1100
epN03,1,2317,2318,Magnet Jelly,405,43,43.0,1100
epN03,1,2317,2318,Giant Jelly,404,43,43.0,1100
epN03,1,2317,2318,Coin Party,406,43,43.0,1100
epN03,2,2561,2562,Small Health,408,173,173.0,1150
epN03,2,2561,2562,Bonus Time,402,35,35.0,1150
epN03,2,2561,2562,ID_4215,4215,120,120.0,1150
epN03,2,2561,2562,ID_4234,4234,68,68.0,1150
epN03,2,2561,2562,Blast Jelly,403,10,10.0,1150
epN03,2,2561,2562,ID_4119,4119,8,8.0,1150
epN03,2,2580,2581,ID_4338,4338,155,155.0,1150
epN03,2,2580,2581,Blast Jelly,403,43,43.0,1150
epN03,2,2580,2581,Bear Party,407,43,43.0,1150
epN03,2,2580,2581,Magnet Jelly,405,43,43.0,1150
epN03,2,2580,2581,Giant Jelly,404,43,43.0,1150
epN03,2,2580,2581,Coin Party,406,43,43.0,1150
epN03,3,2817,2818,Small Health,408,173,173.0,1200
epN03,3,2817,2818,Bonus Time,402,35,35.0,1200
epN03,3,2817,2818,ID_4215,4215,120,120.0,1200
epN03,3,2817,2818,ID_4234,4234,68,68.0,1200
epN03,3,2817,2818,Blast Jelly,403,10,10.0,1200
epN03,3,2817,2818,ID_4119,4119,8,8.0,1200
epN03,3,2848,2849,ID_4338,4338,155,155.0,1200
epN03,3,2848,2849,Blast Jelly,403,43,43.0,1200
epN03,3,2848,2849,Bear Party,407,43,43.0,1200
epN03,3,2848,2849,Magnet Jelly,405,43,43.0,1200
epN03,3,2848,2849,Giant Jelly,404,43,43.0,1200
epN03,3,2848,2849,Coin Party,406,43,43.0,1200
epN03,4,3073,3074,Small Health,408,173,173.0,1250
epN03,4,3073,3074,Bonus Time,402,35,35.0,1250
epN03,4,3073,3074,ID_4215,4215,120,120.0,1250
epN03,4,3073,3074,ID_4234,4234,68,68.0,1250
epN03,4,3073,3074,Blast Jelly,403,10,10.0,1250
epN03,4,3073,3074,ID_4119,4119,8,8.0,1250
epN03,4,3106,3107,ID_4338,4338,155,155.0,1250
epN03,4,3106,3107,Blast Jelly,403,43,43.0,1250
epN03,4,3106,3107,Bear Party,407,43,43.0,1250
epN03,4,3106,3107,Magnet Jelly,405,43,43.0,1250
epN03,4,3106,3107,Giant Jelly,404,43,43.0,1250
epN03,4,3106,3107,Coin Party,406,43,43.0,1250
epN03,5,3329,3330,Small Health,408,173,173.0,1300
epN03,5,3329,3330,Bonus Time,402,35,35.0,1300
epN03,5,3329,3330,ID_4215,4215,120,120.0,1300
epN03,5,3329,3330,ID_4234,4234,68,68.0,1300
epN03,5,3329,3330,Blast Jelly,403,10,10.0,1300
epN03,5,3329,3330,ID_4119,4119,8,8.0,1300
epN03,5,3370,3371,ID_4338,4338,155,155.0,1300
epN03,5,3370,3371,Blast Jelly,403,43,43.0,1300
epN03,5,3370,3371,Bear Party,407,43,43.0,1300
epN03,5,3370,3371,Magnet Jelly,405,43,43.0,1300
epN03,5,3370,3371,Giant Jelly,404,43,43.0,1300
epN03,5,3370,3371,Coin Party,406,43,43.0,1300
epN03,6,3585,3586,Small Health,408,173,173.0,1350
epN03,6,3585,3586,Bonus Time,402,35,35.0,1350
epN03,6,3585,3586,ID_4215,4215,120,120.0,1350
epN03,6,3585,3586,ID_4234,4234,68,68.0,1350
epN03,6,3585,3586,Blast Jelly,403,10,10.0,1350
epN03,6,3585,3586,ID_4119,4119,8,8.0,1350
epN03,6,3632,3633,ID_4338,4338,155,155.0,1350
epN03,6,3632,3633,Blast Jelly,403,43,43.0,1350
epN03,6,3632,3633,Bear Party,407,43,43.0,1350
epN03,6,3632,3633,Magnet Jelly,405,43,43.0,1350
epN03,6,3632,3633,Giant Jelly,404,43,43.0,1350
epN03,6,3632,3633,Coin Party,406,43,43.0,1350
epN03,7,3841,3842,Small Health,408,173,173.0,1400
epN03,7,3841,3842,Bonus Time,402,35,35.0,1400
epN03,7,3841,3842,ID_4215,4215,120,120.0,1400
epN03,7,3841,3842,ID_4234,4234,68,68.0,1400
epN03,7,3841,3842,Blast Jelly,403,10,10.0,1400
epN03,7,3841,3842,ID_4119,4119,8,8.0,1400
epN03,7,3899,3900,ID_4338,4338,155,155.0,1400
epN03,7,3899,3900,Blast Jelly,403,43,43.0,1400
epN03,7,3899,3900,Bear Party,407,43,43.0,1400
epN03,7,3899,3900,Magnet Jelly,405,43,43.0,1400
epN03,7,3899,3900,Giant Jelly,404,43,43.0,1400
epN03,7,3899,3900,Coin Party,406,43,43.0,1400
epN03,8,4097,4098,Small Health,408,173,173.0,1500
epN03,8,4097,4098,Bonus Time,402,35,35.0,1500
epN03,8,4097,4098,ID_4215,4215,120,120.0,1500
epN03,8,4097,4098,ID_4234,4234,68,68.0,1500
epN03,8,4097,4098,Blast Jelly,403,10,10.0,1500
epN03,8,4097,4098,ID_4119,4119,8,8.0,1500
