episode,stage,distance_start,distance_end,jelly_type,jelly_id,quantity,density,speed
epS03,2,2561,2562,Small Health,408,173,173.0,870
epS03,2,2561,2562,Bonus Time,402,35,35.0,870
epS03,2,2561,2562,ID_4215,4215,120,120.0,870
epS03,2,2561,2562,ID_4234,4234,68,68.0,870
epS03,2,2561,2562,Blast Jelly,403,10,10.0,870
epS03,2,2561,2562,ID_4119,4119,8,8.0,870
epS03,2,2817,2818,Small Health,408,173,173.0,870
epS03,2,2817,2818,Bonus Time,402,35,35.0,870
epS03,2,2817,2818,ID_4215,4215,120,120.0,870
epS03,2,2817,2818,ID_4234,4234,68,68.0,870
epS03,2,2817,2818,Blast Jelly,403,10,10.0,870
epS03,2,2817,2818,ID_4119,4119,8,8.0,870
epS03,3,3073,3074,Small Health,408,173,173.0,1000
epS03,3,3073,3074,Bonus Time,402,35,35.0,1000
epS03,3,3073,3074,ID_4215,4215,120,120.0,1000
epS03,3,3073,3074,ID_4234,4234,68,68.0,1000
epS03,3,3073,3074,Blast Jelly,403,10,10.0,1000
epS03,3,3073,3074,ID_4119,4119,8,8.0,1000
epS03,3,3329,3330,Small Health,408,173,173.0,1000
epS03,3,3329,3330,Bonus Time,402,35,35.0,1000
epS03,3,3329,3330,ID_4215,4215,120,120.0,1000
epS03,3,3329,3330,ID_4234,4234,68,68.0,1000
epS03,3,3329,3330,Blast Jelly,403,10,10.0,1000
epS03,3,3329,3330,ID_4119,4119,8,8.0,1000
epS03,4,3585,3586,Small Health,408,173,173.0,1050
epS03,4,3585,3586,Bonus Time,402,35,35.0,1050
epS03,4,3585,3586,ID_4215,4215,120,120.0,1050
epS03,4,3585,3586,ID_4234,4234,68,68.0,1050
epS03,4,3585,3586,Blast Jelly,403,10,10.0,1050
epS03,4,3585,3586,ID_4119,4119,8,8.0,1050
epS03,4,3841,3842,Small Health,408,173,173.0,1050
epS03,4,3841,3842,Bonus Time,402,35,35.0,1050
epS03,4,3841,3842,ID_4215,4215,120,120.0,1050
epS03,4,3841,3842,ID_4234,4234,68,68.0,1050
epS03,4,3841,3842,Blast Jelly,403,10,10.0,1050
epS03,4,3841,3842,ID_4119,4119,8,8.0,1050
epS03,5,4097,4098,Small Health,408,173,173.0,1100
epS03,5,4097,4098,Bonus Time,402,35,35.0,1100
epS03,5,4097,4098,ID_4215,4215,120,120.0,1100
epS03,5,4097,4098,ID_4234,4234,68,68.0,1100
epS03,5,4097,4098,Blast Jelly,403,10,10.0,1100
epS03,5,4097,4098,ID_4119,4119,8,8.0,1100
epS03,5,4353,4354,Small Health,408,173,173.0,1100
epS03,5,4353,4354,Bonus Time,402,35,35.0,1100
epS03,5,4353,4354,ID_4215,4215,120,120.0,1100
epS03,5,4353,4354,ID_4234,4234,68,68.0,1100
epS03,5,4353,4354,Blast Jelly,403,10,10.0,1100
epS03,5,4353,4354,ID_4119,4119,8,8.0,1100
epS03,6,4609,4610,Small Health,408,173,173.0,1150
epS03,6,4609,4610,Bonus Time,402,35,35.0,1150
epS03,6,4609,4610,ID_4215,4215,120,120.0,1150
epS03,6,4609,4610,ID_4234,4234,68,68.0,1150
epS03,6,4609,4610,Blast Jelly,403,10,10.0,1150
epS03,6,4609,4610,ID_4119,4119,8,8.0,1150
epS03,6,4865,4866,Small Health,408,173,173.0,1150
epS03,6,4865,4866,Bonus Time,402,35,35.0,1150
epS03,6,4865,4866,ID_4215,4215,120,120.0,1150
epS03,6,4865,4866,ID_4234,4234,68,68.0,1150
epS03,6,4865,4866,Blast Jelly,403,10,10.0,1150
epS03,6,4865,4866,ID_4119,4119,8,8.0,1150
epS03,7,5121,5122,Small Health,408,173,173.0,1200
epS03,7,5121,5122,Bonus Time,402,35,35.0,1200
epS03,7,5121,5122,ID_4215,4215,120,120.0,1200
epS03,7,5121,5122,ID_4234,4234,68,68.0,1200
epS03,7,5121,5122,Blast Jelly,403,10,10.0,1200
epS03,7,5121,5122,ID_4119,4119,8,8.0,1200
epS03,7,5377,5378,Small Health,408,173,173.0,1200
epS03,7,5377,5378,Bonus Time,402,35,35.0,1200
epS03,7,5377,5378,ID_4215,4215,120,120.0,1200
epS03,7,5377,5378,ID_4234,4234,68,68.0,1200
epS03,7,5377,5378,Blast Jelly,403,10,10.0,1200
epS03,7,5377,5378,ID_4119,4119,8,8.0,1200
epS03,8,5633,5634,Small Health,408,173,173.0,1300
epS03,8,5633,5634,Bonus Time,402,35,35.0,1300
epS03,8,5633,5634,ID_4215,4215,120,120.0,1300
epS03,8,5633,5634,ID_4234,4234,68,68.0,1300
epS03,8,5633,5634,Blast Jelly,403,10,10.0,1300
epS03,8,5633,5634,ID_4119,4119,8,8.0,1300
epS03,8,5889,5890,Small Health,408,173,173.0,1300
epS03,8,5889,5890,Bonus Time,402,35,35.0,1300
epS03,8,5889,5890,ID_4215,4215,120,120.0,1300
epS03,8,5889,5890,ID_4234,4234,68,68.0,1300
epS03,8,5889,5890,Blast Jelly,403,10,10.0,1300
epS03,8,5889,5890,ID_4119,4119,8,8.0,1300
