ability_group,ability_seq,distribution,max,min,prob,unit,_key
mC1,1004,UNIFORM,100,10,2,10,1
mC1,1022,UNIFORM,30,5,9,5,10
mC1,1023,EASY,30,5,6,5,11
mC2,1004,NORMAL,100,10,2,10,12
mC2,1005,HARD,100,10,4,10,13
mC2,1069,UNIFORM,500,200,6,20,14
mC2,1007,EASY,5,1,8,1,15
mC2,1095,NORMAL,20,10,7,2,16
mC2,1089,UNIFORM,500,200,3,20,17
mC2,1044,EASY,3,1,4,1,18
mC2,1062,NORMAL,50,10,5,5,19
mC1,1005,EASY,100,10,4,10,2
mC2,1120,HARD,20,10,2,2,20
mC2,1022,UNIFORM,30,5,9,5,21
mC2,1023,EASY,30,5,6,5,22
mB1,1004,NORMAL,100,10,2,10,23
mB1,1005,HARD,100,10,4,10,24
mB1,1069,UNIFORM,500,200,6,20,25
mB1,1007,EASY,5,1,8,1,26
mB1,1095,NORMAL,20,10,7,2,27
mB1,1089,HARD,500,200,3,20,28
mB1,1044,UNIFORM,3,1,4,1,29
mC1,1069,NORMAL,500,200,6,20,3
mB1,1062,UNIFORM,50,10,5,5,30
mB1,1120,EASY,20,10,2,2,31
mB1,1022,NORMAL,30,5,9,5,32
mB1,1023,UNIFORM,30,5,6,5,33
mB2,1004,EASY,100,10,2,10,34
mB2,1005,NORMAL,100,10,4,10,35
mB2,1069,HARD,500,200,6,20,36
mB2,1007,UNIFORM,5,1,8,1,37
mB2,1095,EASY,20,10,7,2,38
mB2,1089,NORMAL,500,200,3,20,39
mC1,1007,HARD,5,1,8,1,4
mB2,1044,HARD,3,1,4,1,40
mB2,1062,UNIFORM,50,10,5,5,41
mB2,1120,UNIFORM,20,10,2,2,42
mB2,1022,EASY,30,5,9,5,43
mB2,1023,NORMAL,30,5,6,5,44
mA1,1004,HARD,100,10,2,10,45
mA1,1005,UNIFORM,100,10,4,10,46
mA1,1069,EASY,500,200,6,20,47
mA1,1007,NORMAL,5,1,8,1,48
mA1,1095,UNIFORM,20,10,7,2,49
mC1,1095,UNIFORM,20,10,7,2,5
mA1,1089,EASY,500,200,3,20,50
mA1,1044,NORMAL,3,1,4,1,51
mA1,1062,HARD,50,10,5,5,52
mA1,1120,UNIFORM,20,10,2,2,53
mA1,1022,EASY,30,5,9,5,54
mA1,1023,UNIFORM,30,5,6,5,55
mA2,1004,EASY,100,10,2,10,56
mA2,1005,NORMAL,100,10,4,10,57
mA2,1069,HARD,500,200,6,20,58
mA2,1007,UNIFORM,5,1,8,1,59
mC1,1089,EASY,500,200,3,20,6
mA2,1095,EASY,20,10,7,2,60
mA2,1089,NORMAL,500,200,3,20,61
mA2,1044,HARD,3,1,4,1,62
mA2,1062,UNIFORM,50,10,5,5,63
mA2,1120,UNIFORM,20,10,2,2,64
mA2,1022,EASY,30,5,9,5,65
mA2,1023,NORMAL,30,5,6,5,66
mS1,1004,HARD,100,10,2,10,67
mS1,1005,UNIFORM,100,10,4,10,68
mS1,1069,EASY,500,200,6,20,69
mC1,1044,NORMAL,3,1,4,1,7
mS1,1007,NORMAL,5,1,8,1,70
mS1,1095,UNIFORM,20,10,7,2,71
mS1,1089,EASY,500,200,3,20,72
mS1,1044,NORMAL,3,1,4,1,73
mS1,1062,UNIFORM,50,10,5,5,74
mS1,1120,EASY,20,10,2,2,75
mS1,1022,NORMAL,30,5,9,5,76
mS1,1023,HARD,30,5,6,5,77
mS2,1004,UNIFORM,100,10,2,10,78
mS2,1005,EASY,100,10,4,10,79
mC1,1062,HARD,50,10,5,5,8
mS2,1069,NORMAL,500,200,6,20,80
mS2,1007,HARD,5,1,8,1,81
mS2,1095,UNIFORM,20,10,7,2,82
mS2,1089,UNIFORM,500,200,3,20,83
mS2,1044,EASY,3,1,4,1,84
mS2,1062,NORMAL,50,10,5,5,85
mS2,1120,HARD,20,10,2,2,86
mS2,1022,UNIFORM,30,5,9,5,87
mS2,1023,EASY,30,5,6,5,88
mC1,1120,UNIFORM,20,10,2,2,9
