endgame_fps_limit_high_diff,endgame_fps_limit_low_diff,ingame_fps_limit_high_diff,ingame_fps_limit_low_diff,_key
20,-20,30,-20,C2305
20,-20,30,-20,CONNECTIA
20,-20,30,-20,GT-I9158P
20,-20,30,-20,GT-S7500
20,-20,30,-20,GT-S7500L
20,-20,30,-20,HP7
20,-20,30,-20,HTC_D310n
20,-20,30,-20,IM-A770K
20,-20,30,-20,IM-A850K
20,-20,30,-20,IM-A870K
20,-20,30,-20,IM-A870L
20,-20,30,-20,IM-A870S
20,-20,30,-20,ITP-R208W
20,-20,30,-20,LG-E420
20,-20,30,-20,LG-SU870
20,-20,30,-20,LP078S
20,-20,30,-20,LegendX
20,-20,30,-20,LenovoA536
20,-20,30,-20,MID
20,-20,30,-20,MINI3
20,-20,30,-20,NEX_START7
20,-10,10,-5,SCH-SPECIAL
20,-20,30,-20,SEB-C8002-2
20,-20,30,-20,SHV-E250S
20,-20,30,-20,SHV-E500L
20,-20,30,-20,SHV-E500S
20,-20,30,-20,SHW-M460D
20,-20,30,-20,SM-N910U
20,-20,30,-20,SP0739B
5,-25,5,-5,Simulator x86_64
20,-20,30,-20,T80D
20,-20,30,-20,TX12D
20,-20,30,-20,Tab2A7-10F
20,-20,30,-20,bqAquaris5
20,-20,30,-20,i-mobilei-STYLE6
20,-20,30,-20,iris405+
20,-20,30,-20,iris500
20,-20,30,-20,muPAD10.1M
