MaxScenarioSet,MinScenarioSet,ProbabilityQuantity,SubTitle,platform_1,platform_2,platform_3,platform_4,_key
12,1,50,You will reunite with an old friend.,1,2,,,1
12,4,50,Prepare to embark on a journey.,19,20,,,10
12,11,50,"Even if the road ends, there is still a way.",21,22,,,11
12,3,35,Good things come to those who wait.,23,24,,,12
12,2,70,A lot can be achieved with a little sacrifice.,25,26,,,13
12,2,50,The power of the tiger rests within you.,27,28,,,14
12,3,50,Thoughts have power beyond measure.,29,30,,,15
5,3,50,The Yellow Bear will guide you.,31,32,,,16
5,3,50,The Pink Bear will guide you.,33,34,,,17
5,2,50,The Coins will guide you.,35,36,,,18
3,1,50,The Letters will guide you.,37,38,,,19
12,3,35,The end of your struggle is near.,3,4,,,2
3,1,50,The Jellies will guide you.,39,40,,,20
4,2,35,Fortune comes to those who smile.,41,42,,,21
12,1,35,The sea is calm.,43,44,,,22
12,2,35,Things are going to get hectic.,45,46,,,23
5,2,70,Take things slow.,47,48,,,24
12,6,50,He who runs after two hares will catch neither.,49,50,,,25
12,2,50,It's time to make a decision.,51,52,,,26
3,2,50,Don't look away now whatever you do.,53,54,,,27
4,2,50,Danger is lying in wait.,55,56,,,28
5,2,50,An unexpected visitor is coming your way.,57,58,,,29
12,3,70,Resist temptations.,5,6,,,3
12,6,50,Love is just around the corner.,59,60,,,30
12,3,50,Your enemy approaches.,61,62,,,31
4,2,35,You will be met by friendly faces.,63,64,,,32
12,3,35,You'll receive an unexpected gift.,65,66,,,33
12,3,35,Many friends will welcome you into their lives.,67,68,,,34
12,4,50,Danger is nigh. Watch your step!,69,70,,,35
12,11,50,Now you have the energy to bounce back.,71,72,,,36
4,4,50,Seize the moment to fulfill your desires.,73,74,,,37
12,3,50,Butterflies' wings may cause a storm.,75,76,,,38
12,6,50,Fortune rewards the brave.,77,78,,,39
5,2,15,You will soon find riches.,7,8,,,4
12,4,70,It's time to reconsider what you really need.,79,80,,,40
12,11,70,Negligence may be your demise.,81,82,,,41
4,2,50,You have it in you to make it big.,83,84,,,42
12,11,50,Your friend today is your enemy tomorrow.,85,86,,,43
4,2,50,"Rest now, or you'll regret it later.",87,88,,,44
3,2,35,The dull days will continue.,89,90,,,45
12,4,50,Danger and risk may be exactly what you need.,91,92,,,46
3,2,50,Prepare yourself for a feast.,93,94,,,47
12,11,50,It's time to take notice of those around you.,95,96,,,48
12,11,70,Don't fall into temptation.,97,98,,,49
12,2,50,Expect the unexpected.,9,10,,,5
12,4,50,"Because of suffering, we know bliss.",99,100,,,50
4,3,35,Everything will run smoothly.,101,102,,,51
12,5,50,Things are going to get hectic.,103,104,,,52
3,2,35,You have space to love in your heart.,105,106,,,53
12,11,50,You will encounter problems at every turn.,107,108,,,54
12,11,50,Don't dwell on the past.,109,110,,,55
4,4,50,"Luck is still far away, but it's coming.",111,112,,,56
12,1,35,Rain will pour over us soon.,113,114,,,57
12,1,50,The sun will shine upon us all.,115,116,,,58
3,4,50,You have a reason to celebrate.,117,118,,,59
12,11,50,Start and finish well and success will follow.,11,12,,,6
12,2,50,You'll meet a monster with fiery eyes.,119,120,,,60
12,4,50,A massive wave will engulf you.,121,122,,,61
5,4,70,You are what you eat.,123,124,,,62
12,11,50,Change is the only constant in life.,125,126,,,63
12,2,50,Peace comes to those who let go.,127,128,,,64
12,5,50,An ominous storm is brewing ahead.,129,130,,,65
5,3,50,"The sun is still there, above the clouds.",131,132,,,66
12,2,50,You have to go down to go up.,133,134,,,67
12,2,50,You have to go up to go down.,135,136,,,68
12,3,50,Life is full of mysteries.,137,138,,,69
12,4,50,There is a hard road ahead of you.,13,14,,,7
12,5,50,Chaos awaits you.,139,140,,,70
12,4,50,Life will be like Heaven soon.,15,16,,,8
12,1,50,A flower is blooming in the desert.,17,18,,,9
