end_dt,event_category_type,event_name,event_type,group_seq,icon_file_name,precondition,resource_key,reward_qty,reward_type,secondary_resource_key,sort_order,start_dt,_key
2025-01-16 23:59:59,EVENT,,ALPHABET_CARD,,,,,,,,,2024-12-30 11:00:00,1
2025-05-11 23:59:59,EVENT,출석공지,IMAGE,,crc_event_icon_image.png,,0,,,,,2025-04-29 00:00:01,10
2026-04-18 23:59:59,EVENT,"매일매일
일일미션",COMPLETE,,crc_event_dailybonus.png,,1,,,,4,2026-03-20 00:00:01,100
2026-04-19 23:59:59,EVENT,"매일매일
일일미션",COMPLETE,,crc_event_dailybonus.png,,1,,,,5,2026-04-19 00:00:01,101
2026-05-18 23:59:59,EVENT,"매일매일
일일미션",COMPLETE,,crc_event_dailybonus.png,,1,,,,6,2026-04-20 00:00:01,102
2026-05-19 23:59:59,EVENT,"매일매일
일일미션",COMPLETE,,crc_event_dailybonus.png,,1,,,,7,2026-05-19 00:00:01,103
2026-05-28 23:59:59,EVENT,"Daily
Missions",COMPLETE,,crc_event_dailybonus.png,,1,,,,8,2026-05-20 00:00:01,104
2026-06-19 23:59:59,EVENT,"Daily
Missions",COMPLETE,,crc_event_dailybonus.png,,1,,,,9,2026-06-19 00:00:01,105
2026-07-18 23:59:59,EVENT,"Daily
Missions",COMPLETE,,crc_event_dailybonus.png,,1,,,,10,2026-06-20 00:00:01,106
2026-07-19 23:59:59,EVENT,"Daily
Missions",COMPLETE,,crc_event_dailybonus.png,,1,,,,11,2026-07-19 00:00:01,107
2026-08-18 23:59:59,EVENT,"Daily
Missions",COMPLETE,,crc_event_dailybonus.png,,1,,,,12,2026-07-20 00:00:01,108
2026-08-19 23:59:59,EVENT,"Daily
Missions",COMPLETE,,crc_event_dailybonus.png,,1,,,,13,2026-08-19 00:00:01,109
2025-05-18 23:59:59,EVENT,코인획득,ACHIEVING_COIN,,crc_event_icon_coinscore.png,,0,,,,,2025-05-16 00:00:01,11
2026-09-18 23:59:59,EVENT,"Daily
Missions",COMPLETE,,crc_event_dailybonus.png,,1,,,,14,2026-08-20 00:00:01,110
2026-09-19 23:59:59,EVENT,"Daily
Missions",COMPLETE,,crc_event_dailybonus.png,,1,,,,15,2026-09-19 00:00:01,111
2026-10-18 23:59:59,EVENT,"Daily
Missions",COMPLETE,,crc_event_dailybonus.png,,1,,,,16,2026-09-20 00:00:01,112
2026-10-19 23:59:59,EVENT,"Daily
Missions",COMPLETE,,crc_event_dailybonus.png,,1,,,,17,2026-10-19 00:00:01,113
2026-11-18 23:59:59,EVENT,"Daily
Missions",COMPLETE,,crc_event_dailybonus.png,,1,,,,18,2026-10-20 00:00:01,114
2026-11-19 23:59:59,EVENT,"Daily
Missions",COMPLETE,,crc_event_dailybonus.png,,1,,,,19,2026-11-19 00:00:01,115
2026-12-18 23:59:59,EVENT,"Daily
Missions",COMPLETE,,crc_event_dailybonus.png,,1,,,,20,2026-11-20 00:00:01,116
2026-12-19 23:59:59,EVENT,"Daily
Missions",COMPLETE,,crc_event_dailybonus.png,,1,,,,21,2026-12-19 00:00:01,117
2027-01-18 23:59:59,EVENT,"Daily
Missions",COMPLETE,,crc_event_dailybonus.png,,1,,,,22,2026-12-20 00:00:01,118
