episode,event_seq,is_complete_reward,mission_description,mission_description_short,mission_order,mission_seq,need_count,page,reward_image_file_name,reward_image_plist_file_name,reward_name,reward_qty,reward_seq,reward_type,stat_category_id,stat_data_id,stat_goal_count,_key
,28,0,,,1,7902,1,1,reward_icon_relay.png,bc_reward_icon.plist,이어달리기,1,215,S,,,,1
,30,0,,,5,7916,50000,1,reward_icon_crystal.png,bc_reward_icon.plist,크리스탈,5,0,G,,,,10
,62,0,일반 에피소드 스테이지 4까지 3판,,1,8354,3,1,reward_icon_coin_small.png,bc_reward_icon.plist,코인,3000,0,C,,,,100
,62,0,하루에 친구에게 3번 생명 보내기,,2,8355,3,1,reward_icon_spell_small.png,bc_reward_icon.plist,마법가루,100,0,P,,,,101
,62,0,파티런 솔로모드 2판하기,,3,8356,2,1,reward_icon_crystal.png,bc_reward_icon.plist,크리스탈,2,0,G,,,,102
,62,0,일반 에피소드 1판에 5000코인 획득하기,,4,8357,1,1,reward_icon_spell_small.png,bc_reward_icon.plist,마법가루,50,0,P,,,,103
,62,0,일일 미션 4개 전부 완료하기,,5,8358,4,1,reward_icon_cookie_stone_box_ss.png,bc_reward_icon.plist,영혼석 선택상자 (쿠키2종),3,42001,S,,,,104
,63,0,일반 에피소드 스테이지 4까지 3판,,1,8359,3,1,reward_icon_coin_small.png,bc_reward_icon.plist,코인,3000,0,C,,,,105
,63,0,하루에 친구에게 3번 생명 보내기,,2,8360,3,1,reward_icon_spell_small.png,bc_reward_icon.plist,마법가루,100,0,P,,,,106
,63,0,열쇠 2개 소모하기,,3,8361,2,1,reward_icon_crystal.png,bc_reward_icon.plist,크리스탈,1,0,G,,,,107
,63,0,일반 에피소드 1판에 5000코인 획득하기,,4,8362,1,1,reward_icon_spell_small.png,bc_reward_icon.plist,마법가루,50,0,P,,,,108
,63,0,일일 미션 4개 전부 완료하기,,5,8363,4,1,reward_icon_cookie_stone_box_ss.png,bc_reward_icon.plist,영혼석 선택상자 (쿠키2종),3,42001,S,,,,109
,29,0,,,1,7907,5000000,1,reward_icon_gift_small.png,bc_reward_icon.plist,선물포인트,100,0,A,,,,11
,64,0,일반 에피소드 스테이지 4까지 3판,,1,8364,3,1,reward_icon_coin_small.png,bc_reward_icon.plist,코인,3000,0,C,,,,110
,64,0,하루에 친구에게 3번 생명 보내기,,2,8365,3,1,reward_icon_spell_small.png,bc_reward_icon.plist,마법가루,100,0,P,,,,111
,64,0,파티런 솔로모드 2판하기,,3,8366,2,1,reward_icon_crystal.png,bc_reward_icon.plist,크리스탈,2,0,G,,,,112
,64,0,일반 에피소드 1판에 5000코인 획득하기,,4,8367,1,1,reward_icon_spell_small.png,bc_reward_icon.plist,마법가루,50,0,P,,,,113
,64,0,일일 미션 4개 전부 완료하기,,5,8368,4,1,reward_icon_cookie_stone_box_ss.png,bc_reward_icon.plist,영혼석 선택상자 (쿠키2종),3,42001,S,,,,114
,65,0,일반 에피소드 스테이지 4까지 3판,,1,8369,3,1,reward_icon_coin_small.png,bc_reward_icon.plist,코인,3000,0,C,,,,115
,65,0,하루에 친구에게 3번 생명 보내기,,2,8370,3,1,reward_icon_spell_small.png,bc_reward_icon.plist,마법가루,100,0,P,,,,116
,65,0,열쇠 2개 소모하기,,3,8371,2,1,reward_icon_crystal.png,bc_reward_icon.plist,크리스탈,1,0,G,,,,117
,65,0,일반 에피소드 1판에 5000코인 획득하기,,4,8372,1,1,reward_icon_spell_small.png,bc_reward_icon.plist,마법가루,50,0,P,,,,118
,65,0,일일 미션 4개 전부 완료하기,,5,8373,4,1,reward_icon_cookie_stone_box_ss.png,bc_reward_icon.plist,영혼석 선택상자 (쿠키2종),3,42001,S,,,,119
,29,0,,,2,7908,10000000,1,reward_icon_relay.png,bc_reward_icon.plist,이어달리기,1,215,S,,,,12
,66,0,,,1,8374,1,1,reward_icon_dough03.png,bc_reward_icon.plist,금빛행운반죽,1,80003,S,,,,120
,66,0,,,2,8375,1,1,reward_icon_trTicketSS_small.png,bc_reward_icon.plist,최고급보물뽑기권,1,853,S,,,,121
,66,0,,,3,8376,1,1,reward_icon_coin_small.png,bc_reward_icon.plist,코인,30000,,C,,,,122
,66,0,,,4,8377,1,1,reward_icon_spell_small.png,bc_reward_icon.plist,마법가루,300,,P,,,,123
,66,0,,,5,8378,1,1,reward_icon_boostset.png,bc_reward_icon.plist,부스트세트,3,2203,S,,,,124
,66,0,,,6,8379,1,1,reward_icon_crystal.png,bc_reward_icon.plist,크리스탈,10,,G,,,,125
,66,0,,,7,8380,1,1,reward_icon_dough02.png,bc_reward_icon.plist,은빛행운반죽,1,80002,S,,,,126
,66,0,,,8,8381,1,1,reward_icon_trTicketSS_small.png,bc_reward_icon.plist,최고급보물뽑기권,1,853,S,,,,127
,66,0,,,9,8382,1,1,reward_icon_crystal.png,bc_reward_icon.plist,크리스탈,10,,G,,,,128
,66,0,,,10,8383,1,1,reward_icon_trTicketSS_small.png,bc_reward_icon.plist,최고급보물뽑기권,1,853,S,,,,129
,29,0,,,3,7909,30000000,1,reward_icon_coin_small.png,bc_reward_icon.plist,코인,5000,0,C,,,,13
,66,0,,,11,8384,1,1,reward_icon_spell_small.png,bc_reward_icon.plist,마법가루,300,,P,,,,130
,66,0,,,12,8385,1,1,reward_icon_boostset.png,bc_reward_icon.plist,부스트세트,3,2203,S,,,,131
,66,0,,,13,8386,1,1,reward_icon_crystal.png,bc_reward_icon.plist,크리스탈,10,,G,,,,132
,66,0,,,14,8387,1,1,tr_event_95.png,bc_reward_icon.plist,보물,1,1520501,S,,,,133
,69,0,10,,1,8440,1,1,reward_icon_coin_small.png,bc_reward_icon.plist,코인,1000,,C,,,,134
,69,0,50,,2,8441,1,1,reward_icon_coin_small.png,bc_reward_icon.plist,코인,2000,,C,,,,135
,69,0,100,,3,8442,1,1,reward_icon_coin_small.png,bc_reward_icon.plist,코인,3000,,C,,,,136
,69,0,150,,4,8443,1,1,reward_icon_coin_small.png,bc_reward_icon.plist,코인,4000,,C,,,,137
,69,0,200,,5,8444,1,1,reward_icon_coin_small.png,bc_reward_icon.plist,코인,5000,,C,,,,138
,69,0,250,,6,8445,1,1,reward_icon_coin_small.png,bc_reward_icon.plist,코인,6000,,C,,,,139
,29,0,,,4,7910,60000000,1,reward_icon_crystal.png,bc_reward_icon.plist,크리스탈,5,0,G,,,,14
,69,0,300,,7,8446,1,1,reward_icon_coin_small.png,bc_reward_icon.plist,코인,7000,,C,,,,140
,69,0,350,,8,8447,1,1,reward_icon_coin_small.png,bc_reward_icon.plist,코인,8000,,C,,,,141
,69,0,400,,9,8448,1,1,reward_icon_coin_small.png,bc_reward_icon.plist,코인,9000,,C,,,,142
,69,0,450,,10,8449,1,1,reward_icon_coin_small.png,bc_reward_icon.plist,코인,10000,,C,,,,143
,69,0,500,,11,8450,1,1,reward_icon_coin_small.png,bc_reward_icon.plist,코인,11000,,C,,,,144
,69,0,550,,12,8451,1,1,reward_icon_coin_small.png,bc_reward_icon.plist,코인,12000,,C,,,,145
,69,0,600,,13,8452,1,1,reward_icon_coin_small.png,bc_reward_icon.plist,코인,13000,,C,,,,146
,69,0,650,,14,8453,1,1,reward_icon_coin_small.png,bc_reward_icon.plist,코인,14000,,C,,,,147
,69,0,700,,15,8454,1,1,reward_icon_coin_small.png,bc_reward_icon.plist,코인,15000,,C,,,,148
,71,0,,,1,8470,1,1,reward_icon_relay.png,bc_reward_icon.plist,이어달리기,1,215,S,,,,149
,29,0,,,5,7911,100000000,1,reward_icon_spell_small.png,bc_reward_icon.plist,마법가루,200,0,P,,,,15
,71,0,,,2,8471,3,1,reward_icon_coin_small.png,bc_reward_icon.plist,코인,5000,0,C,,,,150
,71,0,,,3,8472,5,1,reward_icon_coin_small.png,bc_reward_icon.plist,코인,7000,0,C,,,,151
,71,0,,,4,8473,7,1,reward_icon_spell_small.png,bc_reward_icon.plist,마법가루,100,0,P,,,,152
,71,0,,,5,8474,10,1,reward_icon_crystal.png,bc_reward_icon.plist,크리스탈,3,0,G,,,,153
