ChanceFactor,EndPatternIndex,MaxCandyCount,MinCandyCount,StartPatternIndex,_key
0,8,0,0,1,1
0,195,0,0,152,10
0,247,0,0,196,11
0,328,0,0,248,12
0,869,0,0,329,13
7,8,0,0,1,14
10,18,1,1,9,15
9,33,0,0,19,16
10,50,0,0,34,17
9,68,1,0,51,18
9,89,1,0,69,19
0,18,0,0,9,2
10,109,0,0,90,20
10,129,1,0,110,21
10,151,0,0,130,22
10,173,1,0,152,23
7,195,0,0,174,24
7,222,1,1,196,25
7,247,0,0,223,26
8,275,1,0,248,27
8,302,1,0,276,28
5,328,1,0,304,29
0,33,0,0,19,3
5,359,1,0,329,30
0,869,0,0,360,31
0,50,0,0,34,4
0,68,0,0,51,5
0,89,0,0,69,6
0,109,0,0,90,7
0,129,0,0,110,8
0,151,0,0,130,9
