category,event_target_id,height_override,margin_override,width_override,_key
FEATURED,,217,2,164,crg.dev.pkg.17thbravecookiebirthdaypackage
FEATURED,,,,,crg.dev.pkg.coinjackpotpackage
FEATURED,,,,,crg.dev.pkg.cookiecollectionpackage.ch92
FEATURED,,,,,crg.dev.pkg.cookiepetpackage.ch93
COOKIE,,,,,crg.dev.pkg.cookiepteadvancedpackage.ch73
COOKIE,,,,,crg.dev.pkg.cookiepteadvancedpackage.ch74
COOKIE,,,,,crg.dev.pkg.cookiepteadvancedpackage.ch75
COOKIE,,,,,crg.dev.pkg.cookiepteadvancedpackage.ch78
COOKIE,,,,,crg.dev.pkg.cookiepteadvancedpackage.ch79
COOKIE,,,,,crg.dev.pkg.cookiepteadvancedpackage.ch80
COOKIE,,,,,crg.dev.pkg.cookiepteadvancedpackage.ch82
COOKIE,,,,,crg.dev.pkg.cookiepteadvancedpackage.ch83
COOKIE,,,,,crg.dev.pkg.cookiepteadvancedpackage.ch84
COOKIE,,,,,crg.dev.pkg.cookiepteadvancedpackage.ch86
COOKIE,,,,,crg.dev.pkg.cookiepteadvancedpackage.ch88
COOKIE,,,,,crg.dev.pkg.cookiepteadvancedpackage.ch89
COOKIE,,,,,crg.dev.pkg.cookiepteadvancedpackage.ch90
COOKIE,,,,,crg.dev.pkg.cookiepteadvancedpackage.ch91
FEATURED,,,,,crg.dev.pkg.cookiepteadvancedpackage.ch93
TIME_DEAL,,,,,crg.dev.pkg.cookiestonebox2
FEATURED,,,,,crg.dev.pkg.crystaljackpotpackage
FEATURED,,,,,crg.dev.pkg.eventpackage2_tier8
FEATURED,,,,,crg.dev.pkg.eventpackage_tier8
SKIN,,,,,crg.dev.pkg.jellybean.jellyskin001
SKIN,,,,,crg.dev.pkg.jellybean.jellyskin002
TIME_DEAL,,,,,crg.dev.pkg.lv10xppackage
TIME_DEAL,,,,,crg.dev.pkg.lv30xppackage
COOKIE,,,,,crg.dev.pkg.newcookiepteadvancedpackage.20240401
FEATURED,5000,,,,crg.dev.pkg.partyrunpass.1
FEATURED,5000,,,,crg.dev.pkg.partyrunpass.2
SKIN,,,,,crg.dev.pkg.skinpackage_ch01_001
SKIN,,,,,crg.dev.pkg.skinpackage_ch40_001
SKIN,,,,,crg.dev.pkg.skinpackage_ch41_001
SKIN,,,,,crg.dev.pkg.skinpackage_ch49_001
SKIN,,,,,crg.dev.pkg.skinpackage_ch65_001
SKIN,,,,,crg.dev.pkg.skinpackage_ch70_001
SKIN,,,,,crg.dev.pkg.skinpackage_ch75_001
SKIN,,,,,crg.dev.pkg.skinpackage_ch75_002
SKIN,,,,,crg.dev.pkg.skinpackage_ch81_001
SKIN,,,,,crg.dev.pkg.skinpackage_ch82_001
SKIN,,,,,crg.dev.pkg.skinpackage_ch85_001
SKIN,,217,2,164,crg.dev.pkg.skinpackage_legend4
SKIN,,,,,crg.dev.pkg.skinpackage_pet01_001
FEATURED,,,,,crg.dev.pkg.xxxlxp1
FEATURED,,,,,crg.dev.pkg.xxxlxp4
