CookieName,CookieSeq,EventSeq,MissionGoal,PhotoMissionId,PhotoMissionName,RewardQty,RewardSeq,RewardText,linkedMissionId,linkedPhotoChallengeId,_key
민들레요정맛 쿠키,109000,121,"1,300만점 달성",1,13주년을 축하해!_1,1,853,최고급보물뽑기권,9341,1,1
망개떡맛 쿠키,108600,121,"6,000만점 달성",10,메리크리스마스_1,1,853,최고급보물뽑기권,9354,3,10
락스타맛 쿠키,102700,121,"1,000만점 달성",11,메리크리스마스_2,5000,8005000,코인,9355,3,11
코코아맛 쿠키,104500,121,"3,000만점 달성",12,메리크리스마스_3,1,853,최고급보물뽑기권,9356,3,12
눈설탕맛 쿠키,103000,121,"2,000만점 달성",13,메리크리스마스_4,1,2201,부스트세트,9357,3,13
팬케이크맛 쿠키,106900,121,7스테이지 도달,14,메리크리스마스_5,200,7400200,마법가루,9358,3,14
충무김밥맛 쿠키,108500,121,1억점 달성,15,돌김바다의 불패신화_1,3,7770003,크리스탈,9361,4,15
해적맛 쿠키,101600,121,"5,000 코인 획득",16,돌김바다의 불패신화_2,3000,8003000,코인,9362,4,16
딸기쇼트케이크맛 쿠키,107200,121,"스페셜에피소드 3에서
5스테이지 도달",17,돌김바다의 불패신화_3,3,7330003,열쇠,9363,4,17
감자 샐러드맛 쿠키,108200,121,"20,000 코인 획득",18,돌김바다의 불패신화_4,1,80002,은빛행운반죽,9364,4,18
근육맛 쿠키,101500,121,850만점 달성,19,돌김바다의 불패신화_5,1,2201,부스트세트,9365,4,19
요정맛 쿠키,102600,121,300만점 달성,2,13주년을 축하해!_2,100,7400100,마법가루,9342,1,2
파김치맛 쿠키,108300,121,"8,000만점 달성",20,김치맛 쿠키 등장!_1,1,853,최고급보물뽑기권,9368,5,20
백김치맛 쿠키,108400,121,"8,000만점 달성",21,김치맛 쿠키 등장!_2,250,7400250,마법가루,9369,5,21
달토끼맛 쿠키,107100,121,미스터리박스 1개획득,22,김치맛 쿠키 등장!_3,5000,8005000,코인,9370,5,22
용감한 쿠키군,100100,121,5스테이지 도달,23,김치맛 쿠키 등장!_4,1,2201,부스트세트,9371,5,23
바리공주맛 쿠키,108100,121,1억점 달성,24,파티런 실시간 경쟁 모드!_1,3,7770003,크리스탈,9374,6,24
치어리더맛 쿠키,102000,121,"3,000 코인 획득",25,파티런 실시간 경쟁 모드!_2,1,2201,부스트세트,9375,6,25
좀비맛 쿠키,101300,121,미스터리박스 1개획득,26,파티런 실시간 경쟁 모드!_3,5000,8005000,코인,9376,6,26
식혜맛 쿠키,107800,121,1억점 달성,27,라이벌 대전_1,2,7770002,크리스탈,9379,7,27
수정과맛 쿠키,107900,121,"4,000만점 달성",28,라이벌 대전_2,3,7330003,열쇠,9380,7,28
마법사맛 쿠키,102500,121,5스테이지 도달,29,라이벌 대전_3,100,7400100,마법가루,9381,7,29
천사맛 쿠키,101200,121,5스테이지 도달,3,13주년을 축하해!_3,1,80002,은빛행운반죽,9343,1,3
용사맛 쿠키,100900,121,7스테이지 도달,30,라이벌 대전_4,1,2201,부스트세트,9382,7,30
구름맛 쿠키,100500,121,보너스타임 1회가기,31,라이벌 대전_5,1,80002,은빛행운반죽,9383,7,31
멜로우버니 쿠키,107500,121,"스페셜에피소드 3에서
1억점 달성",32,미지의 토끼굴_1,1,853,최고급보물뽑기권,9386,8,32
명랑한 쿠키양,100300,121,보너스타임 1회가기,33,미지의 토끼굴_2,3000,8003000,코인,9387,8,33
벚꽃맛 쿠키,105100,121,5스테이지 도달,34,미지의 토끼굴_3,200,7400200,마법가루,9388,8,34
공주맛 쿠키,100800,121,800만점 달성,35,미지의 토끼굴_4,5000,8005000,코인,9389,8,35
체리맛 쿠키,102800,121,구멍에서 구출 5회 달성,36,미지의 토끼굴_5,1,80002,은빛행운반죽,9390,8,36
버터크림초코쿠키,100600,121,"10,000 코인 획득",4,13주년을 축하해!_4,7000,8007000,코인,9344,1,4
가래떡맛 쿠키,108800,121,"에피소드 6에서
7스테이지 도달",5,황천의 매화궁_1,2,7770002,크리스탈,9347,2,5
오이맛 쿠키,107700,121,"3,000만점 달성",6,황천의 매화궁_2,1,2201,부스트세트,9348,2,6
딸기맛 쿠키,100200,121,"경험치 2,000 획득",7,황천의 매화궁_3,100,7400100,마법가루,9349,2,7
보더맛 쿠키,101100,121,7스테이지 도달,8,황천의 매화궁_4,3000,8003000,코인,9350,2,8
요정맛 쿠키,102600,121,5스테이지 도달,9,황천의 매화궁_5,1,80002,은빛행운반죽,9351,2,9
