AddFloor,AnchorX,AnchorY,ColBoxHeight,ColBoxType,ColBoxWidth,ColBoxX,ColBoxY,CrashType,EndAniLoop,EndAniTag_0,EndAniTag_1,EndOffsetX,EndOffsetY,Id_1,Id_2,Id_3,MoveAniLoop,MoveAniTag_0,MoveAniTag_1,MoveStartDistance,MoveTime,MoveType,PlatformChar,PlatformName,ShowType,SoundMoveEnd,SoundMoveStart,SpriteTag_0,SpriteTag_1,StartAniLoop,StartAniTag_0,StartAniTag_1,StartOffsetX,StartOffsetY,SubKey_1,SubKey_2,SubKey_3,ToolImage,TransformTypeId,Value_1,Value_2,Value_3,ZOrder,_key
0,0.5,0.5,0,0,0,0,0,0,,,,0,0,2500,,,,,,-9999,0,,,House Platform,0,,,,,,,,0,0,,,,,0,49,,,100,6000
2,0.5,1,60,0,60,-30,-60,0,,,,0,0,,,,,,,-9999,0,,1,바닥,10,,,,,1,6,,0,0,,,,tm01_tb1,0,,,,100,6001
1,0.5,0,40,1,20,-10,0,1,,,,0,0,,,,,,,-9999,0,,2,1단장애물,1,,,jp1,jp3,,,,0,0,,,,tm01_jp1,1,,,,200,6002
1,0.5,0,80,1,26,-30,0,1,,,,0,0,,,,,,,-9999,0,,3,2단장애물,1,,,jp2,jp4,,,,0,0,,,,tm01_jp2,1,,,,200,6003
1,0.5,0,90,1,60,-30,0,1,,,,0,35,,,,,,,-9999,0,,4,슬라이드,10,,,,,1,4,5,0,35,,,,tm01_sd1,1,,,,200,6004
1,0.5,0,90,1,60,-30,0,1,,,,0,90,,,,,,,-9999,0,,z,걸어서 지나갈 수 있는 걷기슬라,10,,,,,1,4,5,0,90,,,,tm01_sd1,1,,,,200,6005
1,0.5,0,40,1,20,-10,0,1,,,,0,0,2501,2502,2503,0,2,,375,0,,a,튀어나오는 애니 1단,11,,Platform_PopUpObstacle,,,1,1,1,0,0,,,0,app_tb_jp1,1,1,400,2001,200,6006
1,0.5,0,80,1,26,-30,0,1,,,,0,0,2501,2502,2503,0,3,,375,0,,b,튀어나오는 애니 2단,11,,Platform_PopUpObstacle,,,1,1,1,0,0,,,0,app_tb_jp2,1,1,400,2001,200,6007
0,0.5,1,60,0,60,-30,-60,0,,,,0,-150,,,,,,,360,500,0,c,바닥이 꺼져서 구멍됨,10,,Platform_MoveDownFloor,,,1,6,,0,0,,,,app_tb_hole,0,,,,100,6008
1,0.5,0.1,40,1,20,-10,0,1,,,,0,0,2501,2504,,,,,360,200,0,e,하늘에서 떨어지는 1단,1,,Platform_MoveDownJump,jp7,,,,,0,300,,0,,sky_ob_jp1,1,1,2002,,50,6009
1,0.5,0.1,80,1,26,-30,0,1,,,,0,0,2501,2504,,,,,360,200,0,f,하늘에서 떨어지는 2단,1,,Platform_MoveDownJump,jp8,,,,,0,300,,0,,sky_ob_jp2,1,1,2002,,50,6010
1,0.5,0,90,1,60,-30,0,1,,,,0,35,2501,2504,,,,,360,200,0,g,하늘에서 떨어지는 슬라,10,,Platform_MoveDownSlide,,,1,4,5,0,300,,0,,sky_ob_sd,1,1,2006,,200,6011
2,0.5,1,60,0,60,-30,-60,0,,,,0,-150,,,,,,,-38,200,0,h,지나간 바닥이 꺼져서 구멍됨,10,,Platform_MoveDownFloor,,,1,6,,0,0,,,,pass_tb_hole,0,,,,100,6012
1,0.5,0,40,0,20,-10,0,0,,,,0,0,2501,2502,2503,0,2,,-15,0,,i,지나간 바닥에서 나오는 애니 1단,11,,Platform_PopUpObstacle,,,1,1,1,0,0,,,0,pass_tb_up_jp1,1,1,400,2001,200,6013
1,0.5,0,80,0,26,-30,0,0,,,,0,0,2501,2502,2503,0,3,,-15,0,,j,지나간 바닥에서 나오는 애니 2단,11,,Platform_PopUpObstacle,,,1,1,1,0,0,,,0,pass_tb_up_jp2,1,1,400,2001,200,6014
1,0.5,0,40,0,20,-10,0,0,,,,0,0,2501,2504,,,,,-30,200,0,k,지나간 하늘에서 떨어지는 1단,1,,Platform_MoveDownJump,jp7,,,,,0,300,,0,,pass_tb_sky_jp1,1,1,2002,,50,6015
1,0.5,0,80,0,26,-30,0,0,,,,0,0,2501,2504,,,,,-30,200,0,l,지나간 하늘에서 떨어지는 2단,1,,Platform_MoveDownJump,jp8,,,,,0,300,,0,,pass_tb_sky_jp2,1,1,2002,,50,6016
1,0.5,0,90,0,60,-30,0,0,,,,0,35,2501,2504,,,,,-30,200,0,m,지나간 하늘에서 떨어지는 슬라,10,,Platform_MoveDownSlide,,,1,4,5,0,300,,0,,pass_tb_sky_sd,1,1,2006,,200,6017
1,0.5,0,90,1,60,-30,0,1,,,,0,0,,,,,,,400,2000,0,o,위에서 천천히 내려오는 슬라,10,,Platform_SlowDownSlide,,,1,4,5,0,200,,,,top_slow_down_sd,1,,,,200,6018
1,0.5,0,90,1,60,-30,0,1,,,,0,70,,,,,,,400,2000,0,p,막고 있다가 천천히 올라가는 슬라,10,,Platform_SlowDownSlide,,,1,4,5,0,0,,,,block_slow_up_sd,1,,,,200,6019
0,0.5,0,90,1,60,-30,0,1,,,,0,150,,,,,,,-9999,0,,q,바닥없이 공중에 떠있는 1단슬라,10,,,,,1,4,5,0,150,,,,tb_x_midair_sd1,1,,,,200,6020
1,0.5,0,90,1,60,-30,0,1,,,,0,150,,,,,,,-9999,0,,r,바닥있이 공중에 떠있는 1단슬라,10,,,,,1,4,5,0,150,,,,tb_o_midair_sd1,1,,,,200,6021
1,0.5,0,0,0,0,0,0,0,,,,0,0,2501,2504,,,,,-15,0,,s,지나간 바닥에서 튀어나오는 공통무언가,0,,Platform_PillarOfFire,,,,,,0,0,,0,,pass_tb_up_something,0,1,2003,,200,6022
3,0.5,1,60,0,60,-30,-60,0,,,,0,200,,,,,,,400,3500,0,t,위로 올라가는 얇은 발판,10,,,,,,tme16,,0,-30,,,,tm01_tb1,0,,,,100,6023
3,0.5,1,60,0,60,-30,-60,0,,,,0,-110,,,,,,,400,3500,0,u,아래로 내려가는 얇은 발판,10,,,,,,tme16,,0,160,,,,tm01_tb1,0,,,,100,6024
1,0.5,0,20,0,20,-10,0,1,,,,0,0,2510,2512,,,,,0,0,,v,지뢰,10,,,,,1,tme7,,0,0,,0,,tm01_jp1,1,1000,2012,,200,6025
6,0.2,0.5,20,0,20,-10,-10,1,,,,-682,0,2511,2514,2515,,,,480,8000,0,w,날아오는 아이스볼트,10,,,,,1,tme8,,118,0,500,500,0,tm01_jp1,1,3000,2009,500,300,6026
1,0.5,0,40,1,20,-10,0,1,,,,0,0,2509,,,,,,300,0,,x,점점 커지는 장애물(1단장애물),1,,,jp1,jp3,,,,0,0,500,,,tm01_jp1,1,1000,,,200,6027
1,0.5,0,80,1,26,-30,0,1,,,,0,0,2509,,,,,,300,0,,y,점점 커지는 장애물(2단장애물),1,,,jp2,jp4,,,,0,0,500,,,tm01_jp2,1,1000,,,200,6028
1,0.5,0,90,1,60,-30,0,1,,,,0,35,2509,,,,,,500,700,0,!,점점 커지는 장애물(슬라이드),1,,,sd1,sd2,,,,0,35,500,,,tm01_sd1,1,1000,,,200,6029
1,0.5,0,40,1,20,-10,0,1,,,,0,0,2509,,,,,,500,0,,@,점점 작아지는 장애물(1단장애물),1,,,jp1,jp3,,,,0,0,1300,,,tm01_jp1,1,1000,,,200,6030
1,0.5,0,80,1,26,-30,0,1,,,,0,0,2509,,,,,,500,0,,#,점점 작아지는 장애물(2단장애물),1,,,jp2,jp4,,,,0,0,1300,,,tm01_jp2,1,1000,,,200,6031
1,0.5,0,90,1,60,-30,0,1,,,,0,35,2509,,,,,,500,700,0,$,점점 작아지는 장애물(슬라이드),1,,,sd1,sd2,,,,0,35,1300,,,tm01_sd1,1,1000,,,200,6032
3,0.5,1,60,0,60,-30,-60,0,,,,0,60,,,,,,,-9999,0,,~,중간에 떠있는 발판,10,,,,,,tme16,,0,60,,,,tm01_tb1,0,,,,100,6033
4,0.5,1,60,0,60,-30,-60,0,,,,0,60,,,,,,,-9999,0,,:,바닥도 있고 중간에 떠있는 발판,10,,,,,,tme16,,0,60,,,,tm01_tb1,0,,,,100,6034
6,0.2,0.5,20,0,20,-10,-10,1,,,,-682,0,2511,2514,2515,,,,480,8000,0,,날아오는 벌,10,,,,,1,tme10,,118,0,500,500,0,tm01_jp1,1,3000,2011,500,300,6035
0,0.5,1,60,0,60,-30,-60,0,,,,0,0,2519,,,,,,-9999,0,,,탐험가의 구멍,10,,,,,1,tme18,,0,0,,,,tme18,0,,,,100,6036
