ChanceFactor,EndPatternIndex,MaxCandyCount,MinCandyCount,StartPatternIndex,_key
0,8,0,0,1,1
0,195,0,0,152,10
0,247,0,0,196,11
0,328,0,0,248,12
0,869,0,0,329,13
7,8,1,0,1,14
10,18,1,0,9,15
9,33,2,1,19,16
9,50,2,1,34,17
10,68,2,1,51,18
7,89,2,2,69,19
0,18,0,0,9,2
12,109,2,1,90,20
10,129,2,2,110,21
0,151,2,2,130,22
10,173,2,1,152,23
10,195,2,1,174,24
0,222,2,2,196,25
10,247,2,1,223,26
8,275,2,1,248,27
5,302,1,0,276,28
5,328,2,1,304,29
0,33,0,0,19,3
4,359,2,1,329,30
0,869,0,0,360,31
0,50,0,0,34,4
0,68,0,0,51,5
0,89,0,0,69,6
0,109,0,0,90,7
0,129,0,0,110,8
0,151,0,0,130,9
