EventSeq,MatCount_1,MatCount_2,MatCount_3,MatCount_4,MatCount_5,RewardImage,RewardQty,RewardSeq,RewardText,SnowmanName,linkedMissionId,_key
39,3,3,2,0,0,-,1,8003000,코인,알록달록 도깨비불,7963,1
39,22,0,0,0,13,-,1,7770002,크리스탈,말랑말랑 반숙달걀귀신,7972,10
39,17,10,5,3,0,-,1,7400200,마법가루,두 눈 똑뜬 머슴유령,7973,11
39,20,5,5,5,5,-,1,853,최고급보물뽑기권,점잖은 나으리 유령,7974,12
39,30,2,0,4,4,-,1,8007500,코인,감투 도깨비,7975,13
39,25,0,0,0,15,-,1,2003403,재료,따끈따끈 삶은달걀귀신,7976,14
39,15,5,10,5,10,-,1,7770003,크리스탈,투덜투덜 아씨유령,7977,15
39,10,7,30,3,0,-,2,853,최고급보물뽑기권,억울한 나으리 유령,7978,16
39,20,0,20,0,20,-,1,8010000,코인,초롱초롱 꼬마신령,7979,17
39,15,20,0,20,20,-,1,2005502,재료,비실비실 산신령,7980,18
39,15,30,10,30,10,-,1,7770020,크리스탈,노곤노곤 산신령,7981,19
39,5,2,3,2,0,-,1,7400100,마법가루,흐물흐물 날달걀귀신,7964,2
39,30,20,20,20,30,-,1,1519701,보물,생명의샘 수호유령,7982,20
39,5,5,3,2,0,-,1,7770001,크리스탈,눈침침 선비유령,7965,3
39,3,1,1,15,0,-,1,8004500,코인,피곤한 내시유령,7966,4
39,4,12,6,0,2,-,1,2501303,재료,꼬마도깨비,7967,5
39,17,0,0,0,13,-,1,7770002,크리스탈,동글동글 깐달걀귀신,7968,6
39,6,6,6,6,6,-,1,8005000,코인,주먹불끈 장사유령,7969,7
39,12,7,6,1,4,-,1,853,최고급보물뽑기권,멀리서 온 유령,7970,8
39,14,6,5,5,0,-,1,7330005,열쇠,방망이 도깨비,7971,9
