FullPathforEvent,Notes,_key
event:/music/SoundBgm_Game_Celebration,,13th_PartyRunMap
event:/OutGame_Artifact/ArtifactOpen_Loading, ,ArtifactOpen_Loading
event:/OutGame_Artifact/ArtifactOpen_Normal, ,ArtifactOpen_Normal
event:/OutGame_Artifact/ArtifactOpen_Special, ,ArtifactOpen_Special
event:/InGame_Ch68/Banana_CoinRain,,Banana_CoinRain
event:/InGame_Ch68/Banana_DecorationFloor,,Banana_DecorationFloor
event:/InGame_Ch68/Banana_FlowerExplosion,,Banana_FlowerExplosion
event:/InGame_Ch68/Banana_PassingHulahoop,,Banana_PassingHulahoop
event:/InGame_Ch68/Banana_TransformEnd,,Banana_TransformEnd
event:/InGame_Ch68/Banana_TransformFlight,,Banana_TransformFlight
event:/InGame_Ch68/Banana_TransformJump,,Banana_TransformJump
event:/InGame_Ch68/Banana_TransformSlide,,Banana_TransformSlide
event:/InGame_Ch68/Banana_TransformStart,,Banana_TransformStart
event:/InGame_Ch81_BariPrincess/Bell,,BariPrincess_Bell
event:/InGame_Ch81_BariPrincess/BossSoul_Extermination,,BariPrincess_BossSoul_Extermination
event:/InGame_Ch81_BariPrincess/BossSoul_Strike,,BariPrincess_BossSoul_Strike
event:/InGame_Ch81_BariPrincess/SoundEff_GetBasicSoulJelly,,BariPrincess_GetBasicSoulJelly
event:/InGame_Ch81_BariPrincess/SoundEff_GetFlowerJelly,,BariPrincess_GetFlowerJelly
event:/InGame_Ch81_BariPrincess/SoundEff_GetMysteryPotionJelly,,BariPrincess_GetMysteryPotionJelly
event:/InGame_Ch81_BariPrincess/SoundEff_GetSpecialSoulJelly,,BariPrincess_GetSpecialSoulJelly
event:/InGame_Ch81_BariPrincess/Run_Fast_Start,,BariPrincess_GetSpecialSoulJelly_Run_Fast
event:/InGame_Ch81_BariPrincess/Make_BasicSoulJelly,,BariPrincess_MakeBasicSoulJelly
event:/InGame_Ch81_BariPrincess/Make_Flower,,BariPrincess_MakeFlower
event:/InGame_Ch81_BariPrincess/Start_Skill,,BariPrincess_StartSkill
event:/InGame_Ch81_BariPrincess/Sword_Energy,,BariPrincess_SwordEnergy
event:/InGame_Ch81_BariPrincess/Sword_Strike,,BariPrincess_SwordStrike
event:/music/SoundBgm_BariPrincess_Skill,,BariPrincess_TransformBGM
event:/InGame_Pet90_BlackStoneTeacher/SoundEff_ChangeStoneJelly,,BlackStoneTeacher_ChangeBlackStoneJelly
event:/InGame_Pet90_BlackStoneTeacher/SoundEff_GetBlackRiceJelly,,BlackStoneTeacher_getBlackRiceJelly
event:/InGame_Ch80_Bori/Destroy_Shield,,Bori_DestroyShield
event:/InGame_Ch80_Bori/SoundEff_GetBarleyJelly,,Bori_GetBarleyJelly
event:/InGame_Ch80_Bori/SoundEff_GetBeanBarleyJelly,,Bori_GetBeanBarleyJelly
event:/InGame_Ch80_Bori/Make_Shield,,Bori_MakeShield
event:/InGame_Ch80_Bori/Run_Fast,,Bori_Run_Fast
event:/InGame_Ch80_Bori/Transform_Off,,Bori_TransformOff
event:/InGame_Ch80_Bori/Transformation,,Bori_Transformation
event:/InGame_Pet41/CandlePet_FireToNewDimension, ,CandlePet_FireToNewDimension
event:/InGame_Ch66/CandyflossSoundBGM_BonusTime_Day,,CandyflossSoundBGM_BonusTime_Day
event:/InGame_Ch66/CandyflossSoundBGM_BonusTime_Night,,CandyflossSoundBGM_BonusTime_Night
event:/InGame_Ch66/CandyflossSound_LetterExplosion,,CandyflossSound_LetterExplosion
event:/InGame_Ch66/CandyflossSound_ReadyToThrowLetter,,CandyflossSound_ReadyToThrowLetter
event:/InGame_Ch66/CandyflossSound_ThrowLetter,,CandyflossSound_ThrowLetter
event:/InGame_Ch66/CandyflossSound_TouchLetterBox,,CandyflossSound_TouchLetterBox
event:/InGame_Pet72/Castanets_Shot,,Castanets_Shot
event:/InGame_Pet72/Castanets_ShotStart,,Castanets_ShotStart
event:/InGame_Common/Char_Jump_Gigantic,,Char_Jump_Gigantic
event:/InGame_Ch01/Char_Jump_ch01, ,Char_Jump_ch01
event:/InGame_Ch02/Char_Jump_ch02, ,Char_Jump_ch02
event:/InGame_Ch03/Char_Jump_ch03, ,Char_Jump_ch03
event:/InGame_Ch04/Char_Jump_ch04, ,Char_Jump_ch04
event:/InGame_Ch05/Char_Jump_ch05, ,Char_Jump_ch05
event:/InGame_Ch06/Char_Jump_ch06,,Char_Jump_ch06
event:/InGame_Ch07/Char_Jump_ch07,,Char_Jump_ch07
event:/InGame_Ch08/Char_Jump_ch08,,Char_Jump_ch08
event:/InGame_Ch09/Char_Jump_ch09,,Char_Jump_ch09
event:/InGame_Ch10/Char_Jump_ch10,,Char_Jump_ch10
event:/InGame_Ch11/Char_Jump_ch11,,Char_Jump_ch11
event:/InGame_Ch12/Char_Jump_ch12,,Char_Jump_ch12
event:/InGame_Ch13/Char_Jump_ch13,,Char_Jump_ch13
event:/InGame_Ch14/Char_Jump_ch14,,Char_Jump_ch14
event:/InGame_Ch15/Char_Jump_ch15,,Char_Jump_ch15
event:/InGame_Ch16/Char_Jump_ch16,,Char_Jump_ch16
event:/InGame_Ch18/Char_Jump_ch18,,Char_Jump_ch18
event:/InGame_Ch19/Char_Jump_ch19,,Char_Jump_ch19
event:/InGame_Ch20/Char_Jump_ch20,,Char_Jump_ch20
event:/InGame_Ch21/Char_Jump_ch21,,Char_Jump_ch21
