Cooltime,Sound_m4a,Sound_ogg,Sound_test,_key
0,Pet_CandleActivated.m4a,Pet_CandleActivated.ogg,Pet_CandleActivated.m4a,CandlePet_FireToNewDimension
0,g_giantjump.m4a,g_giantjump.ogg,g_giantjump.m4a,Char_Jump_Gigantic
0,ch01jump.m4a,ch01jump.ogg,ch01jump.m4a,Char_Jump_ch01
0,ch02jump.m4a,ch02jump.ogg,ch02jump.m4a,Char_Jump_ch02
0,ch03jump.m4a,ch03jump.ogg,ch03jump.m4a,Char_Jump_ch03
0,ch04jump.m4a,ch04jump.ogg,ch04jump.m4a,Char_Jump_ch04
0,ch05jump.m4a,ch05jump.ogg,ch05jump.m4a,Char_Jump_ch05
0,ch06jump.m4a,ch06jump.ogg,ch06jump.m4a,Char_Jump_ch06
0,ch07jump.m4a,ch07jump.ogg,ch07jump.m4a,Char_Jump_ch07
0,ch08jump.m4a,ch08jump.ogg,ch8jump.m4a,Char_Jump_ch08
0,ch09jump.m4a,ch09jump.ogg,ch09jump.m4a,Char_Jump_ch09
0,ch10jump.m4a,ch10jump.ogg,ch10jump.m4a,Char_Jump_ch10
0,ch11jump.m4a,ch11jump.ogg,ch11jump.m4a,Char_Jump_ch11
0,ch12jump.m4a,ch12jump.ogg,ch12jump.m4a,Char_Jump_ch12
0,ch13jump.m4a,ch13jump.ogg,ch13jump.wav,Char_Jump_ch13
0,ch14jump.m4a,ch14jump.ogg,ch14jump.m4a,Char_Jump_ch14
0,ch15jump.m4a,ch15jump.ogg,ch15jump.m4a,Char_Jump_ch15
0,ch16jump.m4a,ch16jump.ogg,ch16jump.m4a,Char_Jump_ch16
0,ch02jump.m4a,ch02jump.ogg,ch02jump.m4a,Char_Jump_ch17
0,ch18jump.m4a,ch18jump.ogg,ch18jump.m4a,Char_Jump_ch18
0,ch19jump.m4a,ch19jump.ogg,ch19jump.m4a,Char_Jump_ch19
0,ch20jump.m4a,ch20jump.ogg,ch20jump.m4a,Char_Jump_ch20
0,ch21jump.m4a,ch21jump.ogg,ch21jump.m4a,Char_Jump_ch21
0,ch22jump.m4a,ch22jump.ogg,ch22jump.m4a,Char_Jump_ch22
0,ch23jump.m4a,ch23jump.ogg,ch23jump.m4a,Char_Jump_ch23
0,ch24jump.m4a,ch24jump.ogg,ch24jump.m4a,Char_Jump_ch24
0,ch24jump_woman.m4a,ch24jump_woman.ogg,ch24jump_woman.m4a,Char_Jump_ch24_Woman
0,ch25jump.m4a,ch25jump.ogg,ch25jump.m4a,Char_Jump_ch25
0,ch26jump.m4a,ch26jump.ogg,ch26jump.m4a,Char_Jump_ch26
0,ch27jump.m4a,ch27jump.ogg,ch27jump.m4a,Char_Jump_ch27
0,ch27jump_1.m4a,ch27jump_1.ogg,ch27jump_1.m4a,Char_Jump_ch27_1
0,ch27jump_2.m4a,ch27jump_2.ogg,ch27jump_2.m4a,Char_Jump_ch27_2
0,ch28jump.m4a,ch28jump.ogg,ch28jump.m4a,Char_Jump_ch28
0,ch29jump.m4a,ch29jump.ogg,ch29jump.m4a,Char_Jump_ch29
0,ch30jump.m4a,ch30jump.ogg,ch30jump.m4a,Char_Jump_ch30
0,ch31jump.m4a,ch31jump.ogg,ch31jump.m4a,Char_Jump_ch31
0,ch32jump.m4a,ch32jump.ogg,ch32jump.m4a,Char_Jump_ch32
0,ch33jump.m4a,ch33jump.ogg,ch33jump.m4a,Char_Jump_ch33
0,ch34jump.m4a,ch34jump.ogg,ch34jump.m4a,Char_Jump_ch34
0,ch35jump.m4a,ch35jump.ogg,ch35jump.m4a,Char_Jump_ch35
0,ch36jump.m4a,ch36jump.ogg,ch36jump.m4a,Char_Jump_ch36
0,ch37jump.m4a,ch37jump.ogg,ch37jump.m4a,Char_Jump_ch37
0,ch38jump.m4a,ch38jump.ogg,ch38jump.m4a,Char_Jump_ch38
0,ch39jump.m4a,ch39jump.ogg,ch39jump.m4a,Char_Jump_ch39
0,ch40jump.m4a,ch40jump.ogg,ch40jump.m4a,Char_Jump_ch40
0,ch40jump_tiger.m4a,ch40jump_tiger.ogg,ch40jump_tiger.m4a,Char_Jump_ch40_TigerForm
0,ch40jump.m4a,ch40jump.ogg,ch40jump.m4a,Char_Jump_ch40_lance
0,ch40jump_tiger.m4a,ch40jump_tiger.ogg,ch40jump_tiger.m4a,Char_Jump_ch40_lance_TigerForm
0,ch41jump.m4a,ch41jump.ogg,ch41jump.m4a,Char_Jump_ch41
0,ch42jump.m4a,ch42jump.ogg,ch42jump.m4a,Char_Jump_ch42
0,g_giantland.m4a,g_giantland.ogg,g_giantland.m4a,Char_Land_Gigantic
0,ch01slide.m4a,ch01slide.ogg,ch01slide.m4a,Char_Slide_ch01
0,ch02slide.m4a,ch02slide.ogg,ch02slide.m4a,Char_Slide_ch02
0,ch03slide.m4a,ch03slide.ogg,ch03slide.m4a,Char_Slide_ch03
0,ch04slide.m4a,ch04slide.ogg,ch04slide.m4a,Char_Slide_ch04
0,ch05slide.m4a,ch05slide.ogg,ch05slide.m4a,Char_Slide_ch05
0,ch06slide.m4a,ch06slide.ogg,ch06slide.m4a,Char_Slide_ch06
0,ch07slide.m4a,ch07slide.ogg,ch07slide.m4a,Char_Slide_ch07
0,ch08slide.m4a,ch08slide.ogg,ch08slide.m4a,Char_Slide_ch08
0,ch09slide.m4a,ch09slide.ogg,ch09slide.m4a,Char_Slide_ch09
0,ch10slide.m4a,ch10slide.ogg,ch10slide.m4a,Char_Slide_ch10
0,ch11slide.m4a,ch11slide.ogg,ch11slide.m4a,Char_Slide_ch11
0,ch12slide.m4a,ch12slide.ogg,ch12slide.m4a,Char_Slide_ch12
0,ch13slide.m4a,ch13slide.ogg,ch13slide.m4a,Char_Slide_ch13
0,ch14slide.m4a,ch14slide.ogg,ch14slide.m4a,Char_Slide_ch14
0,ch15slide.m4a,ch15slide.ogg,ch15slide.m4a,Char_Slide_ch15
0,ch16slide.m4a,ch16slide.ogg,ch16slide.m4a,Char_Slide_ch16
0,ch17slide.m4a,ch02slide.ogg,ch02slide.m4a,Char_Slide_ch17
0,ch18slide.m4a,ch18slide.ogg,ch18slide.m4a,Char_Slide_ch18
0,ch19slide.m4a,ch19slide.ogg,ch19slide.m4a,Char_Slide_ch19
0,ch20slide.m4a,ch20slide.ogg,ch20slide.m4a,Char_Slide_ch20
0,ch21slide.m4a,ch21slide.ogg,ch21slide.m4a,Char_Slide_ch21
0,ch22slide.m4a,ch22slide.ogg,ch22slide.m4a,Char_Slide_ch22
0,ch23slide.m4a,ch23slide.ogg,ch23slide.m4a,Char_Slide_ch23
0,ch24slide.m4a,ch24slide.ogg,ch24slide.m4a,Char_Slide_ch24
0,ch24slide_woman.m4a,ch24slide_woman.ogg,ch24slide_woman.m4a,Char_Slide_ch24_Woman
0,ch25slide.m4a,ch25slide.ogg,ch25slide.m4a,Char_Slide_ch25
0,ch26slide.m4a,ch26slide.ogg,ch26slide.m4a,Char_Slide_ch26
0,ch27slide.m4a,ch27slide.ogg,ch27slide.m4a,Char_Slide_ch27
0,ch27slide_1.m4a,ch27slide_1.ogg,ch27slide_1.m4a,Char_Slide_ch27_1
0,ch27slide_2.m4a,ch27slide_2.ogg,ch27slide_2.m4a,Char_Slide_ch27_2
0,ch28slide.m4a,ch28slide.ogg,ch28slide.m4a,Char_Slide_ch28
0,ch29slide.m4a,ch29slide.ogg,ch29slide.m4a,Char_Slide_ch29
0,ch30slide.m4a,ch30slide.ogg,ch30slide.m4a,Char_Slide_ch30
0,ch31slide.m4a,ch31slide.ogg,ch31slide.m4a,Char_Slide_ch31
0,ch32slide.m4a,ch32slide.ogg,ch32slide.m4a,Char_Slide_ch32
0,ch33slide.m4a,ch33slide.ogg,ch33slide.m4a,Char_Slide_ch33
0,ch34slide.m4a,ch34slide.ogg,ch34slide.m4a,Char_Slide_ch34
0,ch35slide.m4a,ch35slide.ogg,ch35slide.m4a,Char_Slide_ch35
0,ch36slide.m4a,ch36slide.ogg,ch36slide.m4a,Char_Slide_ch36
0,ch37slide.m4a,ch37slide.ogg,ch37slide.m4a,Char_Slide_ch37
0,ch37slide.m4a,ch37slide.ogg,ch37slide.m4a,Char_Slide_ch38
0,ch39slide.m4a,ch39slide.ogg,ch39slide.m4a,Char_Slide_ch39
0,ch40slide.m4a,ch40slide.ogg,ch40slide.m4a,Char_Slide_ch40
0,ch40slide_tiger.m4a,ch40slide_tiger.ogg,ch40slide_tiger.m4a,Char_Slide_ch40_TigerForm
0,ch40slide.m4a,ch40slide.ogg,ch40slide.m4a,Char_Slide_ch40_lance
0,ch40slide_tiger.m4a,ch40slide_tiger.ogg,ch40slide_tiger.m4a,Char_Slide_ch40_lance_TigerForm
0,ch41slide.m4a,ch41slide.ogg,ch41slide.m4a,Char_Slide_ch41
0,ch42slide.m4a,ch42slide.ogg,ch42slide.m4a,Char_Slide_ch42
1.5,CheerLeader_CallFriends.m4a,CheerLeader_CallFriends.ogg,CheerLeader_CallFriends.m4a,CheerLeader_CallFriends
1.5,CheerLeader_Friends.m4a,CheerLeader_Friends.ogg,CheerLeader_Friends.m4a,CheerLeader_Friends
0.1,Rescue_Blast_End.m4a,Rescue_Blast_End.ogg,Rescue_Blast_End.m4a,CheeseCakeFireworkExplosion
0.1,Rescue_Blast_Start.m4a,Rescue_Blast_Start.ogg,Rescue_Blast_Start.m4a,CheeseCakeFireworkFire
0.1,ChocoKing_RedCarpet.m4a,ChocoKing_RedCarpet.ogg,ChocoKing_RedCarpet.m4a,ChocoKing_RedCarpet
1,CrusaderFlightEnd.m4a,CrusaderFlightEnd.ogg,CrusaderFlightEnd.m4a,CrusaderFlightEnd
1,CrusaderFlightRun.m4a,CrusaderFlightRun.ogg,CrusaderFlightRun.m4a,CrusaderFlightRun
1,CrusaderFlightStart.m4a,CrusaderFlightStart.ogg,CrusaderFlightStart.m4a,CrusaderFlightStart
0.1,Figure_NormalScore.m4a,Figure_NormalScore.ogg,Figure_NormalScore.m4a,ExtraNormalScore
0,Figure_CriticalScore.m4a,Figure_CriticalScore.ogg,Figure_CriticalScore.m4a,Figure_CriticalScore
0,Figure_NormalScore.m4a,Figure_NormalScore.ogg,Figure_NormalScore.m4a,Figure_NormalScore
0,FireSpirit_ReviveStart.m4a,FireSpirit_ReviveStart.ogg,FireSpirit_ReviveStart.m4a,FireSpirit_ReviveStart
0,FireSpirit_TransformEnd.m4a,FireSpirit_TransformEnd.ogg,FireSpirit_TransformEnd.m4a,FireSpirit_TransformEnd
0,FireSpirit_TransformFlight.m4a,FireSpirit_TransformFlight.ogg,FireSpirit_TransformFlight.m4a,FireSpirit_TransformFlight
0,FireSpirit_TransformStart.m4a,FireSpirit_TransformStart.ogg,FireSpirit_TransformStart.m4a,FireSpirit_TransformStart
0,ch32skill.m4a,ch32skill.ogg,ch32skill.m4a,FortuneCookie_CastingSkill
0,Gumiho_Trans.m4a,Gumiho_Trans.ogg,Gumiho_Trans.m4a,GumihoTransToFox
0,Gumiho_Trans.m4a,Gumiho_Trans.ogg,Gumiho_Trans.m4a,GumihoTransToWoman
0.1,InviteNinja_Teleport.m4a,InviteNinja_Teleport.ogg,InviteNinja_Teleport.m4a,InviteNinja_TeleportSlide
0.1,JungleWarrior_JavelinCrash.m4a,JungleWarrior_JavelinCrash.ogg,JungleWarrior_JavelinCrash.m4a,JungleWarrior_JavelinCrash
0,JungleWarrior_ThrowingJavelin.m4a,JungleWarrior_ThrowingJavelin.ogg,JungleWarrior_ThrowingJavelin.m4a,JungleWarrior_ThrowingJavelin
0,JungleWarrior_TigerCrash.m4a,JungleWarrior_TigerCrash.ogg,JungleWarrior_TigerCrash.m4a,JungleWarrior_TigerCrash
0,JungleWarrior_TransformEnd.m4a,JungleWarrior_TransformEnd.ogg,JungleWarrior_TransformEnd.m4a,JungleWarrior_TransformEnd
0,ch40jump_tiger.m4a,ch40jump_tiger.ogg,ch40jump_tiger.m4a,JungleWarrior_TransformFlight
0,JungleWarrior_TransformStart.m4a,JungleWarrior_TransformStart.ogg,JungleWarrior_TransformStart.m4a,JungleWarrior_TransformStart
0.1,Magician_ChainLightning.m4a,Magician_ChainLightning.ogg,Magician_ChainLightning.m4a,MagicianChainLightning
0.01,Magician_ObsExplosion.m4a,Magician_ObsExplosion.ogg,Magician_ObsExplosion.m4a,MagicianObstacleExplosion
1,Magician_FlightEnd.m4a,Magician_FlightEnd.ogg,Magician_FlightEnd.m4a,MagicianSpecialSpellEnd
1,Magician_FlightStart.m4a,Magician_FlightStart.ogg,Magician_FlightStart.m4a,MagicianSpecialSpellFlightStart
1,Magician_ChangeStart.m4a,Magician_ChangeStart.ogg,Magician_ChangeStart.m4a,MagicianSpecialSpellStart
0,ch20passive.m4a,ch20passive.ogg,ch20passive.m4a,Passive_ch20
0,ch21passive.m4a,ch21passive.ogg,ch21passive.m4a,Passive_ch21
0,ch26passive.m4a,ch26passive.ogg,ch26passive.m4a,Passive_ch26
0,ch26passive.m4a,ch26passive.ogg,ch26passive.m4a,Passive_ch37
0,ch40passive.m4a,ch40passive.ogg,ch40passive.m4a,Passive_ch40
0,ch41passive.m4a,ch41passive.ogg,ch41passive.m4a,Passive_ch41
0,pet49passive.m4a,pet49passive.ogg,pet49passive.m4a,Passive_pet49
0,PinkCandyPet_AttractBearJellyMeteor.m4a,PinkCandyPet_AttractBearJellyMeteor.ogg,PinkCandyPet_AttractBearJellyMeteor.m4a,PinkCandyPet_AttractBearJellyMeteor
0,g_obs2.m4a,g_obs2.ogg,g_obs2.m4a,PinkCandyPet_BearMeteorCrash
0,g_obs2.m4a,g_obs2.ogg,g_obs2.m4a,PinkCandyPet_BearMeteorExplosion
0,PinkCandyPet_BearMeteorFall.m4a,PinkCandyPet_BearMeteorFall.ogg,PinkCandyPet_BearMeteorFall.m4a,PinkCandyPet_BearMeteorFall
0.01,pf_MoveDownFloor.m4a,pf_MoveDownFloor.ogg,pf_MoveDownFloor.m4a,Platform_MoveDownFloor
0.01,pf_MoveDownJump.m4a,pf_MoveDownJump.ogg,pf_MoveDownJump.m4a,Platform_MoveDownJump
0.01,pf_MoveDownSlide.m4a,pf_MoveDownSlide.ogg,pf_MoveDownSlide.m4a,Platform_MoveDownSlide
0.01,pf_PillarOfFire.m4a,pf_PillarOfFire.ogg,pf_PillarOfFire.m4a,Platform_PillarOfFire
0.01,pf_PopUpObstacle.m4a,pf_PopUpObstacle.ogg,pf_PopUpObstacle.m4a,Platform_PopUpObstacle
0.01,pf_SlowDownSlide.m4a,pf_SlowDownSlide.ogg,pf_SlowDownSlide.m4a,Platform_SlowDownSlide
0,r_page.m4a,r_page.ogg,r_page.m4a,RandomPet_Born
0,rp_egg_crack2.m4a,rp_egg_crack2.ogg,rp_egg_crack2.m4a,RandomPet_Egg_Crack2
0,rp_result_a.m4a,rp_result_a.ogg,rp_result_a.m4a,RandomPet_Result_A
