resource_key,value,_key
ch34,0,AlchemistBalanceOff
ch34,4257,AlchemistCenterEnergyType
"ch78,ch79",8,Baduk_CoinCount
"ch78,ch79",12,Baduk_CoinCountWithKingCoin
"ch78,ch79",120,Baduk_MagnetSize
"ch78,ch79","20,40",Baduk_ProjectileStartOffset
"ch78,ch79",130,Baduk_StoneHeightLimit
"ch78,ch79",350,Baduk_StoneSpeed
ch68,200,BananaCoinJellyCountMax
ch68,970,BananaGoldCoinRate
ch29,7,BardDoubleJumpCount
ch81,400,BariPrincess_AttackCooltime
ch81,"0,0,180,180",BariPrincess_BariRunColArea
ch81,1500,BariPrincess_BariRunGiantSize
ch81,7,BariPrincess_BigSoulAttackCount
ch81_effect_ghost,"-100,-100,200,200",BariPrincess_BigSoulColArea
ch81_effect_ghost,"100,160",BariPrincess_BigSoulMovement
ch81,50,BariPrincess_MagnetSize
ch81,3,BariPrincess_MakeNormalSoulJellyAmount
ch81,15,BariPrincess_MakeSpecialSoulJellyAmount
ch81,2,BariPrincess_NormalSoulAttackCount
ch81_effect_ghost,"-50,-50,100,100",BariPrincess_NormalSoulColArea
ch81,3,BariPrincess_SpecialSoulAttackCount
ch81_effect_ghost,"-50,-50,100,100",BariPrincess_SpecialSoulColArea
ch81,3,BariPrincess_SpecialSoulIndex
ch81_effect,"-70,-80,100,120",BariPrincess_SwordColArea
ch81_effect,1200,BariPrincess_SwordSpeed
ch80,4,BoriGiantCount
ch80,"1200,1600,2000,2500",BoriGiantSize
ch80,10,BoriRecovery
ch25_effect,15,ChainLightning_NumOfJelly
ch20,200,CheerleaderCookieGoldProbValue
ch37,200,CheeseCakeJellyProbValue
ch28,0,CherryBomb_Max_Additional_Number
ch28,0,CherryBomb_Recovery
ch85,"3000,274,300",Chungmu_Cannon
ch85,"300,1,450,90",Chungmu_Jellycho
ch85,"0,70,80,540,270,130",Chungmu_Soldiers
ch85,0,Chungmu_TransformMagnetRange
ch85,1400,Chungmu_Transform_Speed
ch45,1600,CocoaColBoxRate
ch77,30,Cucumber_FishJellyCount
ch90_effect_front,9,DANDELION_JELLY_COUNT
ch90,1500,DANDELION_LAST_SEED_DELAY
ch90_effect_front,140,DANDELION_POMPOM_MAX_Y
ch90_effect_front,-20,DANDELION_POMPOM_MIN_Y
ch90,1300,DANDELION_TRANSFORM_SPEED
ch89,420,DUBAI_SPREAD_SPAWN_DISTANCE
ch89,120,DUBAI_SPREAD_SPAWN_INTERVAL
ch89,3,DUBAI_SPREAD_SPAWN_MAX_COUNT
ch18,1,ExercisesBlastBonus
ch18,5,ExercisesCriticalMulti
ch18,400,ExercisesCriticalProb
ch41,3500,FireSpiritSpeedRate
