key_reward_cell_button_ccb,package_seq,pass_banner_ccb,pass_detail_popup_ccb,pass_end_date,pass_info_popup_ccb,pass_start_date,pass_type,passpoint_stuff_seq,sub_title,title,_key
crcu_cookiepass_keyreward_season_001-1,25073110,crcu_cookiepass_banner_season_001,,2025-08-29 23:59:59,crcu_partyrun_pass_info,2025-07-31 09:00:01,PARTY_RUN_PASS,540001,$CookiePassInfo.1.title,$CookiePassInfo.1.title,1
crcu_cookiepass_keyreward_season_008,26072010,crcu_cookiepass_banner_season_008,,2026-08-18 23:59:59,crcu_partyrun_pass_info,2026-07-20 00:00:01,PARTY_RUN_PASS,540010,Party Run Season 8 Pass,Party Run Season 8 Pass,10
crcu_cookiepass_keyreward_season_001-2,25083010,crcu_cookiepass_banner_season_001-2,,2025-10-12 23:59:59,crcu_partyrun_pass_info,2025-08-30 00:00:01,PARTY_RUN_PASS,540002,$CookiePassInfo.1.title,$CookiePassInfo.1.title,2
crcu_cookiepass_keyreward_season_001,26122010,crcu_cookiepass_banner_season_001,,2026-01-18 23:59:59,crcu_partyrun_pass_info,2025-12-19 14:12:01,PARTY_RUN_PASS,540003,$CookiePassInfo.1.title,$CookiePassInfo.1.title,3
crcu_cookiepass_keyreward_season_002,26012010,crcu_cookiepass_banner_season_002,,2026-02-18 23:59:59,crcu_partyrun_pass_info,2026-01-20 00:00:01,PARTY_RUN_PASS,540004,$CookiePassInfo.2.title,$CookiePassInfo.2.title,4
crcu_cookiepass_keyreward_season_003,26022010,crcu_cookiepass_banner_season_003,,2026-03-18 23:59:59,crcu_partyrun_pass_info,2026-02-20 00:00:01,PARTY_RUN_PASS,540005,Party Run Season 3 Pass,Party Run Season 3 Pass,5
crcu_cookiepass_keyreward_season_004,26032010,crcu_cookiepass_banner_season_004,,2026-04-18 23:59:59,crcu_partyrun_pass_info,2026-03-20 00:00:01,PARTY_RUN_PASS,540006,Party Run Season 4 Pass,Party Run Season 4 Pass,6
crcu_cookiepass_keyreward_season_005,26042010,crcu_cookiepass_banner_season_005,,2026-05-18 23:59:59,crcu_partyrun_pass_info,2026-04-20 00:00:01,PARTY_RUN_PASS,540007,Party Run Season 5 Pass,Party Run Season 5 Pass,7
crcu_cookiepass_keyreward_season_006,26052010,crcu_cookiepass_banner_season_006,,2026-06-18 23:59:59,crcu_partyrun_pass_info,2026-05-20 00:00:01,PARTY_RUN_PASS,540008,Party Run Season 6 Pass,Party Run Season 6 Pass,8
crcu_cookiepass_keyreward_season_007,26052820,crcu_cookiepass_banner_season_007,,2026-07-18 23:59:59,crcu_partyrun_pass_info,2026-06-20 00:00:01,PARTY_RUN_PASS,540009,Party Run Season 7 Pass,Party Run Season 7 Pass,9
