BasicEnergy,Gender,Id_1,Id_10,Id_2,Id_3,Id_4,Id_5,Id_6,Id_7,Id_8,Id_9,OwnedPriority,PurchaseType,ResourceKeyString,SecondaryResourceKeyString,SubKey_1,SubKey_10,SubKey_2,SubKey_3,SubKey_4,SubKey_5,SubKey_6,SubKey_7,SubKey_8,SubKey_9,UnlockId,Value_1,Value_10,Value_2,Value_3,Value_4,Value_5,Value_6,Value_7,Value_8,Value_9,_key
0,0,1000,,,,,,,,,,0,0,house_01,,,,,,,,,,,,0,77,,,,,,,,,,1000
100,0,,,,,,,,,,,0,0,ch01,,,,,,,,,,,,0,,,,,,,,,,,100101
102,0,,,,,,,,,,,0,0,ch01,,,,,,,,,,,,0,,,,,,,,,,,100102
104,0,,,,,,,,,,,0,0,ch01,,,,,,,,,,,,0,,,,,,,,,,,100103
106,0,,,,,,,,,,,0,0,ch01,,,,,,,,,,,,0,,,,,,,,,,,100104
108,0,,,,,,,,,,,0,0,ch01,,,,,,,,,,,,0,,,,,,,,,,,100105
110,0,,,,,,,,,,,0,0,ch01,,,,,,,,,,,,0,,,,,,,,,,,100106
110,0,,,,,,,,,,,0,0,ch01,,,,,,,,,,,,0,,,,,,,,,,,100107
110,0,,,,,,,,,,,0,0,ch01,,,,,,,,,,,,0,,,,,,,,,,,100108
100,0,1099,,,,,,,,,,0,0,ch02,,,,,,,,,,,,12,1000,,,,,,,,,,100201
105,0,1099,,,,,,,,,,0,0,ch02,,,,,,,,,,,,0,1400,,,,,,,,,,100202
110,0,1099,,,,,,,,,,0,0,ch02,,,,,,,,,,,,0,1800,,,,,,,,,,100203
115,0,1099,,,,,,,,,,0,0,ch02,,,,,,,,,,,,0,2200,,,,,,,,,,100204
120,0,1099,,,,,,,,,,0,0,ch02,,,,,,,,,,,,0,2600,,,,,,,,,,100205
125,0,1099,,,,,,,,,,0,0,ch02,,,,,,,,,,,,0,3000,,,,,,,,,,100206
130,0,1099,,,,,,,,,,0,0,ch02,,,,,,,,,,,,0,4000,,,,,,,,,,100207
135,0,1099,,,,,,,,,,0,0,ch02,,,,,,,,,,,,0,5000,,,,,,,,,,100208
100,0,1005,,,,,,,,,,0,0,ch03,,,,,,,,,,,,4,1050,,,,,,,,,,100301
102,0,1005,,,,,,,,,,0,0,ch03,,,,,,,,,,,,0,1060,,,,,,,,,,100302
104,0,1005,,,,,,,,,,0,0,ch03,,,,,,,,,,,,0,1070,,,,,,,,,,100303
106,0,1005,,,,,,,,,,0,0,ch03,,,,,,,,,,,,0,1080,,,,,,,,,,100304
108,0,1005,,,,,,,,,,0,0,ch03,,,,,,,,,,,,0,1090,,,,,,,,,,100305
110,0,1005,,,,,,,,,,0,0,ch03,,,,,,,,,,,,0,1100,,,,,,,,,,100306
110,0,1005,,,,,,,,,,0,0,ch03,,,,,,,,,,,,0,1110,,,,,,,,,,100307
110,0,1005,,,,,,,,,,0,0,ch03,,,,,,,,,,,,0,1120,,,,,,,,,,100308
110,0,1004,,1005,,,,,,,,0,0,ch04,,,,,,,,,,,,90,1130,,1030,,,,,,,,100401
120,0,1004,,1005,,,,,,,,0,0,ch04,,,,,,,,,,,,0,1140,,1040,,,,,,,,100402
130,0,1004,,1005,,,,,,,,0,0,ch04,,,,,,,,,,,,0,1150,,1050,,,,,,,,100403
140,0,1004,,1005,,,,,,,,0,0,ch04,,,,,,,,,,,,0,1160,,1060,,,,,,,,100404
