UnlockId,activity_pointA,activity_pointB,bonus_qty,contentsVersion,group_seq,imageTag,item_id,moneyTypeA,moneyTypeB,money_stuff_seqA,money_stuff_seqB,priceA,priceB,qty,related_stuff_seq,slotPriority,stuffStatus,stuffType,stuff_name,tag,_key
0,0,0,0,0,1001,,,2,99,0,0,20,0,1,0,0,1,MD,1 Medal,0,1001
0,0,0,0,0,100100,ch01,,1,2,0,0,0,0,1,0,1,1,C,GingerBrave,0,100100
0,0,0,0,0,100100,ch01,,1,2,0,0,0,0,1,0,1,1,C,GingerBrave,1,100101
0,2,2,0,0,100100,ch01,,1,2,0,0,500,0,1,0,1,1,C,GingerBrave,2,100102
0,2,2,0,0,100100,ch01,,1,2,0,0,700,0,1,0,1,1,C,GingerBrave,3,100103
0,3,3,0,0,100100,ch01,,1,2,0,0,1000,0,1,0,1,1,C,GingerBrave,4,100104
0,4,4,0,0,100100,ch01,,1,2,0,0,1300,0,1,0,1,1,C,GingerBrave,5,100105
0,5,5,0,0,100100,ch01,,1,2,0,0,1600,0,1,0,1,1,C,GingerBrave,6,100106
0,6,6,0,0,100100,ch01,,1,2,0,0,1900,0,1,0,1,1,C,GingerBrave,7,100107
0,7,7,0,0,100100,ch01,,1,2,0,0,2200,0,1,0,1,1,C,GingerBrave,8,100108
0,0,0,0,0,1002,,,2,99,0,0,20,0,5,0,0,1,MD,5 Medals,0,1002
0,0,0,0,0,100200,ch02,,1,2,0,0,0,0,1,0,3,1,C,Strawberry Cookie,0,100200
12,45,45,0,0,100200,ch02,,1,2,0,0,13500,15,1,0,3,1,C,Strawberry Cookie,1,100201
0,23,23,0,0,100200,ch02,,1,2,0,0,7000,0,1,0,3,1,C,Strawberry Cookie,2,100202
0,33,33,0,0,100200,ch02,,1,2,0,0,10000,0,1,0,3,1,C,Strawberry Cookie,3,100203
0,43,43,0,0,100200,ch02,,1,2,0,0,13000,0,1,0,3,1,C,Strawberry Cookie,4,100204
0,53,53,0,0,100200,ch02,,1,2,0,0,16000,0,1,0,3,1,C,Strawberry Cookie,5,100205
0,63,63,0,0,100200,ch02,,1,2,0,0,19000,0,1,0,3,1,C,Strawberry Cookie,6,100206
0,73,73,0,0,100200,ch02,,1,2,0,0,22000,0,1,0,3,1,C,Strawberry Cookie,7,100207
0,83,83,0,0,100200,ch02,,1,2,0,0,25000,0,1,0,3,1,C,Strawberry Cookie,8,100208
0,0,0,0,0,1003,,,2,99,0,0,20,0,10,0,0,1,MD,10 Medals,0,1003
0,0,0,0,0,100300,ch03,,1,2,0,0,0,0,1,0,2,1,C,GingerBright,0,100300
4,9,9,0,0,100300,ch03,,1,2,0,0,2700,3,1,0,2,1,C,GingerBright,1,100301
0,2,2,0,0,100300,ch03,,1,2,0,0,700,0,1,0,2,1,C,GingerBright,2,100302
0,4,4,0,0,100300,ch03,,1,2,0,0,1200,0,1,0,2,1,C,GingerBright,3,100303
0,6,6,0,0,100300,ch03,,1,2,0,0,1700,0,1,0,2,1,C,GingerBright,4,100304
0,7,7,0,0,100300,ch03,,1,2,0,0,2200,0,1,0,2,1,C,GingerBright,5,100305
0,9,9,0,0,100300,ch03,,1,2,0,0,2700,0,1,0,2,1,C,GingerBright,6,100306
0,11,11,0,0,100300,ch03,,1,2,0,0,3200,0,1,0,2,1,C,GingerBright,7,100307
0,12,12,0,0,100300,ch03,,1,2,0,0,3700,0,1,0,2,1,C,GingerBright,8,100308
0,0,0,0,0,1004,,,2,99,0,0,20,0,50,0,0,1,MD,50 Medals,0,1004
0,0,0,0,0,100400,ch04,,1,2,0,0,0,0,1,0,7,2,C,GingerBrave,0,100400
