comment,event_group_probability,group_probability,replacement_stuff_seq,set_name,stuff_seq,_key
유물뽑기_에피소드1,,10000,41001,Artifact_Ep1,40001,4000100
유물뽑기_에피소드2,,10000,41002,Artifact_Ep2,40002,4000200
유물뽑기_에피소드3,,10000,41003,Artifact_Ep3,40003,4000300
유물뽑기_에피소드4,,10000,41004,Artifact_Ep4,40004,4000400
유물뽑기_에피소드5,,10000,41005,Artifact_Ep5,40005,4000500
유물뽑기_에피소드6,,10000,41006,Artifact_Ep6,40006,4000600
유물뽑기_스페셜에피소드1,,10000,41501,Artifact_SEp1,40501,4050100
유물뽑기_스페셜에피소드2,,10000,41502,Artifact_SEp2,40502,4050200
유물뽑기_스페셜에피소드3,,10000,41503,Artifact_SEp3,40503,4050300
유물뽑기_대체보상_에피소드1,,10000,,AR_Ep1,41001,4100100
유물뽑기_대체보상_에피소드2,,10000,,AR_Ep2,41002,4100200
유물뽑기_대체보상_에피소드3,,10000,,AR_Ep3,41003,4100300
유물뽑기_대체보상_에피소드4,,10000,,AR_Ep4,41004,4100400
유물뽑기_대체보상_에피소드5,,10000,,AR_Ep5,41005,4100500
유물뽑기_대체보상_에피소드6,,10000,,AR_Ep6,41006,4100600
유물뽑기_대체보상_스페셜에피소드1,,10000,,AR_SEp1,41501,4150100
유물뽑기_대체보상_스페셜에피소드2,,10000,,AR_SEp2,41502,4150200
유물뽑기_대체보상_스페셜에피소드3,,10000,,AR_SEp3,41503,4150300
친구쿠키로달리기선물뽑기,,10000,0,FriendGasha,50001,5000100
사용효과_보물_코인_뽑기,,100,0,Coin_Gashapon,1101,50400
추석송편모아 대체보상,,10000,0,EventReplace,60002,6000200
모으기 보상뽑기_20170116,,10000,60002,EvGacha_20170116,60003,6000300
모으기 보상뽑기_20170123,,10000,60002,EvGacha_20170123,60004,6000400
모으기 보상뽑기_20170130,,10000,60002,EvGacha_20170130,60005,6000500
모으기 보상뽑기_20170206,,10000,60002,EvGacha_20170206,60006,6000600
모으기 보상뽑기_20170213,,10000,60002,EvGacha_20170213,60007,6000700
모으기 보상뽑기_20170403,,10000,60002,EvGacha_20170403,60008,6000800
모으기 보상뽑기_20170410,,10000,60002,EvGacha_20170410,60009,6000900
모으기 보상뽑기_20170417,,10000,60002,EvGacha_20170417,60010,6001000
미스테리박스뽑기,,10000,0,MysteryBoxGasha,600101,60010100
미스테리박스뽑기,,10000,0,MysteryBoxGasha,600102,60010200
미스테리박스뽑기,,10000,0,MysteryBoxGasha,600103,60010300
모으기 보상뽑기_20170424,,10000,60002,EvGacha_20170424,60011,6001100
모으기 보상뽑기_20170501,,10000,60002,EvGacha_20170501,60012,6001200
모으기 보상뽑기_20170619,,10000,60002,EvGacha_20170619,60013,6001300
모으기 보상뽑기_20170626,,10000,60002,EvGacha_20170626,60014,6001400
모으기 보상뽑기_20170703,,10000,60002,EvGacha_20170703,60015,6001500
모으기 보상뽑기_20170710,,10000,60002,EvGacha_20170710,60016,6001600
모으기 보상뽑기_20170717,,10000,60002,EvGacha_20170717,60017,6001700
모으기 보상뽑기_20170807,,10000,60002,EvGacha_20170807,60018,6001800
모으기 보상뽑기_20170814,,10000,60002,EvGacha_20170814,60019,6001900
모으기 보상뽑기_20170821,,10000,60002,EvGacha_20170821,60020,6002000
미스테리박스뽑기,,10000,0,MysteryBoxGasha,600201,60020100
미스테리박스뽑기,,10000,0,MysteryBoxGasha,600202,60020200
미스테리박스뽑기,,10000,0,MysteryBoxGasha,600203,60020300
모으기 보상뽑기_20170828,,10000,60002,EvGacha_20170828,60021,6002100
모으기 보상뽑기_20170904,,10000,60002,EvGacha_20170904,60022,6002200
모으기 보상뽑기_20171016,,10000,60002,EvGacha_20171016,60023,6002300
모으기 보상뽑기_20171023,,10000,60002,EvGacha_20171023,60024,6002400
모으기 보상뽑기_20171030,,10000,60002,EvGacha_20171030,60025,6002500
모으기 보상뽑기_20171106,,10000,60002,EvGacha_20171106,60026,6002600
모으기 보상뽑기_20171113,,10000,60002,EvGacha_20171113,60027,6002700
모으기 보상뽑기_20240202,,10000,60002,EvGacha_20240202,60028,6002800
모으기 보상뽑기_20240902,,10000,60002,EvGacha_20240902,60029,6002900
모으기 보상뽑기_20250207,,10000,60002,EvGacha_20250207,60030,6003000
미스테리박스뽑기,,10000,0,MysteryBoxGasha,600301,60030100
미스테리박스뽑기,,10000,0,MysteryBoxGasha,600302,60030200
미스테리박스뽑기,,10000,0,MysteryBoxGasha,600303,60030300
모으기 보상뽑기_20250418,,10000,60002,EvGacha_20250418,60031,6003100
모으기 보상뽑기_20250828,,10000,60002,EvGacha_20250828,60032,6003200
모으기 보상뽑기_20250929,,10000,60002,EvGacha_20250929,60033,6003300
모으기 보상뽑기_20251204,,10000,60002,EvGacha_20251204,60034,6003400
모으기 보상뽑기_20260109,,10000,60002,EvGacha_20260109,60035,6003500
모으기 보상뽑기_20260214,,10000,60002,EvGacha_20260214,60036,6003600
