event_stuff_probability,gashapon_status,group_seq,is_seasonal_gashapon,set_name,stuff_probability,stuff_seq,_key
,1,8035000,1,Coin_Gashapon,100,1101,311600
,1,8025000,1,Coin_Gashapon,100,1101,311601
,1,8015000,1,Coin_Gashapon,100,1101,311602
,1,8005000,1,Coin_Gashapon,100,1101,311603
,1,204900,1,Artifact_Ep1,1000,40001,40001000
,1,853,1,Artifact_Ep1,1000,40001,40001001
,1,7770010,1,Artifact_Ep1,1000,40001,40001002
,1,7770005,1,Artifact_Ep1,1000,40001,40001003
,1,8030000,1,Artifact_Ep1,1000,40001,40001004
,1,8020000,1,Artifact_Ep1,1000,40001,40001005
,1,7400800,1,Artifact_Ep1,1000,40001,40001006
,1,7400500,1,Artifact_Ep1,1000,40001,40001007
,1,7330005,1,Artifact_Ep1,1000,40001,40001008
,1,7330003,1,Artifact_Ep1,1000,40001,40001009
,1,7220030,1,Artifact_Ep1,1000,40001,40001010
,1,7402500,1,Artifact_Ep1,1000,40001,40001011
,1,7330010,1,Artifact_Ep1,1000,40001,40001012
,1,104000,1,Artifact_Ep2,1000,40002,40002000
,1,853,1,Artifact_Ep2,1000,40002,40002001
,1,7770015,1,Artifact_Ep2,1000,40002,40002002
,1,7770010,1,Artifact_Ep2,1000,40002,40002003
,1,8035000,1,Artifact_Ep2,1000,40002,40002004
,1,8025000,1,Artifact_Ep2,1000,40002,40002005
,1,7400900,1,Artifact_Ep2,1000,40002,40002006
,1,7400600,1,Artifact_Ep2,1000,40002,40002007
,1,7330007,1,Artifact_Ep2,1000,40002,40002008
,1,7330005,1,Artifact_Ep2,1000,40002,40002009
,1,7220050,1,Artifact_Ep2,1000,40002,40002010
,1,7402500,1,Artifact_Ep2,1000,40002,40002011
,1,7330010,1,Artifact_Ep2,1000,40002,40002012
,1,104100,1,Artifact_Ep3,1000,40003,40003000
,1,853,1,Artifact_Ep3,1000,40003,40003001
,1,7770015,1,Artifact_Ep3,1000,40003,40003002
,1,7770010,1,Artifact_Ep3,1000,40003,40003003
,1,8035000,1,Artifact_Ep3,1000,40003,40003004
,1,8025000,1,Artifact_Ep3,1000,40003,40003005
,1,7401000,1,Artifact_Ep3,1000,40003,40003006
,1,7400800,1,Artifact_Ep3,1000,40003,40003007
,1,7330007,1,Artifact_Ep3,1000,40003,40003008
,1,7330005,1,Artifact_Ep3,1000,40003,40003009
,1,7220080,1,Artifact_Ep3,1000,40003,40003010
,1,7402500,1,Artifact_Ep3,1000,40003,40003011
,1,7330010,1,Artifact_Ep3,1000,40003,40003012
,1,104900,1,Artifact_Ep4,1000,40004,40004000
,1,853,1,Artifact_Ep4,1000,40004,40004001
,1,7770015,1,Artifact_Ep4,1000,40004,40004002
,1,7770010,1,Artifact_Ep4,1000,40004,40004003
,1,8035000,1,Artifact_Ep4,1000,40004,40004004
,1,8025000,1,Artifact_Ep4,1000,40004,40004005
,1,7401000,1,Artifact_Ep4,1000,40004,40004006
,1,7400800,1,Artifact_Ep4,1000,40004,40004007
,1,7330007,1,Artifact_Ep4,1000,40004,40004008
,1,7330005,1,Artifact_Ep4,1000,40004,40004009
,1,7220080,1,Artifact_Ep4,1000,40004,40004010
,1,7402500,1,Artifact_Ep4,1000,40004,40004011
,1,7330010,1,Artifact_Ep4,1000,40004,40004012
,1,107000,1,Artifact_Ep5,1000,40005,40005000
,1,853,1,Artifact_Ep5,1000,40005,40005001
,1,7770015,1,Artifact_Ep5,1000,40005,40005002
,1,7770010,1,Artifact_Ep5,1000,40005,40005003
,1,8035000,1,Artifact_Ep5,1000,40005,40005004
,1,8025000,1,Artifact_Ep5,1000,40005,40005005
,1,7401000,1,Artifact_Ep5,1000,40005,40005006
,1,7400800,1,Artifact_Ep5,1000,40005,40005007
,1,7330007,1,Artifact_Ep5,1000,40005,40005008
,1,7330005,1,Artifact_Ep5,1000,40005,40005009
,1,7220080,1,Artifact_Ep5,1000,40005,40005010
,1,7402500,1,Artifact_Ep5,1000,40005,40005011
,1,7330010,1,Artifact_Ep5,1000,40005,40005012
,1,108700,1,Artifact_Ep6,1000,40006,40006000
,1,853,1,Artifact_Ep6,1000,40006,40006001
,1,7770015,1,Artifact_Ep6,1000,40006,40006002
,1,7770010,1,Artifact_Ep6,1000,40006,40006003
,1,8035000,1,Artifact_Ep6,1000,40006,40006004
,1,8025000,1,Artifact_Ep6,1000,40006,40006005
,1,7401000,1,Artifact_Ep6,1000,40006,40006006
,1,7400800,1,Artifact_Ep6,1000,40006,40006007
,1,7330007,1,Artifact_Ep6,1000,40006,40006008
,1,7330005,1,Artifact_Ep6,1000,40006,40006009
,1,7220080,1,Artifact_Ep6,1000,40006,40006010
,1,7402500,1,Artifact_Ep6,1000,40006,40006011
,1,7330010,1,Artifact_Ep6,1000,40006,40006012
,1,1501701,1,Artifact_SEp1,1000,40501,40501000
,1,853,1,Artifact_SEp1,1000,40501,40501001
,1,7770015,1,Artifact_SEp1,1000,40501,40501002
,1,7770010,1,Artifact_SEp1,1000,40501,40501003
,1,8035000,1,Artifact_SEp1,1000,40501,40501004
,1,8025000,1,Artifact_SEp1,1000,40501,40501005
,1,7401000,1,Artifact_SEp1,1000,40501,40501006
,1,7400800,1,Artifact_SEp1,1000,40501,40501007
,1,7330007,1,Artifact_SEp1,1000,40501,40501008
