action,comment,condition,episode_seq,finish,game_statistics_category,game_statistics_index,game_statistics_plist,game_statistics_sprite,ice_tower_mission_order,ice_tower_stage,increment,nomal_quest_type,operator,quest_category,quest_status,quest_type,resouce_key_string,reward_qty,reward_seq,reward_type,start,_key
NONE,Complete 30 tasks for Episode 1: Escape from the Oven (Common tasks excluded),,502,30,,,,,,,episodeCountRewardedQuests(1),U,SET,0,1,UNLOCK,special,20,,G,0,50200000
NONE,Gather 20 Frozen Stars,,502,20,,,,,,,iceTowerCountFinishedQuests(),U,SET,0,1,NORMAL,special,1,80002,S,0,50200001
NONE,Gather 50 Frozen Stars,questIsFinished(50200001),502,50,,,,,,,iceTowerCountFinishedQuests(),U,SET,0,1,NORMAL,special,1,80004,S,0,50200002
NONE,Gather 100 Frozen Stars,questIsFinished(50200002),502,100,,,,,,,iceTowerCountFinishedQuests(),U,SET,0,1,NORMAL,special,100,,G,0,50200003
NONE,Gather 150 Frozen Stars,questIsFinished(50200003),502,150,,,,,,,iceTowerCountFinishedQuests(),U,SET,0,1,NORMAL,special,1,1508101,S,0,50200004
NONE,Gather 200 Frozen Stars,questIsFinished(50200004),502,200,,,,,,,iceTowerCountFinishedQuests(),U,SET,0,1,NORMAL,special,3,80004,S,0,50200005
NONE,Gather 250 Frozen Stars,questIsFinished(50200005),502,250,,,,,,,iceTowerCountFinishedQuests(),U,SET,0,1,NORMAL,special,3,834,GPS,0,50200006
NONE,Gather 300 Frozen Stars,questIsFinished(50200006),502,300,,,,,,,iceTowerCountFinishedQuests(),U,SET,0,1,NORMAL,special,1,206801,S,0,50200007
AFTER_PLAY,Reach the Frozen Gate,,502,1,0,61,event_various_game.plist,event_game_goal_58.png,1,1,#PassedIceDoor,N,SET,0,1,NORMAL,1play,1,,G,0,50200101
AFTER_PLAY,Go to Bonus Time once,questIsFinished(50200101),502,1,0,18,event_various_game.plist,event_game_goal_06.png,2,1,#enterBonusTime,N,SET,0,1,NORMAL,1play,2,,K,0,50200102
AFTER_PLAY,Gather 83 Jellies,questIsFinished(50200102),502,830,0,6,event_various_game.plist,event_game_goal_09.png,3,1,#jellyCount,N,SET,0,1,NORMAL,1play,1,80002,S,0,50200103
AFTER_PLAY,Gather 270 Yellow Bear Jellies,,502,270,0,8,event_various_game.plist,event_game_goal_10.png,1,2,#yellowBearJelly,N,SET,0,1,NORMAL,1play,1,80001,S,0,50200201
AFTER_PLAY,Gather 5 Giant Coins,questIsFinished(50200201),502,5,0,34,event_various_game.plist,event_game_goal_24.png,2,2,#bigGoldCoinJelly,N,SET,0,1,NORMAL,1play,5000,,C,0,50200202
AFTER_PLAY,"Gather 1,145 Coins",questIsFinished(50200202),502,1145,0,22,event_various_game.plist,event_game_goal_02.png,3,2,#pureCoin,N,SET,0,1,NORMAL,1play,500,,P,0,50200203
AFTER_PLAY,Gather 24 Giant Coins,,502,24,0,34,event_various_game.plist,event_game_goal_24.png,1,3,#bigGoldCoinJelly,N,SET,0,1,NORMAL,1play,2,,K,0,50200301
AFTER_PLAY,Gather 100 Gold Coins,questIsFinished(50200301),502,100,2,777,event_various_game.plist,event_game_goal_23.png,2,3,#jellyMagicStat_777_GetCount,N,SET,0,1,NORMAL,1play,2,,G,0,50200302
AFTER_PLAY,Gather 630 Silver Coins,questIsFinished(50200302),502,630,0,32,event_various_game.plist,event_game_goal_52.png,3,3,#silverCoinJelly,N,SET,0,1,NORMAL,1play,1,853,S,0,50200303
AFTER_PLAY,Clear within 79 seconds,,502,79,0,19,event_various_game.plist,event_game_goal_64.png,1,4,#runningPlayTime,N,LESS,0,1,NORMAL,1play,5000,,C,0,50200401
AFTER_PLAY,Crush 125 obstacles,questIsFinished(50200401),502,125,0,12,event_various_game.plist,event_game_goal_14.png,2,4,#destroyObstacle,N,SET,0,1,NORMAL,1play,600,,P,0,50200402
AFTER_PLAY,Gather 153 Gold Coins,questIsFinished(50200402),502,153,2,777,event_various_game.plist,event_game_goal_23.png,3,4,#jellyMagicStat_777_GetCount,N,SET,0,1,NORMAL,1play,1,1700201,S,0,50200403
AFTER_PLAY,Reach the Frozen Gate,,502,1,0,61,event_various_game.plist,event_game_goal_58.png,1,5,#PassedIceDoor,N,SET,0,1,NORMAL,1play,2,,K,0,50200501
AFTER_PLAY,Run into no obstacles,questIsFinished(50200501),502,0,0,14,event_various_game.plist,event_game_goal_72.png,2,5,#collision,N,LESS,0,1,NORMAL,1play,1,80001,S,0,50200502
AFTER_PLAY,Clear within 47 seconds,questIsFinished(50200502),502,47,0,19,event_various_game.plist,event_game_goal_64.png,3,5,#runningPlayTime,N,LESS,0,1,NORMAL,1play,3,,G,0,50200503
AFTER_PLAY,Gather 10 Colorful Star Jelly Parties,,502,10,2,1003,event_various_game.plist,event_game_goal_20.png,1,6,#jellyMagicStat_1003_GetCount,N,SET,0,1,NORMAL,1play,1,853,S,0,50200601
AFTER_PLAY,Gather 210 Silver Coins,questIsFinished(50200601),502,210,0,32,event_various_game.plist,event_game_goal_52.png,2,6,#silverCoinJelly,N,SET,0,1,NORMAL,1play,2,,K,0,50200602
AFTER_PLAY,"Gather 1,150 Jellies",questIsFinished(50200602),502,1150,0,6,event_various_game.plist,event_game_goal_09.png,3,6,#jellyCount,N,SET,0,1,NORMAL,1play,6000,,C,0,50200603
AFTER_PLAY,Run into 1 obstacle max,,502,1,0,14,event_various_game.plist,event_game_goal_72.png,1,7,#collision,N,LESS,0,1,NORMAL,1play,100,,A,0,50200701
AFTER_PLAY,Gather 110 Giant Bear Jellies,questIsFinished(50200701),502,110,0,10,event_various_game.plist,event_game_goal_12.png,2,7,#kingBearJelly,N,SET,0,1,NORMAL,1play,1,80002,S,0,50200702
AFTER_PLAY,"Gather 3,300 Coins",questIsFinished(50200702),502,3300,0,22,event_various_game.plist,event_game_goal_02.png,3,7,#pureCoin,N,SET,0,1,NORMAL,1play,3,,G,0,50200703
AFTER_PLAY,Run into 4 obstacles max,,502,4,0,14,event_various_game.plist,event_game_goal_72.png,1,8,#collision,N,LESS,0,1,NORMAL,1play,5000,,C,0,50200801
AFTER_PLAY,Gather 320 Bear Jellies,questIsFinished(50200801),502,320,0,7,event_various_game.plist,event_game_goal_48.png,2,8,#bearJelly,N,SET,0,1,NORMAL,1play,1,2201,S,0,50200802
AFTER_PLAY,Gather 340 Yellow Bear Jellies,questIsFinished(50200802),502,340,0,8,event_various_game.plist,event_game_goal_10.png,3,8,#yellowBearJelly,N,SET,0,1,NORMAL,1play,600,,P,0,50200803
AFTER_PLAY,Gather 24 Giant Coins,,502,24,0,34,event_various_game.plist,event_game_goal_24.png,1,9,#bigGoldCoinJelly,N,SET,0,1,NORMAL,1play,1,1700201,S,0,50200901
AFTER_PLAY,Gather 270 Gold Coins,questIsFinished(50200901),502,270,2,777,event_various_game.plist,event_game_goal_23.png,2,9,#jellyMagicStat_777_GetCount,N,SET,0,1,NORMAL,1play,110,,A,0,50200902
AFTER_PLAY,Gather 480 Silver Coins,questIsFinished(50200902),502,480,0,32,event_various_game.plist,event_game_goal_52.png,3,9,#silverCoinJelly,N,SET,0,1,NORMAL,1play,6000,,C,0,50200903
AFTER_PLAY,Reach the Frozen Gate,,502,1,0,61,event_various_game.plist,event_game_goal_58.png,1,10,#PassedIceDoor,N,SET,0,1,NORMAL,1play,5,,G,0,50201001
AFTER_PLAY,Gather 100 Gold Coins,questIsFinished(50201001),502,100,2,777,event_various_game.plist,event_game_goal_23.png,2,10,#jellyMagicStat_777_GetCount,N,SET,0,1,NORMAL,1play,1000,,P,0,50201002
AFTER_PLAY,Gather 20 Alphabet Jellies,questIsFinished(50201002),502,20,0,45,event_various_game.plist,event_game_goal_32.png,3,10,#alphabetJellyCount,N,SET,0,1,NORMAL,1play,1,80003,S,0,50201003
AFTER_PLAY,Gather 160 Frozen Bear Jellies,,502,160,1,506,event_various_game.plist,event_game_goal_86.png,1,11,#jelly_506_GetCount,N,SET,0,1,NORMAL,1play,6000,,C,0,50201101
AFTER_PLAY,Gather 333 basic Jellies,questIsFinished(50201101),502,333,1,500,event_various_game.plist,event_game_goal_88.png,2,11,#jelly_500_GetCount,N,SET,0,1,NORMAL,1play,1,2201,S,0,50201102
AFTER_PLAY,Double Jump 50 times,questIsFinished(50201102),502,50,0,3,event_various_game.plist,event_game_goal_04.png,3,11,#doubleJump,N,SET,0,1,NORMAL,1play,800,,P,0,50201103
AFTER_PLAY,Reach the Frozen Gate,,502,1,0,61,event_various_game.plist,event_game_goal_58.png,1,12,#PassedIceDoor,N,SET,0,1,NORMAL,1play,1,80001,S,0,50201201
AFTER_PLAY,Jump 70 times,questIsFinished(50201201),502,70,0,1,event_various_game.plist,event_game_goal_03.png,2,12,#totalJump,N,SET,0,1,NORMAL,1play,120,,A,0,50201202
AFTER_PLAY,Gather 300 Frozen Bear Jellies,questIsFinished(50201202),502,300,1,506,event_various_game.plist,event_game_goal_86.png,3,12,#jelly_506_GetCount,N,SET,0,1,NORMAL,1play,8000,,C,0,50201203
AFTER_PLAY,Gather 285 Pink Bear Jellies,,502,285,0,9,event_various_game.plist,event_game_goal_11.png,1,13,#pinkBearJelly,N,SET,0,1,NORMAL,1play,1,853,S,0,50201301
AFTER_PLAY,Gather 100 Yellow Bear Jellies,questIsFinished(50201301),502,100,0,8,event_various_game.plist,event_game_goal_10.png,2,13,#yellowBearJelly,N,SET,0,1,NORMAL,1play,600,,P,0,50201302
AFTER_PLAY,Gather 295 Pink Bear Jellies,questIsFinished(50201302),502,295,0,9,event_various_game.plist,event_game_goal_11.png,3,13,#pinkBearJelly,N,SET,0,1,NORMAL,1play,3,,G,0,50201303
AFTER_PLAY,Slide for 45 seconds,,502,45,0,5,event_various_game.plist,event_game_goal_05.png,1,14,#slideTime,N,SET,0,1,NORMAL,1play,2,,K,0,50201401
AFTER_PLAY,Gather 20 Giant Coins,questIsFinished(50201401),502,20,0,34,event_various_game.plist,event_game_goal_24.png,2,14,#bigGoldCoinJelly,N,SET,0,1,NORMAL,1play,1,1700201,S,0,50201402
AFTER_PLAY,Slide for 58 seconds,questIsFinished(50201402),502,58,0,5,event_various_game.plist,event_game_goal_05.png,3,14,#slideTime,N,SET,0,1,NORMAL,1play,1,80002,S,0,50201403
AFTER_PLAY,Clear within 95 seconds,,502,95,0,19,event_various_game.plist,event_game_goal_64.png,1,15,#runningPlayTime,N,LESS,0,1,NORMAL,1play,2,,G,0,50201501
AFTER_PLAY,Run at least 103 seconds,questIsFinished(50201501),502,103,0,19,event_various_game.plist,event_game_goal_07.png,2,15,#runningPlayTime,N,SET,0,1,NORMAL,1play,1,80001,S,0,50201502
AFTER_PLAY,Gather 560 Frozen Bear Jellies,questIsFinished(50201502),502,560,1,506,event_various_game.plist,event_game_goal_86.png,3,15,#jelly_506_GetCount,N,SET,0,1,NORMAL,1play,800,,P,0,50201503
AFTER_PLAY,Gather 800 Colorful Star Jellies,,502,800,2,1002,event_various_game.plist,event_game_goal_57.png,1,16,#jellyMagicStat_1002_GetCount,N,SET,0,1,NORMAL,1play,6000,,C,0,50201601
AFTER_PLAY,Gather 115 Gold Coins,questIsFinished(50201601),502,115,2,777,event_various_game.plist,event_game_goal_23.png,2,16,#jellyMagicStat_777_GetCount,N,SET,0,1,NORMAL,1play,20,,L,0,50201602
AFTER_PLAY,"Gather 1,050 Jellies",questIsFinished(50201602),502,1050,0,6,event_various_game.plist,event_game_goal_09.png,3,16,#jellyCount,N,SET,0,1,NORMAL,1play,1,853,S,0,50201603
AFTER_PLAY,Gather 20 Yellow Bear Jellies,,502,20,0,8,event_various_game.plist,event_game_goal_10.png,1,17,#yellowBearJelly,N,SET,0,1,NORMAL,1play,600,,P,0,50201701
AFTER_PLAY,Gather 45 Winged Jellies,questIsFinished(50201701),502,45,2,1004,event_various_game.plist,event_game_goal_28.png,2,17,#jellyMagicStat_1004_GetCount,N,SET,0,1,NORMAL,1play,1,80002,S,0,50201702
AFTER_PLAY,Gather 500 Jellies,questIsFinished(50201702),502,500,0,6,event_various_game.plist,event_game_goal_09.png,3,17,#jellyCount,N,SET,0,1,NORMAL,1play,3,,G,0,50201703
AFTER_PLAY,Let the Pet Gather 800 Jellies,,502,800,0,40,event_various_game.plist,event_game_goal_27.png,1,18,#jellyCountByPet,N,SET,0,1,NORMAL,1play,120,,A,0,50201801
AFTER_PLAY,"Gather 1,500 Jellies",questIsFinished(50201801),502,1500,0,6,event_various_game.plist,event_game_goal_09.png,2,18,#jellyCount,N,SET,0,1,NORMAL,1play,7000,,C,0,50201802
AFTER_PLAY,Double Jump 75 times,questIsFinished(50201802),502,75,0,3,event_various_game.plist,event_game_goal_04.png,3,18,#doubleJump,N,SET,0,1,NORMAL,1play,3,,G,0,50201803
AFTER_PLAY,Crush 237 obstacles,,502,237,0,12,event_various_game.plist,event_game_goal_14.png,1,19,#destroyObstacle,N,SET,0,1,NORMAL,1play,1,80001,S,0,50201901
AFTER_PLAY,Gather 12 Giant Bear Jellies,questIsFinished(50201901),502,12,0,10,event_various_game.plist,event_game_goal_12.png,2,19,#kingBearJelly,N,SET,0,1,NORMAL,1play,800,,P,0,50201902
AFTER_PLAY,Gather 450 Silver Coins,questIsFinished(50201902),502,450,0,32,event_various_game.plist,event_game_goal_52.png,3,19,#silverCoinJelly,N,SET,0,1,NORMAL,1play,1,1700301,S,0,50201903
AFTER_PLAY,Gather 290 Yellow Bear Jellies,,502,290,0,8,event_various_game.plist,event_game_goal_10.png,1,20,#yellowBearJelly,N,SET,0,1,NORMAL,1play,5,,G,0,50202001
AFTER_PLAY,Gather 153 Winged Jellies,questIsFinished(50202001),502,153,2,1004,event_various_game.plist,event_game_goal_28.png,2,20,#jellyMagicStat_1004_GetCount,N,SET,0,1,NORMAL,1play,1,1508201,S,0,50202002
AFTER_PLAY,Clear within 60 seconds,questIsFinished(50202002),502,60,0,19,event_various_game.plist,event_game_goal_64.png,3,20,#runningPlayTime,N,LESS,0,1,NORMAL,1play,1,80003,S,0,50202003
AFTER_PLAY,Gather 85 Yellow Bear Jellies,,502,85,0,8,event_various_game.plist,event_game_goal_10.png,1,21,#yellowBearJelly,N,SET,0,1,NORMAL,1play,7000,,C,0,50202101
AFTER_PLAY,Gather 10 Jellies max,questIsFinished(50202101),502,10,0,6,event_various_game.plist,event_game_goal_65.png,2,21,#jellyCount,N,LESS,0,1,NORMAL,1play,1,853,S,0,50202102
AFTER_PLAY,Single Jump 80 times,questIsFinished(50202102),502,80,0,2,event_various_game.plist,event_game_goal_46.png,3,21,#jump,N,SET,0,1,NORMAL,1play,800,,P,0,50202103
AFTER_PLAY,Gather 170 Gold Coins,,502,170,2,777,event_various_game.plist,event_game_goal_23.png,1,22,#jellyMagicStat_777_GetCount,N,SET,0,1,NORMAL,1play,1,1700201,S,0,50202201
AFTER_PLAY,Crush 80 obstacles,questIsFinished(50202201),502,80,0,12,event_various_game.plist,event_game_goal_14.png,2,22,#destroyObstacle,N,SET,0,1,NORMAL,1play,120,,A,0,50202202
AFTER_PLAY,Gather 372 Silver Coins,questIsFinished(50202202),502,372,0,32,event_various_game.plist,event_game_goal_52.png,3,22,#silverCoinJelly,N,SET,0,1,NORMAL,1play,2,,K,0,50202203
AFTER_PLAY,Fall into pits 1 time max,,502,1,0,16,event_various_game.plist,event_game_goal_74.png,1,23,#fallToHole,N,LESS,0,1,NORMAL,1play,600,,P,0,50202301
AFTER_PLAY,Fall into pits 4 times max,questIsFinished(50202301),502,4,0,16,event_various_game.plist,event_game_goal_18.png,2,23,#fallToHole,N,SET,0,1,NORMAL,1play,2,,G,0,50202302
AFTER_PLAY,Jump 40 times max,questIsFinished(50202302),502,40,0,1,event_various_game.plist,event_game_goal_61.png,3,23,#totalJump,N,LESS,0,1,NORMAL,1play,10000,,C,0,50202303
AFTER_PLAY,Gather 850 Jellies,,502,850,0,6,event_various_game.plist,event_game_goal_09.png,1,24,#jellyCount,N,SET,0,1,NORMAL,1play,120,,A,0,50202401
AFTER_PLAY,Gather 370 Frozen Bear Jellies,questIsFinished(50202401),502,370,1,506,event_various_game.plist,event_game_goal_86.png,2,24,#jelly_506_GetCount,N,SET,0,1,NORMAL,1play,1,80001,S,0,50202402
AFTER_PLAY,"Gather 1,040 Jellies",questIsFinished(50202402),502,1040,0,6,event_various_game.plist,event_game_goal_09.png,3,24,#jellyCount,N,SET,0,1,NORMAL,1play,800,,P,0,50202403
AFTER_PLAY,Run 45 seconds without colliding,,502,45,0,36,event_various_game.plist,event_game_goal_25.png,1,25,#noCrashTime,N,SET,0,1,NORMAL,1play,20,,L,0,50202501
AFTER_PLAY,Gather 137 Silver Coins,questIsFinished(50202501),502,137,0,32,event_various_game.plist,event_game_goal_52.png,2,25,#silverCoinJelly,N,SET,0,1,NORMAL,1play,8000,,C,0,50202502
AFTER_PLAY,Gather 390 Yellow Bear Jellies,questIsFinished(50202502),502,390,0,8,event_various_game.plist,event_game_goal_10.png,3,25,#yellowBearJelly,N,SET,0,1,NORMAL,1play,1,853,S,0,50202503
AFTER_PLAY,Gather 8 Winged Jellies,,502,8,2,1004,event_various_game.plist,event_game_goal_28.png,1,26,#jellyMagicStat_1004_GetCount,N,SET,0,1,NORMAL,1play,7000,,C,0,50202601
AFTER_PLAY,Run at least 80 seconds,questIsFinished(50202601),502,80,0,19,event_various_game.plist,event_game_goal_07.png,2,26,#runningPlayTime,N,SET,0,1,NORMAL,1play,120,,A,0,50202602
