Tag_1,Tag_2,Type_1,Type_2,Value_1,Value_2,_key
value,,int,,1,,Abusing_AppPermission_Crash_Off
value,,int,,1,,Abusing_AppPermission_PopUp_Off
value,,int,,1,,Abusing_TimeModified_Crash_Off
value,,int,,84,,Abusing_TimeModified_FPS_High
value,,int,,1,,Abusing_TimeModified_PopUp_Off
value,,int,,1,,Abusing_UseExceptionDevice
value,,int,,1,,ActivtyPointGiftAgainButtonOn
value,,string,,1,,AngelSpecialEvent
value,,int,,100000,,AngleCookieRewardAmount
String,,string,,crc_event_12anniversary.ccbi,,AnniversaryRewardEventTargetCCB
value,,string,,1,,ArtifactSpecialEvent
String,,string,,2099-12-31 23:59:59,,ArtifactTakeCookieEventEndDate
String,,string,,2024-03-01 00:00:01,,ArtifactTakeCookieEventStartDate
value,,int,,500007,,ArtifactTakeCookieEventStuffId
value,,int,,4345,,BardObstacleJellyType
value,,int,,20,,Bard_Obstacle_NumOfJelly
value,,int,,20,,BariPrincess_MakeFlowerJellyAmount
State,,int,,1,,BlockGameJustHackInstallOff
State,,int,,0,,BlockGameJustHackRunningOff
value1,,int,,300,,CRCCookiePassHardCloseBufferSecs
value1,,int,,3600,,CRCCookiePassSoftCloseBufferSecs
OffsetX,OffsetY,float,float,-140,-60,Camera_Offset_From_Character
value,,int,,86400,,ChangeNickNameWaitTime
State,,int,,0,,CharHpOverHealOff
OffsetX,OffsetY,float,float,-7,10,Character_ColBoxOffset
Width,Height,float,float,20,52,Character_ColBoxSize
Accel,,float,,0.03,,Character_ComboAccelSpeed
Time,,float,,2,,Character_CrashImmotalTime
Time,,float,,1,,Character_CrashRollingTime
Rate,,float,,0.5,,Character_CrashSpeedRate
Height,,float,,85,,Character_DoubleJumpHeight
Quantity,,int,,40,,Character_EnergyDamage
Quantity,,int,,3,,Character_EnergyDiminishValueNew
Quantity,,int,,100,,Character_EnergyMax
Quantity,,int,,100,,Character_EnergyStart
Speed,,float,,-180,,Character_FeverDownSpeed
Speed,,float,,100,,Character_FeverGravity
Speed,,float,,170,,Character_FeverJumpSpeed
Time,,float,,0.2f,,Character_FeverJumpUpTime
Rate,,float,,1,,Character_FeverRunSpeedRate
OffsetX,OffsetY,float,float,-10,24,Character_GetJellyEffectOffset
Height,,float,,80,,Character_JumpHeight
Width,,float,,150,,Character_JumpWidth
Speed,,float,,300,,Character_RunSpeed
Count,,int,,2,,Character_ShieldMax
Count,,int,,1,,Character_ShieldStart
OffsetX,OffsetY,float,float,-20,0,Character_SlideColBoxOffset
Width,Height,float,float,40,27,Character_SlideColBoxSize
ScaleX,ScaleY,float,float,1.4,1.4,Character_SpriteScale
value,,int,,1,,CheckRestoreLoadTryCountOff
value,,int,,14000,,ChoucreamJellyDist
value,,int,,50,,ComboCollectionMaxSize
String,,string,,2026-02-25 23:59:59,,CookieSeasonalSaleEndDate
String,,string,,2026-02-14 00:00:01,,CookieSeasonalSaleStartDate
Id,,int,,20002,,CookieTrialPetId
value,,int,,1,,CustomJellyResource
value,,int,,1,,DebugGameSpeedMode
value,,int,,140,,DevilSoulJellyProbValue
value,,int,,1,,DisableCrashlyticsInitWithStringShadowStrokeLog
value,,int,,4267,,DoremiPassiveCenterJelly1
value,,int,,4267,,DoremiPassiveCenterJelly2
value,,int,,4267,,DoremiPassiveCenterJelly3
value,,int,,4267,,DoremiPassiveCenterJelly4
value,,int,,4267,,DoremiPassiveCenterJelly5
value,,int,,0,,DoremiPassiveObstacleOn
value,,int,,1,,EnumHackForceCrashOff
value,,int,,0,,EnumHackShowWarningPopupOn
AppleAppStore,GooglePlayStore,string,string,2.3.0,2.3.0,FBLikeButtonOnOffVersion
value,,int ,,1,,FastGetHeart
AppleAppStore,GooglePlayStore,string,string,9.99.0,9.99.0,FirstPurchaseEventOnOff
String,,string,,2016-04-01 23:59:59,,FoolTutorialEndDate
value,,int,,2,,FoolTutorialMinLevel
String,,string,,2016-03-28 00:00:00,,FoolTutorialStartDate
value,,int,,0,,FortuneDoughBakeUnlockPossible
value,,int,,20,,FrameFalsificationFPSHigh
value,,int,,85,,FrameFalsificationFPSLow
value,,int,,600,,FrameFalsificationFrameCount
value,,int,,300,,Freeze_Discount
value,,int,,3000,,Freeze_Discount_Max
value,,int,,10000,,Freeze_Multiplier
Minute,,int,,5,,FriendRefreshCoolTimeGameEnd
value,,int,,60,,FriendRefreshCoolTimeGameEndWithSeconds
Minute,,int,,5,,FriendRefreshCoolTimePullDown
value,,int,,10,,FriendRefreshCoolTimePullDownWithSeconds
value,,int,,15000,,GRPC_CONNECTION_DEADLINE_MS
value,,int,,2000,,GameFriendCountLimit
value,,int,,-1,,GameResultStoryFeedOnOff
Time,,float,,300,,Game_Running_Time_Limit
value,,int,,3,,GumballColorCount
value,,int,,55000,,GumballShotPosX
value,,int,,50000,,GumballShotPosXVer2
value,,int,,19000,,GumballShotPosY
value,,int,,45000,,GumballShotPosYVer2
value,,int,,0,,Hide_InGame_HUD
Min,Max,int,int,77,77,House_Range
value,,int,,295,,IceTowerTableViewYOffset_NoMoreUpdate
value,,int,,0,,IceTower_HasUpdate
value,,int,,100,,IceTower_TotalStageNumber
AppleAppStore,GooglePlayStore,string,string,9.99.0,9.99.0,InactvieUserOnOffVersionNew
Version,,float,,0,,InviteEventActivityPointLimitOnOffVersion
value,,int,,255080204,,Jackson2LaserColorRGB1
value,,int,,255230068,,Jackson2LaserColorRGB2
value,,int,,080170255,,Jackson2LaserColorRGB3
value,,int,,300,,Jackson2LaserDuration
value,,int,,150,,Jackson2LaserDurationVer2
value,,int,,4609,,Jackson2LaserJelly1
value,,int,,4610,,Jackson2LaserJelly2
value,,int,,4611,,Jackson2LaserJelly3
value,,int,,50,,Jackson2LaserTargetMinusOffsetX
String,,string,,BONUS,,Jelly_Alphabet_String
Width,Height,float,float,28,22,Jelly_ColBoxSize
Count,,int,,10,,Jelly_LineCount
GapY,,float,,12,,Jelly_LineGapY
PosY,,float,,12,,Jelly_LineLowest_PosY
ScaleX,ScaleY,float,float,1.2,1.2,Jelly_SpriteScale
value,,int,,0,,JellychoCoin_GoldCoinBoost
value1,,float,,10,,KickPartyRunWaitTime
value,,int,,5,,KiwiLisenceGap
value,,int,,104300,,KiwiLisenceGroupId
value,,string,,lisence_kiwi.png,,KiwiLisenceImageSource
value,,int,,4612,,KongKongJellycho_JellyType
value,,string,,"5,8,10,15",,LineAdsPopupTargetLevel
startTime,endTime,int,int,7,25,LocalNotificationTimePeriod
value,,int,,3,,MacroRetryCount
value,,int,,25,,MaxDeltaTime
value,,int,,2,,MinDeltaTime
value,,int,,250,,MiniJackson2Interval
value,,int,,11,,MixChallJellyMaxScenarioSet_Ep_1
value,,int,,10,,MixChallJellyMaxScenarioSet_Ep_2
value,,int,,8,,MixChallJellyMaxScenarioSet_Ep_3
String,,string,,2025-03-12 23:59:59,,MixChallengeEventEndDate
String,,string,,2025-02-27 11:00:01,,MixChallengeEventStartDate
value,,int,,1,,Network_CacheBusting_Enabled
value,,int,,300,,Network_CacheBusting_Period
Count,,int,,2,,NoticePopupLimit
value1,value2,float,float,100,300,NoticeStreamRetryDelay
value1,,float,,3,,NotifyMessageDuratoin
value,,int,,1,,Package_Shop_Version
value,,int,,1,,PassiveAbilityOnOffSwitchOn
value,,int,,1,,PauseTrueLogSettingOff
String,,string,,2026-02-25 23:59:59,,PetSeasonalSaleEndDate
String,,string,,2026-02-14 00:00:01,,PetSeasonalSaleStartDate
OffsetX,OffsetY,float,float,-30,0,Platform_Large_ColBoxOffset
Width,Height,float,float,26,80,Platform_Large_ColBoxSize
ScaleX,ScaleY,float,float,1,1,Platform_Large_SpriteScale
Height,,float,,170,,Platform_RailCharHeightLimit
OffsetX,OffsetY,float,float,0,-200,Platform_RailEnd_ColBoxOffset
Width,Height,float,float,20,320,Platform_RailEnd_ColBoxSize
OffsetX,OffsetY,float,float,-20,-100,Platform_RailMover_ColBoxOffset
Width,Height,float,float,40,40,Platform_RailMover_ColBoxSize
GapY,,float,,60,,Platform_RailMover_GapY
Length,,float,,120,,Platform_RailMover_Length
Rate,,float,,2,,Platform_RailRunSpeedRate
Speed,,float,,240,,Platform_RailUpSpeed
PosY,,float,,340,,Platform_Rail_PosY
OffsetX,OffsetY,float,float,-30,0,Platform_Slide_ColBoxOffset
Width,Height,float,float,60,90,Platform_Slide_ColBoxSize
PosY,,float,,35,,Platform_Slide_PosY
ScaleX,ScaleY,float,float,1,1.3,Platform_Slide_SpriteScale
OffsetX,OffsetY,float,float,-10,0,Platform_Small_ColBoxOffset
Width,Height,float,float,20,40,Platform_Small_ColBoxSize
ScaleX,ScaleY,float,float,1,1,Platform_Small_SpriteScale
String,,string,,2014-07-20 23:59:59,,PlayFriendEventEndDate
value,,int,,1,,PlayFriendEventPlayAfterAllRewarded
String,,string,,2014-07-16 00:00:06,,PlayFriendEventStartDate
value,,int,,4349,,PoppingCandyJelly
value,,int,,60,,REPLAY_DEBUG_PERIOD
value,,int,,1,,RepurchaseTreasure
