friendKakaoId,_key
BAd73d17BwQ,1
BBV9QUF9FQQ,10
BFx9X199XAQ,11
BDGIOzuIMQQ,12
BJN9ZGR9kwQ,13
BAV9b299BQQ,14
BFN9cnJ9UwQ,15
BHJ9qal9cgQ,16
BH59s7N9fgQ,17
BFJ9vLx9UgQ,18
BM19xsZ9zQQ,19
BKF74OB7oQQ,2
BIW7w8O7hQQ,20
BGB919d9YAQ,21
BMV929t9xQQ,22
BLh96Oh9uAQ,23
BD198PB9PQQ,24
BFh9-_t9WAQ,25
BA99_f19DwQ,26
BLF-ZmZ-sQQ,27
BPZ-bW1-9gQ,28
BB1-enp-HQQ,29
BAJ75uZ7AgQ,3
BOh-0tJ-6AQ,30
BA2qJyeqDQQ,31
BGl-2tp-aQQ,32
BCqCZ2eCKgQ,33
BDd-3t5-NwQ,34
BEZ_xMR_RgQ,35
BH9_xcV_fwQ,36
BIN_1dV_gwQ,37
BIOUMzOUgwQ,38
BKZ_2dl_pgQ,39
BNp77-972gQ,4
BCCABASAIAQ,40
BNSABgaA1AQ,41
BMeADAyAxwQ,42
BLCADw-AsAQ,43
BHKAGhqAcgQ,44
BLCAGxuAsAQ,45
BGqAHR2AagQ,46
BI2AHh6AjQQ,47
BAChtrahAAQ,48
BNeAIiKA1wQ,49
BC58q6t8LgQ,5
BIaAJyeAhgQ,50
BA6AKSmADgQ,51
BCp9IyN9KgQ,6
BEB9MzN9QAQ,7
BIt9NTV9iwQ,8
BK59ODh9rgQ,9
