CollisionHeight,CollisionOriginX,CollisionOriginY,CollisionWidth,Id_1,Id_2,Id_3,Id_4,Id_5,Id_6,JellyAni,JellyAniinfoFile,JellyChar,JellyGetSound,JellyName,JellyScore,JellySpriteFrame,JellyTypeGroup,MagnetTypeId,StarEffectId,SubKey_1,SubKey_2,SubKey_3,SubKey_4,SubKey_5,SubKey_6,ToolDesc,TouchTypeId,UnlockedDescription,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,_key
,,,,1500,,,,,,item00_house0,item00_house_aniiinfo.plist,,SoundEff_GetItemJelly,House Jelly,20,,,0,0,,,,,,,,0,보통의 젤리,49,,,,,,4000
,,,,1501,1503,,,,,,,,SoundEff_GetItemJelly,Pizza Jelly,20,ch21_jelly1.png,,0,2,,404,,,,,,0,피자 : 체력이 10회복되고 1초간 거인이 됨,10,1000,,,,,4101
,,,,,,,,,,,,,SoundEff_GetJelly,StarBullet Jelly 1,3000,ch21_jelly1.png,5,0,1,,,,,,,,0,군인맛쿠키가 쏘는 별사탕 총알 젤리 1,,,,,,,4102
,,,,,,,,,,,,,SoundEff_GetJelly,StarBullet Jelly 2,3000,ch21_jelly2.png,5,0,1,,,,,,,,0,군인맛쿠키가 쏘는 별사탕 총알 젤리 2,,,,,,,4103
,,,,,,,,,,,,,SoundEff_GetJelly,StarBullet Jelly 3,3000,ch21_jelly3.png,5,0,1,,,,,,,,0,군인맛쿠키가 쏘는 별사탕 총알 젤리 3,,,,,,,4104
,,,,1501,1503,,,,,item11_pet270,item11_pet27_aniinfo.plist,,SoundEff_GetItemJelly,Biscuit Jelly,720,item11_pet27_0.png,,0,2,,404,,,,,,0,건빵 : 체력이 10회복되고 2.5초간 거인이 됨,10,3000,,,,,4105
,,,,,,,,,,pet26_jelly10,pet26_jelly1_aniinfo.plist,,SoundEff_GetJelly,StarConfettiJelly1,2000,pet26_jelly1_0.png,3,0,2,,,,,,,,0,별조각 : 치어리더 쿠키와 펫이 생성하는 젤리 1,,,,,,,4106
,,,,,,,,,,pet26_jelly20,pet26_jelly2_aniinfo.plist,,SoundEff_GetJelly,StarConfettiJelly2,2000,pet26_jelly2_0.png,3,0,3,,,,,,,,0,별조각 : 치어리더 쿠키와 펫이 생성하는 젤리 2,,,,,,,4107
,,,,,,,,,,pet26_jelly30,pet26_jelly3_aniinfo.plist,,SoundEff_GetJelly,StarConfettiJelly3,2000,pet26_jelly3_0.png,3,0,4,,,,,,,,0,별조각 : 치어리더 쿠키와 펫이 생성하는 젤리 3,,,,,,,4108
,,,,,,,,,,pet26_jelly40,pet26_jelly4_aniinfo.plist,,SoundEff_GetJelly,StarConfettiJelly4,2000,pet26_jelly4_0.png,3,0,5,,,,,,,,0,별조각 : 치어리더 쿠키와 펫이 생성하는 젤리 4,,,,,,,4109
,,,,,,,,,,pet26_jelly50,pet26_jelly5_aniinfo.plist,,SoundEff_GetJelly,StarConfettiJelly5,2000,pet26_jelly5_0.png,3,0,3,,,,,,,,0,별조각 : 치어리더 쿠키와 펫이 생성하는 젤리 5,,,,,,,4110
,,,,,,,,,,pet26_jelly60,pet26_jelly6_aniinfo.plist,,SoundEff_GetJelly,StarConfettiJelly6,2000,pet26_jelly6_0.png,3,0,7,,,,,,,,0,별조각 : 치어리더 쿠키와 펫이 생성하는 젤리 6,,,,,,,4111
,,,,,,,,,,pet26_jelly70,pet26_jelly7_aniinfo.plist,,SoundEff_GetJelly,StarConfettiJelly7,2000,pet26_jelly7_0.png,3,0,8,,,,,,,,0,별조각 : 치어리더 쿠키와 펫이 생성하는 젤리 7,,,,,,,4112
50,-15,-25,30,,,,,,,jelly_big0,jelly_big_aniinfo.plist,a,SoundEff_GetBigBearJelly,KingBearBean1,5000,,,0,2,,,,,,,,0,,,,,,,,4113
50,-15,-25,30,,,,,,,ch24_jelly6,ch24_jelly_aniinfo.plist,,SoundEff_GetBigBearJelly,KingBearBeanTempted1,5000,,,0,2,,,,,,,,0,,,,,,,,4114
50,-15,-25,30,1505,,,,,,coin_big0,coin_big_aniinfo.plist,b,SoundEff_GetBigCoinJelly,BigCoin,780,,,0,2,,,,,,,,0,,100,,,,,,4117
,,,,1509,1510,,,,,ch23_jelly0,ch23_jelly_aniinfo.plist,,SoundEff_GetSoulJelly,Ghost Jelly,8000,,,2,2,,,,,,,,0,,1,500,,,,,4118
,,,,1503,1503,,,,,jelly_foxball0,jelly_foxball_aniinfo.plist,,SoundEff_GetItemJelly,FoxBead,720,,,0,3,404,403,,,,,,0,,3000,3000,,,,,4119
,,,,1502,1503,,,,,item_pet340,item_pet34_aniinfo.plist,,SoundEff_GetItemJelly,FairyItem,720,,,0,5,,403,,,,,,0,,1,3000,,,,,4121
,,,,1512,1510,1501,1518,,,item08_energy0,item08_energy_aniinfo.plist,O,SoundEff_GetItemJelly,MovingEnergy,720,item08_energy_0.png,,1,5,2000,,,,,,Temp,0,위아래로 움직이며 앞으로 날아가는 생명물약,50,900,10,1,,,4122
,,,,1512,1510,1502,1518,,,item02_fever0,item02_fever_aniinfo.plist,W,SoundEff_GetItemJelly,MovingBonusTime,720,item02_fever_0.png,,1,5,2000,,,,,,Temp,0,위아래로 움직이며 앞으로 날아가는 보너스타임 아이템,50,500,1,1,,,4123
,,,,1506,,,,,,,,5,SoundEff_GetAlphabetJelly,Alphabet1,437,jelly_alphabet_b.png,,0,1,0,,,,,,,0,,1,,,,,,4201
,,,,1506,,,,,,,,6,SoundEff_GetAlphabetJelly,Alphabet2,437,jelly_alphabet_o.png,,0,1,1,,,,,,,0,,1,,,,,,4202
,,,,1506,,,,,,,,7,SoundEff_GetAlphabetJelly,Alphabet3,437,jelly_alphabet_n.png,,0,1,2,,,,,,,0,,1,,,,,,4203
,,,,1506,,,,,,,,8,SoundEff_GetAlphabetJelly,Alphabet4,437,jelly_alphabet_u.png,,0,1,3,,,,,,,0,,1,,,,,,4204
,,,,1506,,,,,,,,9,SoundEff_GetAlphabetJelly,Alphabet5,437,jelly_alphabet_s.png,,0,1,4,,,,,,,0,,1,,,,,,4205
,,,,1506,,,,,,,,R,SoundEff_GetAlphabetJelly,Alphabet6,437,jelly_alphabet_t.png,,0,1,5,,,,,,,0,,1,,,,,,4206
,,,,1506,,,,,,,,S,SoundEff_GetAlphabetJelly,Alphabet7,437,jelly_alphabet_i.png,,0,1,6,,,,,,,0,,1,,,,,,4207
,,,,1506,,,,,,,,T,SoundEff_GetAlphabetJelly,Alphabet8,437,jelly_alphabet_m.png,,0,1,7,,,,,,,0,,1,,,,,,4208
,,,,1506,,,,,,,,U,SoundEff_GetAlphabetJelly,Alphabet9,437,jelly_alphabet_e.png,,0,1,8,,,,,,,0,,1,,,,,,4209
,,,,,,,,,,,,,SoundEff_GetJelly,NoteJelly 1,2100,ch27_jelly1.png,4,0,1,,,,,,,,0,군인맛쿠키가 쏘는 별사탕 총알 젤리 1,,,,,,,4210
,,,,,,,,,,,,,SoundEff_GetJelly,NoteJelly 2,2100,ch27_jelly2.png,4,0,1,,,,,,,,0,군인맛쿠키가 쏘는 별사탕 총알 젤리 2,,,,,,,4211
,,,,,,,,,,,,,SoundEff_GetJelly,NoteJelly 3,2100,ch27_jelly3.png,4,0,1,,,,,,,,0,군인맛쿠키가 쏘는 별사탕 총알 젤리 3,,,,,,,4212
,,,,1513,,,,,,item12_full0,item12_full_aniinfo.plist,!,SoundEff_GetBigBearJelly,FullScreenJellys,10,item12_full_0.png,,1,2,,,,,,,0번,0,,503,,,,,,4213
,,,,1516,,,,,,item12_full0,item12_full_aniinfo.plist,@,SoundEff_GetBigBearJelly,FullScreenJellysParty,10,item12_full_1.png,,1,2,,,,,,,1번,0,,504,,,,,,4214
,,,,1517,1510,1512,1518,,,item12_full0,item12_full_aniinfo.plist,#,SoundEff_GetBigBearJelly,FullScreenJellysExplotion,720,item12_full_2.png,,1,2,,,1000,,,,2번,0,,10,100,10,1,,,4215
,,,,,,,,,,pet26_jelly10,pet26_jelly1_aniinfo.plist,,SoundEff_GetJelly,CreatedFromExplotion1,840,pet26_jelly1_0.png,6,0,2,,,,,,,,0,별조각 : 치어리더 쿠키와 펫이 생성하는 젤리 1,,,,,,,4216
,,,,,,,,,,pet26_jelly20,pet26_jelly2_aniinfo.plist,,SoundEff_GetJelly,CreatedFromExplotion2,840,pet26_jelly2_0.png,6,0,3,,,,,,,,0,별조각 : 치어리더 쿠키와 펫이 생성하는 젤리 2,,,,,,,4217
,,,,,,,,,,pet26_jelly30,pet26_jelly3_aniinfo.plist,,SoundEff_GetJelly,CreatedFromExplotion3,840,pet26_jelly3_0.png,6,0,4,,,,,,,,0,별조각 : 치어리더 쿠키와 펫이 생성하는 젤리 3,,,,,,,4218
