LeagueName,leagueRewardQty,leagueTier,nextResult,rank,rankRewardQty,_key
Sprout 1,20,1,same,15,0,1
Sprout 1,20,1,ascend,6,0,10
Rookie 1,26,7,ascend,6,0,100
Rookie 2,26,7,ascend,5,0,101
Rookie 1,26,7,ascend,4,0,102
Rookie 2,26,7,ascend,3,0,103
Rookie 1,26,7,ascend,2,0,104
Rookie 2,26,7,ascend,1,0,105
Rookie 3,27,8,same,15,0,106
Rookie 3,27,8,same,14,0,107
Rookie 3,27,8,same,13,0,108
Rookie 3,27,8,same,12,0,109
Sprout 1,20,1,ascend,5,0,11
Rookie 3,27,8,same,11,0,110
Rookie 3,27,8,same,10,0,111
Rookie 3,27,8,same,9,0,112
Rookie 3,27,8,same,8,0,113
Rookie 3,27,8,ascend,7,0,114
Rookie 3,27,8,ascend,6,0,115
Rookie 3,27,8,ascend,5,0,116
Rookie 3,27,8,ascend,4,0,117
Rookie 3,27,8,ascend,3,0,118
Rookie 3,27,8,ascend,2,0,119
Sprout 1,20,1,ascend,4,0,12
Rookie 3,27,8,ascend,1,0,120
Rookie 4,28,9,same,15,0,121
Rookie 4,28,9,same,14,0,122
Rookie 4,28,9,same,13,0,123
Rookie 4,28,9,same,12,0,124
Rookie 4,28,9,same,11,0,125
Rookie 4,28,9,same,10,0,126
Rookie 4,28,9,same,9,0,127
Rookie 4,28,9,same,8,0,128
Rookie 4,28,9,ascend,7,0,129
Sprout 1,20,1,ascend,3,0,13
Rookie 4,28,9,ascend,6,0,130
Rookie 4,28,9,ascend,5,0,131
Rookie 4,28,9,ascend,4,0,132
Rookie 4,28,9,ascend,3,0,133
Rookie 4,28,9,ascend,2,0,134
Rookie 4,28,9,ascend,1,0,135
Rookie 5,29,10,same,15,0,136
Rookie 5,29,10,same,14,0,137
Rookie 5,29,10,same,13,0,138
Rookie 5,29,10,same,12,0,139
Sprout 1,20,1,ascend,2,0,14
Rookie 5,29,10,same,11,0,140
Rookie 5,29,10,same,10,0,141
Rookie 5,29,10,same,9,0,142
Rookie 5,29,10,same,8,0,143
Rookie 5,29,10,ascend,7,0,144
Rookie 5,29,10,ascend,6,0,145
Rookie 5,29,10,ascend,5,0,146
Rookie 5,29,10,ascend,4,0,147
Rookie 5,29,10,ascend,3,0,148
Rookie 5,29,10,ascend,2,0,149
Sprout 1,20,1,ascend,1,0,15
Rookie 5,29,10,ascend,1,0,150
Expert 1,30,11,descend,15,0,151
Expert 1,30,11,same,14,0,152
Expert 1,30,11,same,13,1,153
Expert 1,30,11,same,12,1,154
Expert 1,30,11,same,11,1,155
Expert 1,30,11,same,10,2,156
Expert 1,30,11,same,9,2,157
Expert 1,30,11,same,8,2,158
Expert 1,30,11,ascend,7,3,159
Sprout 2,21,2,same,15,0,16
Expert 1,30,11,ascend,6,3,160
Expert 1,30,11,ascend,5,4,161
Expert 1,30,11,ascend,4,4,162
Expert 1,30,11,ascend,3,5,163
Expert 1,30,11,ascend,2,6,164
Expert 1,30,11,ascend,1,7,165
Expert 2,38,12,descend,15,0,166
Expert 2,38,12,same,14,0,167
Expert 2,38,12,same,13,1,168
Expert 2,38,12,same,12,1,169
Sprout 2,21,2,same,14,0,17
Expert 2,38,12,same,11,1,170
Expert 2,38,12,same,10,2,171
Expert 2,38,12,same,9,2,172
Expert 2,38,12,same,8,2,173
Expert 2,38,12,ascend,7,3,174
Expert 2,38,12,ascend,6,3,175
Expert 2,38,12,ascend,5,4,176
Expert 2,38,12,ascend,4,4,177
Expert 2,38,12,ascend,3,5,178
Expert 2,38,12,ascend,2,6,179
Sprout 2,21,2,same,13,0,18
Expert 2,38,12,ascend,1,7,180
Expert 3,46,13,descend,15,0,181
Expert 3,46,13,same,14,0,182
Expert 3,46,13,same,13,0,183
Expert 3,46,13,same,12,1,184
Expert 3,46,13,same,11,1,185
Expert 3,46,13,same,10,1,186
Expert 3,46,13,same,9,2,187
Expert 3,46,13,same,8,2,188
Expert 3,46,13,ascend,7,3,189
Sprout 2,21,2,same,12,0,19
Expert 3,46,13,ascend,6,3,190
Expert 3,46,13,ascend,5,4,191
Expert 3,46,13,ascend,4,4,192
Expert 3,46,13,ascend,3,5,193
Expert 3,46,13,ascend,2,6,194
Expert 3,46,13,ascend,1,7,195
Expert 4,54,14,descend,15,0,196
Expert 4,54,14,same,14,0,197
Expert 4,54,14,same,13,0,198
Expert 4,54,14,same,12,1,199
Sprout 1,20,1,same,14,0,2
Sprout 2,21,2,same,11,0,20
Expert 4,54,14,same,11,1,200
Expert 4,54,14,same,10,1,201
Expert 4,54,14,same,9,2,202
Expert 4,54,14,same,8,2,203
Expert 4,54,14,ascend,7,3,204
Expert 4,54,14,ascend,6,3,205
Expert 4,54,14,ascend,5,4,206
Expert 4,54,14,ascend,4,4,207
Expert 4,54,14,ascend,3,5,208
Expert 4,54,14,ascend,2,6,209
Sprout 2,21,2,same,10,0,21
Expert 4,54,14,ascend,1,7,210
Expert 5,62,15,descend,15,0,211
Expert 5,62,15,same,14,0,212
Expert 5,62,15,same,13,0,213
Expert 5,62,15,same,12,1,214
Expert 5,62,15,same,11,1,215
Expert 5,62,15,same,10,1,216
Expert 5,62,15,same,9,2,217
Expert 5,62,15,same,8,2,218
Expert 5,62,15,ascend,7,3,219
Sprout 2,21,2,same,9,0,22
Expert 5,62,15,ascend,6,3,220
Expert 5,62,15,ascend,5,4,221
Expert 5,62,15,ascend,4,4,222
Expert 5,62,15,ascend,3,5,223
Expert 5,62,15,ascend,2,6,224
