Chance,EpisodeId,ScenarioSet,Stage,Theme,health_modifier_ms,health_modifier_value,platform_1,platform_10,platform_11,platform_12,platform_13,platform_14,platform_15,platform_16,platform_17,platform_18,platform_19,platform_2,platform_20,platform_21,platform_22,platform_23,platform_24,platform_25,platform_26,platform_27,platform_28,platform_3,platform_4,platform_5,platform_6,platform_7,platform_8,platform_9,speed,_key
100,10001,1,1,60101,1000,6,1,10,11,12,13,14,15,16,17,18,19,2,20,,,,,,,,,3,4,5,6,7,8,9,850,epEV01_tm01_1
1,10001,2,2,60102,1000,6,21,30,31,,,,,,,,,22,,,,,,,,,,23,24,25,26,27,28,29,900,epEV01_tm02_1
1,10001,3,2,60102,1000,6,32,41,42,43,,,,,,,,33,,,,,,,,,,34,35,36,37,38,39,40,950,epEV01_tm02_2
1,10001,4,2,60102,1000,6,44,53,54,55,,,,,,,,45,,,,,,,,,,46,47,48,49,50,51,52,1000,epEV01_tm02_3
1,10001,5,2,60102,1000,6,56,64,65,66,67,,,,,,,57,,,,,,,,,,58,59,60,61,62,63,64,1050,epEV01_tm02_4
1,10001,6,2,60102,1000,6,68,77,78,79,,,,,,,,69,,,,,,,,,,70,71,72,73,74,75,76,1100,epEV01_tm02_5
1,10001,7,2,60102,1000,6,80,89,90,84,85,86,87,88,89,90,84,81,85,86,87,88,89,90,88,89,90,82,83,84,85,86,87,88,1200,epEV01_tm02_6
10,10001,9001,,81,,,1501,1501,1501,1501,1501,1501,1501,1501,1501,1501,1501,1501,1501,1501,1501,1501,1501,1501,1501,1501,1501,1501,1501,1501,1501,1501,1501,1501,1200,epS01_bt01_1
10,10001,9002,,82,,,1502,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1502,1503,1502,1503,1502,1503,1503,1200,epS01_bt02_1
10,10001,10001,,83,,,1504,1505,1505,1505,1505,1505,1505,1505,1505,1505,1505,1504,1505,1505,1505,1505,1505,1505,1505,1505,1505,1504,1504,1504,1504,1504,1504,1505,1300,epS01_bt03_1
