Chance,EpisodeId,HideName,IncludedByNext,ScenarioSet,Stage,Theme,health_modifier_ms,health_modifier_value,platform_1,platform_10,platform_100,platform_101,platform_102,platform_11,platform_12,platform_13,platform_14,platform_15,platform_16,platform_17,platform_18,platform_19,platform_2,platform_20,platform_21,platform_22,platform_23,platform_24,platform_25,platform_26,platform_27,platform_28,platform_29,platform_3,platform_30,platform_31,platform_32,platform_33,platform_34,platform_35,platform_36,platform_37,platform_38,platform_39,platform_4,platform_40,platform_41,platform_42,platform_43,platform_44,platform_45,platform_46,platform_47,platform_48,platform_49,platform_5,platform_50,platform_51,platform_52,platform_53,platform_54,platform_55,platform_56,platform_57,platform_58,platform_59,platform_6,platform_60,platform_61,platform_62,platform_63,platform_64,platform_65,platform_66,platform_67,platform_68,platform_69,platform_7,platform_70,platform_71,platform_72,platform_73,platform_74,platform_75,platform_76,platform_77,platform_78,platform_79,platform_8,platform_80,platform_81,platform_82,platform_83,platform_84,platform_85,platform_86,platform_87,platform_88,platform_89,platform_9,platform_90,platform_91,platform_92,platform_93,platform_94,platform_95,platform_96,platform_97,platform_98,platform_99,speed,_key
10,503,0,,9001,,581,,,10,11,8,8,8,12,11,12,11,12,8,8,8,8,11,8,8,8,8,8,8,8,8,8,8,12,8,8,8,8,8,8,8,8,8,8,11,8,8,8,8,8,8,8,8,8,8,12,8,8,8,8,8,8,8,8,8,8,11,8,8,8,8,8,8,8,8,8,8,12,8,8,8,8,8,8,8,8,8,8,11,8,8,8,8,8,8,8,8,8,8,12,8,8,8,8,8,8,8,8,8,8,1150,epS03_bt01_1
10,503,0,,9003,,581,,,10,11,8,8,8,12,11,12,11,12,8,8,8,8,11,8,8,8,8,8,8,8,8,8,8,12,8,8,8,8,8,8,8,8,8,8,11,8,8,8,8,8,8,8,8,8,8,12,8,8,8,8,8,8,8,8,8,8,11,8,8,8,8,8,8,8,8,8,8,12,8,8,8,8,8,8,8,8,8,8,11,8,8,8,8,8,8,8,8,8,8,12,8,8,8,8,8,8,8,8,8,8,1250,epS03_bt01_2
10,503,0,,9005,,581,,,10,11,8,8,8,12,11,12,11,12,8,8,8,8,11,8,8,8,8,8,8,8,8,8,8,12,8,8,8,8,8,8,8,8,8,8,11,8,8,8,8,8,8,8,8,8,8,12,8,8,8,8,8,8,8,8,8,8,11,8,8,8,8,8,8,8,8,8,8,12,8,8,8,8,8,8,8,8,8,8,11,8,8,8,8,8,8,8,8,8,8,12,8,8,8,8,8,8,8,8,8,8,1250,epS03_bt01_3
10,503,0,,9007,,581,,,11,12,8,8,8,12,12,12,11,12,8,8,8,8,12,8,8,8,8,8,8,8,8,8,8,12,8,8,8,8,8,8,8,8,8,8,12,8,8,8,8,8,8,8,8,8,8,12,8,8,8,8,8,8,8,8,8,8,12,8,8,8,8,8,8,8,8,8,8,12,8,8,8,8,8,8,8,8,8,8,12,8,8,8,8,8,8,8,8,8,8,12,8,8,8,8,8,8,8,8,8,8,1250,epS03_bt01_4
10,503,0,,9002,,582,,,30,31,8,8,8,30,31,30,31,30,31,30,31,30,31,31,30,31,30,31,30,31,30,31,30,30,31,8,8,8,8,8,8,8,8,8,31,8,8,8,8,8,8,8,8,8,8,30,8,8,8,8,8,8,8,8,8,8,31,8,8,8,8,8,8,8,8,8,8,30,8,8,8,8,8,8,8,8,8,8,31,8,8,8,8,8,8,8,8,8,8,30,8,8,8,8,8,8,8,8,8,8,1150,epS03_bt02_1
10,503,0,,9004,,582,,,30,31,8,8,8,30,31,30,31,30,31,30,31,30,31,31,30,31,30,31,30,31,30,31,30,30,31,8,8,8,8,8,8,8,8,8,31,8,8,8,8,8,8,8,8,8,8,30,8,8,8,8,8,8,8,8,8,8,31,8,8,8,8,8,8,8,8,8,8,30,8,8,8,8,8,8,8,8,8,8,31,8,8,8,8,8,8,8,8,8,8,30,8,8,8,8,8,8,8,8,8,8,1250,epS03_bt02_2
10,503,0,,9006,,582,,,30,31,8,8,8,30,31,30,31,30,31,30,31,30,31,31,30,31,30,31,30,31,30,31,30,30,31,8,8,8,8,8,8,8,8,8,31,8,8,8,8,8,8,8,8,8,8,30,8,8,8,8,8,8,8,8,8,8,31,8,8,8,8,8,8,8,8,8,8,30,8,8,8,8,8,8,8,8,8,8,31,8,8,8,8,8,8,8,8,8,8,30,8,8,8,8,8,8,8,8,8,8,1250,epS03_bt02_3
10,503,0,,9008,,582,,,30,31,8,8,8,30,31,30,31,30,31,30,31,30,31,31,30,31,30,31,30,31,30,31,30,30,31,8,8,8,8,8,8,8,8,8,31,8,8,8,8,8,8,8,8,8,8,30,8,8,8,8,8,8,8,8,8,8,31,8,8,8,8,8,8,8,8,8,8,30,8,8,8,8,8,8,8,8,8,8,31,8,8,8,8,8,8,8,8,8,8,30,8,8,8,8,8,8,8,8,8,8,1250,epS03_bt02_4
10,503,0,,10001,,83,,,50,51,8,8,8,50,51,50,51,50,8,8,8,8,51,8,8,8,8,8,8,8,8,8,8,50,8,8,8,8,8,8,8,8,8,8,51,8,8,8,8,8,8,8,8,8,8,50,8,8,8,8,8,8,8,8,8,8,51,8,8,8,8,8,8,8,8,8,8,50,8,8,8,8,8,8,8,8,8,8,51,8,8,8,8,8,8,8,8,8,8,50,8,8,8,8,8,8,8,8,8,8,1250,epS03_bt03_1
10,503,0,,1,1,50301,1000,5,7,108,,,,3,4,5,6,,,,,,100,,,,,,,,,,,101,,,,,,,,,,,102,,,,,,,,,,,103,,,,,,,,,,,104,,,,,,,,,,,105,,,,,,,,,,,106,,,,,,,,,,,107,,,,,,,,,,,850,epS03_tm01_1
