grade,group_seq,_key
C,2000101,1
C,2001101,10
SS,2003504,100
SS,2003505,101
SS,2003506,102
C,2004101,103
C,2004102,104
B,2004201,105
B,2004202,106
B,2004203,107
B,2004204,108
A,2004301,109
C,2001102,11
A,2004302,110
A,2004303,111
A,2004304,112
A,2004305,113
A,2004306,114
A,2004307,115
A,2004308,116
S,2004401,117
S,2004402,118
S,2004403,119
C,2001103,12
S,2004404,120
S,2004405,121
S,2004406,122
S,2004407,123
SS,2004501,124
SS,2004502,125
SS,2004503,126
SS,2004504,127
SS,2004505,128
SS,2004506,129
C,2001104,13
SS,2004507,130
C,2005101,131
C,2005102,132
B,2005201,133
B,2005202,134
B,2005203,135
B,2005204,136
A,2005301,137
A,2005302,138
A,2005303,139
C,2001105,14
A,2005304,140
A,2005305,141
S,2005401,142
S,2005402,143
S,2005403,144
S,2005404,145
S,2005405,146
S,2005406,147
S,2005407,148
S,2005408,149
B,2001201,15
SS,2005501,150
SS,2005502,151
SS,2005503,152
SS,2005504,153
SS,2005505,154
SS,2005506,155
SS,2005507,156
SS,2005508,157
C,2006101,158
C,2006102,159
B,2001202,16
B,2006201,160
B,2006202,161
B,2006203,162
B,2006204,163
A,2006301,164
A,2006302,165
A,2006303,166
A,2006304,167
A,2006305,168
S,2006401,169
B,2001203,17
S,2006402,170
S,2006403,171
S,2006404,172
S,2006405,173
S,2006406,174
S,2006407,175
SS,2006501,176
SS,2006502,177
SS,2006503,178
SS,2006504,179
B,2001204,18
SS,2006505,180
SS,2006506,181
SS,2006507,182
SS,2006508,183
C,2501101,184
C,2501102,185
B,2501201,186
B,2501202,187
B,2501203,188
A,2501301,189
B,2001205,19
A,2501302,190
A,2501303,191
S,2501401,192
S,2501402,193
S,2501403,194
S,2501404,195
SS,2501501,196
SS,2501502,197
SS,2501503,198
C,2502101,199
C,2000102,2
A,2001301,20
C,2502102,200
B,2502201,201
B,2502202,202
B,2502203,203
A,2502301,204
A,2502302,205
A,2502303,206
S,2502401,207
S,2502402,208
S,2502403,209
A,2001302,21
S,2502404,210
SS,2502501,211
SS,2502502,212
SS,2502503,213
SS,2503501,214
SS,2503502,215
SS,2503503,216
A,2001303,22
A,2001304,23
A,2001305,24
A,2001306,25
A,2001307,26
A,2001308,27
S,2001401,28
S,2001402,29
C,2000103,3
S,2001403,30
S,2001404,31
S,2001405,32
S,2001406,33
S,2001407,34
S,2001408,35
S,2001409,36
SS,2001501,37
SS,2001502,38
SS,2001503,39
C,2000104,4
SS,2001504,40
C,2002101,41
C,2002102,42
B,2002201,43
B,2002202,44
B,2002203,45
B,2002204,46
B,2002205,47
A,2002301,48
A,2002302,49
C,2000105,5
A,2002303,50
A,2002304,51
A,2002305,52
A,2002306,53
A,2002307,54
A,2002308,55
A,2002309,56
S,2002401,57
S,2002402,58
S,2002403,59
B,2000201,6
S,2002404,60
S,2002405,61
S,2002406,62
S,2002407,63
S,2002408,64
S,2002409,65
S,2002410,66
S,2002411,67
SS,2002501,68
SS,2002502,69
B,2000202,7
SS,2002503,70
SS,2002504,71
SS,2002505,72
SS,2002506,73
C,2003101,74
C,2003102,75
B,2003201,76
B,2003202,77
B,2003203,78
B,2003204,79
B,2000203,8
A,2003301,80
A,2003302,81
A,2003303,82
A,2003304,83
A,2003305,84
A,2003306,85
A,2003307,86
S,2003401,87
S,2003402,88
S,2003403,89
A,2000301,9
S,2003404,90
S,2003405,91
S,2003406,92
S,2003407,93
S,2003408,94
S,2003409,95
S,2003410,96
SS,2003501,97
SS,2003502,98
SS,2003503,99
