powder_group,_key
MT_C,2000101
MT_C,2000102
MT_C,2000103
MT_C,2000104
MT_C,2000105
MT_B,2000201
MT_B,2000202
MT_B,2000203
MT_AX,2000301
MT_C,2001101
MT_C,2001102
MT_C,2001103
MT_C,2001104
MT_C,2001105
MT_B,2001201
MT_B,2001202
MT_B,2001203
MT_B,2001204
MT_B,2001205
MT_A,2001301
MT_A,2001302
MT_A,2001303
MT_A,2001304
MT_A,2001305
MT_A,2001306
MT_A,2001307
MT_A,2001308
MT_S,2001401
MT_S,2001402
MT_S,2001403
MT_S,2001404
MT_S,2001405
MT_S,2001406
MT_S,2001407
MT_S,2001408
MT_S,2001409
MT_SS,2001501
MT_SS,2001502
MT_SS,2001503
MT_SS,2001504
MT_C,2002101
MT_C,2002102
MT_B,2002201
MT_B,2002202
MT_B,2002203
MT_B,2002204
MT_B,2002205
MT_A,2002301
MT_A,2002302
MT_A,2002303
MT_A,2002304
MT_A,2002305
MT_A,2002306
MT_A,2002307
MT_A,2002308
MT_A,2002309
MT_S,2002401
MT_S,2002402
MT_S,2002403
MT_S,2002404
MT_S,2002405
MT_S,2002406
MT_S,2002407
MT_S,2002408
MT_S,2002409
MT_S,2002410
MT_S,2002411
MT_SS,2002501
MT_SS,2002502
MT_SS,2002503
MT_SS,2002504
MT_SS,2002505
MT_SS,2002506
MT_C,2003101
MT_C,2003102
MT_B,2003201
MT_B,2003202
MT_B,2003203
MT_B,2003204
MT_A,2003301
MT_A,2003302
MT_A,2003303
MT_A,2003304
MT_A,2003305
MT_A,2003306
MT_A,2003307
MT_S,2003401
MT_S,2003402
MT_S,2003403
MT_S,2003404
MT_S,2003405
MT_S,2003406
MT_S,2003407
MT_S,2003408
MT_S,2003409
MT_S,2003410
MT_SS,2003501
MT_SS,2003502
MT_SS,2003503
MT_SS,2003504
MT_SS,2003505
MT_SS,2003506
MT_C,2004101
MT_C,2004102
MT_B,2004201
MT_B,2004202
MT_B,2004203
MT_B,2004204
MT_A,2004301
MT_A,2004302
MT_A,2004303
MT_A,2004304
MT_A,2004305
MT_A,2004306
MT_A,2004307
MT_A,2004308
MT_S,2004401
MT_S,2004402
MT_S,2004403
MT_S,2004404
MT_S,2004405
MT_S,2004406
MT_S,2004407
MT_SS,2004501
MT_SS,2004502
MT_SS,2004503
MT_SS,2004504
MT_SS,2004505
MT_SS,2004506
MT_SS,2004507
MT_C,2005101
MT_C,2005102
MT_B,2005201
MT_B,2005202
MT_B,2005203
MT_B,2005204
MT_A,2005301
MT_A,2005302
MT_A,2005303
MT_A,2005304
MT_A,2005305
MT_S,2005401
MT_S,2005402
MT_S,2005403
MT_S,2005404
MT_S,2005405
MT_S,2005406
MT_S,2005407
MT_S,2005408
MT_SS,2005501
MT_SS,2005502
MT_SS,2005503
MT_SS,2005504
MT_SS,2005505
MT_SS,2005506
MT_SS,2005507
MT_SS,2005508
MT_C,2006101
MT_C,2006102
MT_B,2006201
MT_B,2006202
MT_B,2006203
MT_B,2006204
MT_A,2006301
MT_A,2006302
MT_A,2006303
MT_A,2006304
MT_A,2006305
MT_S,2006401
MT_S,2006402
MT_S,2006403
MT_S,2006404
MT_S,2006405
MT_S,2006406
MT_S,2006407
MT_SS,2006501
MT_SS,2006502
MT_SS,2006503
MT_SS,2006504
MT_SS,2006505
MT_SS,2006506
MT_SS,2006507
MT_SS,2006508
MT_C,2501101
MT_C,2501102
MT_B,2501201
MT_B,2501202
MT_B,2501203
MT_A,2501301
MT_A,2501302
MT_A,2501303
MT_S,2501401
MT_S,2501402
MT_S,2501403
MT_S,2501404
MT_SS,2501501
MT_SS,2501502
MT_SS,2501503
MT_C,2502101
MT_C,2502102
MT_B,2502201
MT_B,2502202
MT_B,2502203
MT_A,2502301
MT_A,2502302
MT_A,2502303
MT_S,2502401
MT_S,2502402
MT_S,2502403
MT_S,2502404
MT_SS,2502501
MT_SS,2502502
MT_SS,2502503
MT_SS,2503501
MT_SS,2503502
MT_SS,2503503
