material1_qty,material1_seq,material2_qty,material2_seq,material3_qty,material3_seq,material4_qty,material4_seq,material5_qty,material5_seq,material6_qty,material6_seq,material_recipe_seq,result_material_seq,_key
1,2010001,1,2010002,1,,1,,1,,1,,1,2020001,1
1,2020001,1,2020001,1,2020002,1,2020002,1,,1,,10,2030005,10
1,2030001,1,2030002,1,,1,,1,,1,,11,2040001,11
1,2030001,1,2030002,1,2030003,1,,1,,1,,12,2040002,12
1,2030001,1,2030002,1,2030003,1,2030004,1,,1,,13,2040003,13
1,2030001,1,2030001,1,2030001,1,2030001,1,,1,,14,2040004,14
1,2030004,1,2030004,1,2030004,1,2030004,1,,1,,15,2040005,15
1,2040001,1,2040002,1,,1,,1,,1,,16,2050001,16
1,2040001,1,2040002,1,2040003,1,,1,,1,,17,2050002,17
1,2040001,1,2040002,1,2040003,1,2040004,1,,1,,18,2050003,18
1,2040001,1,2040002,1,2040002,1,2040002,1,,1,,19,2050004,19
1,2010001,1,2010002,1,2010003,1,,1,,1,,2,2020002,2
1,2040003,1,2040003,1,2040003,1,2040003,1,,1,,20,2050005,20
1,2010001,1,2010002,1,2010003,1,2010004,1,,1,,3,2020003,3
1,2010001,1,2010001,1,2010001,1,2010001,1,,1,,4,2020004,4
1,2010001,1,2010001,1,2010003,1,2010004,1,,1,,5,2020005,5
1,2020001,1,2020002,1,,1,,1,,1,,6,2030001,6
1,2020001,1,2020002,1,2020003,1,,1,,1,,7,2030002,7
1,2020001,1,2020002,1,2020003,1,2020004,1,,1,,8,2030003,8
1,2020001,1,2020001,1,2020001,1,2020001,1,,1,,9,2030004,9
