grade,group_seq,_key
C,100100,1
A,101000,10
B,200900,100
B,201000,101
A,201100,102
S,201200,103
S,201300,104
B,201400,105
A,201500,106
S,201600,107
A,201700,108
A,201800,109
A,101100,11
B,201900,110
A,202000,111
B,202100,112
S,202300,113
S,202400,114
S,202600,115
S,202700,116
S,202800,117
S,202900,118
S,203000,119
S,101200,12
S,203100,120
A,203200,121
S,203300,122
S,203400,123
S,203500,124
S,203600,125
S,203700,126
S,203800,127
S,203900,128
S,204000,129
A,101300,13
S,204100,130
S,204200,131
S,204300,132
S,204400,133
S,204500,134
S,204600,135
S,204700,136
S,204800,137
L,204900,138
S,205000,139
B,101400,14
S,205100,140
S,205200,141
S,205300,142
S,205400,143
S,205600,144
S,205700,145
S,205800,146
S,205900,147
S,206000,148
S,206100,149
A,101500,15
E,206200,150
S,206300,151
S,206400,152
S,206500,153
S,206600,154
S,206700,155
S,206800,156
S,206900,157
S,207000,158
S,207100,159
S,101600,16
S,207200,160
S,207300,161
S,207400,162
S,207500,163
S,207600,164
S,207700,165
S,207800,166
S,207900,167
S,208000,168
S,208100,169
S,101800,17
S,208200,170
S,208300,171
S,208400,172
S,208500,173
S,208700,174
S,208900,175
S,209000,176
S,209100,177
S,209200,178
S,209300,179
S,101900,18
S,209400,180
S,209500,181
S,209600,182
S,209700,183
S,209800,184
S,209900,185
S,210000,186
S,210100,187
S,210200,188
S,210300,189
S,102000,19
S,210400,190
A,290100,191
A,290200,192
B,100200,2
S,102100,20
S,102200,21
S,102300,22
S,102400,23
S,102500,24
S,102600,25
S,102700,26
S,102800,27
S,102900,28
S,103000,29
C,100300,3
S,103100,30
S,103200,31
S,103300,32
S,103400,33
S,103500,34
S,103600,35
S,103700,36
S,103800,37
S,103900,38
L,104000,39
A,100400,4
L,104100,40
S,104200,41
S,104300,42
S,104400,43
S,104500,44
S,104600,45
S,104700,46
S,104800,47
L,104900,48
S,105000,49
B,100500,5
S,105100,50
S,105200,51
S,105300,52
S,105400,53
S,105500,54
S,105600,55
S,105700,56
S,105800,57
S,105900,58
S,106000,59
B,100600,6
S,106100,60
S,106200,61
S,106300,62
S,106400,63
L,106500,64
S,106600,65
S,106700,66
S,106800,67
S,106900,68
L,107000,69
S,100700,7
S,107100,70
S,107200,71
S,107300,72
S,107400,73
S,107500,74
S,107700,75
S,107800,76
S,107900,77
S,108000,78
SS,108100,79
A,100800,8
S,108200,80
S,108300,81
S,108400,82
SS,108500,83
S,108600,84
L,108700,85
S,108800,86
S,108900,87
S,109000,88
S,109100,89
A,100900,9
SS,109200,90
S,109300,91
C,200100,92
C,200200,93
C,200300,94
C,200400,95
B,200500,96
B,200600,97
C,200700,98
C,200800,99
