value1,value2,_key
0.5,,DummyRuleRate
1.5,,GameEndBoostSpeed
50,,GameReadyOthersDist
-1200,,GameReadyStartX
1,,GameServerTimeMaxError
2,,GameStartBoostDuration
2,,GameStartBoostMaxSpeed
1.5,,GameStartBoostMinSpeed
3,,LobbyInviteCooldownTime
120,,MatchMakingTimeoutSec
0.3,,OthersCharOpacityRate
1700,,PatternStartX
10,,RematchResponseWaiting
10,,RoundResultShowTime
1.2,,SpectateFasterDtMult
0.8,,SpectateSlowerDtMult
1.5,,SpectateTriggerFasterDtThreshold
4,,SpectateTriggerReinitThreshold
0.7,,SpectateTriggerSlowerDtThreshold
50,,StartMinigameRangeBegin
200,,StartMinigameRangeEnd
150,,StartMinigameRangeMiddle
200,,StartMinigameTotalRangeLength
5,,StreamResponseDeadline
2,,WaitingRoomBoostDuration
1,0,WaitingRoomBoostJelly
2,,WaitingRoomBoostSpeedFactor
6,,WaitingRoomCameraSmoothFactor
1,,WaitingRoomCoinFireWorkGoldCount
10,,WaitingRoomCoinFireWorkSilverCount
1,2,WaitingRoomCoinFireworkJelly
5,10,WaitingRoomGoldCoinJelly
2,4,WaitingRoomKingCoinJelly
5,,WaitingRoomMakeCoinFireworkCount
0.5,,WaitingRoomMakeCoinFireworkDuration
3,10,WaitingRoomMakeCoinJelly
5,5,WaitingRoomMakeItemJelly
200,,WaitingRoomRunSpeed
10,20,WaitingRoomSilverCoinJelly
5,,WaitingRoomSmallScaleDuration
1,0,WaitingRoomSmallScaleJelly
0.5,,WaitingRoomSmallScaleRate
701998,,WaitingRoomThemeId
1500,,WaitingRoomTotalWidth
