main_comment,main_icon,seq,_key
Escape the Witch's Oven,party_mission_bigbear_01.png,1,1
Raid the Witch's freezer,party_mission_icebear_01.png,10,10
Don't wake the dragon hatchlings,party_mission_obstacles_02.png,11,11
Cross the Crocodile Swamp,party_mission_obstacles_01.png,12,12
Knead the dough dilligently,party_mission_colorfuljelly_01.png,13,13
Perform endurance training,party_mission_getscore_01.png,14,14
Get Strawberry Jam of Ambition,party_mission_pinkbear_01.png,15,15
Relax and enjoy your Cookie life,party_mission_smallpotion_01.png,16,16
Find the runaway Cookie,party_mission_obstacles_02.png,17,17
Visit Mint Choco Cookie's concert,party_mission_bonusscore_01.png,18,18
Solve the Lemon Cube fastest,party_mission_icebear_01.png,19,19
Find the ruined kingdom's riches,party_mission_bonusscore_01.png,2,2
Walk Furball Pup,party_mission_bigbear_01.png,20,20
Clean Mini Orange Mouse's wheel,party_mission_bonustime_01.png,21,21
Feed Tiny Cake Hound,party_mission_alljelly_01.png,22,22
Clean up the Witch's Kitchen,party_mission_alljelly_01.png,23,23
Make a bet with the Lucky Dice Bros,party_mission_colorfuljelly_01.png,24,24
Fix the Jellyco Intercept System,party_mission_obstacles_01.png,25,25
Find the perfect Cookie recipe,party_mission_alljelly_01.png,26,26
Poke the sleeping dragon,party_mission_devilcoin_01.png,3,3
Decipher ancient wizard glyphs,party_mission_getscore_01.png,4,4
Shop at the Squirrel Shop,party_mission_allbear_01.png,5,5
Unveil the secret of Life Powder,party_mission_smallpotion_01.png,6,6
Deliver love letters,party_mission_pinkbear_01.png,7,7
Find the forbidden manuscript,party_mission_devilcoin_01.png,8,8
Defeat the Mandrakes,party_mission_bonustime_01.png,9,9
