round_number,rule_seq,tier_group_seq,weight,_key
1,1,1,100,1
4,10,1,100,10
3,70,4,100,100
4,71,4,100,101
4,72,4,100,102
1,73,5,100,103
1,74,5,100,104
2,75,5,100,105
2,76,5,100,106
3,77,5,100,107
3,78,5,100,108
1,79,1,0,109
4,11,1,100,11
1,79,2,0,110
1,80,3,0,111
1,81,4,0,112
1,82,5,0,113
4,12,1,100,12
1,1,2,100,13
1,2,2,100,14
1,3,2,100,15
1,14,2,100,16
2,4,2,100,17
2,5,2,100,18
2,6,2,100,19
1,2,1,100,2
2,18,2,100,20
3,7,2,100,21
3,8,2,100,22
3,9,2,100,23
3,21,2,100,24
4,10,2,100,25
4,11,2,100,26
4,12,2,100,27
4,23,2,100,28
1,13,3,100,29
1,3,1,100,3
1,14,3,100,30
1,15,3,100,31
1,26,3,100,32
2,16,3,100,33
2,17,3,100,34
2,18,3,100,35
2,29,3,100,36
3,19,3,100,37
3,20,3,100,38
3,21,3,100,39
2,4,1,100,4
3,31,3,100,40
4,22,3,100,41
4,23,3,100,42
4,24,3,100,43
4,36,3,100,44
1,25,4,100,45
1,26,4,100,46
1,27,4,100,47
1,39,4,100,48
2,28,4,100,49
2,5,1,100,5
2,29,4,100,50
2,30,4,100,51
3,31,4,100,52
3,32,4,100,53
3,33,4,100,54
3,44,4,100,55
4,34,4,100,56
4,35,4,100,57
4,36,4,100,58
1,37,5,100,59
2,6,1,100,6
1,38,5,100,60
1,39,5,100,61
2,40,5,100,62
2,41,5,100,63
2,42,5,100,64
3,43,5,100,65
3,44,5,100,66
3,45,5,100,67
4,46,5,100,68
4,47,5,100,69
3,7,1,100,7
4,48,5,100,70
1,49,1,100,71
1,50,1,100,72
2,51,1,100,73
2,52,1,100,74
3,53,1,100,75
3,54,1,100,76
4,55,1,100,77
4,56,1,100,78
1,49,2,100,79
3,8,1,100,8
1,50,2,100,80
2,51,2,100,81
2,52,2,100,82
3,53,2,100,83
3,54,2,100,84
4,55,2,100,85
4,56,2,100,86
1,57,3,100,87
1,58,3,100,88
2,59,3,100,89
3,9,1,100,9
2,60,3,100,90
3,61,3,100,91
3,62,3,100,92
4,63,3,100,93
4,64,3,100,94
1,65,4,100,95
1,66,4,100,96
2,67,4,100,97
2,68,4,100,98
3,69,4,100,99
