resource_key,value,_key
pet100,90,CHOCO_HEDGEHOG_JUMP_DISTANCE
pet100,60,CHOCO_HEDGEHOG_JUMP_HEIGHT
pet100,30,CHOCO_HEDGEHOG_MAX_FLOOR_COUNT
pet100,120,CHOCO_HEDGEHOG_MOVE_DISTANCE_BEFORE_JUMP
pet100,5,CHOCO_HEDGEHOG_TOTAL_JUMP_COUNT
pet41,1,CandleLifeProb
pet87,800,EggBunny_CreateJellyCoolTime
pet93,"720,720",HoneyRiceCake_HoneyTearDrop
pet93,300,HoneyRiceCake_TearDrop
pet93,"80,80",HoneyRiceCake_TearDropGravity
pet93,"360,1440",HoneyRiceCake_TearDropPosX
pet52,4,KiwiBird_MAX_JELLY_PER_PLATFORM
pet52,0,KiwiBird_MIN_JELLY_PER_PLATFORM
pet52,46,KiwiBird_Obstacle_JellyMaxDist
pet52,5,KiwiBird_Obstacle_NumOfJelly
pet104,"30,130,500,1600",LOTUSSEED_AREA_TO_SHOOT_JELLY
pet98,100,MANGGAE_SNAIL_DEW_PARTY_MAGNET_SIZE
pet101,720,PET_DANDELION_MOVE_DISTANCE
pet94,100,PetDasara_JellyRange
pet50,45,SodaPet_Obstacle_JellyMaxDist
pet50,5,SodaPet_Obstacle_NumOfJelly
pet50,1000,SodaWaveBuffImmortalDuration
pet50,3,Sodapet_MAX_JELLY_PER_PLATFORM
pet50,0,Sodapet_MIN_JELLY_PER_PLATFORM
pet35,0,SpotlightFadeInOutTime
pet35,0,SpotlightOffsetX
pet35,0,SpotlightOffsetY
pet35,120,SpotlightOpacity
