Episode,PlatformId,SoundBounceScreenEnter,SoundCrash,SoundEndShoot,SoundMoveEnd,SoundMoveScreenEnter,SoundMoveStart,SoundPauseStart,SoundShootLoop,SoundStartShoot,ThemeId,_key
6,6250,epN06_Platform_3_RunningAttack_1,,,,,,,,,603,1
6,6193,,,,,,epN06_Platform_6_ExpandObstacle_2,,,,606,10
6,6052,,,,,,epN06_Platform_7_Transform1to2_2,,,,607,11
6,6250,epN06_Platform_7_BounceApproach_1,,,,,,,,,607,12
6,6158,,,,,,epN06_Platform_8_RunningAttack_2,,,,608,13
6,6094,,,,epN06_Platform_8_FloatingShrink,,,,,,608,14
6,6096,,,,epN06_Platform_8_FloatingGrow,,,,,,608,15
6,6272,,,,,,epN06_Platform_9_DragonFootHole_2,,,,609,16
6,6273,,,,,,epN06_Platform_9_DragonTailHole_1,,,,609,17
6,6086,,,,,,epN06_Platform_3_RunningAttack_2,,,,603,2
6,6052,,,,,,epN06_Platform_3_Transform1to2_2,,,,603,3
6,6051,,,,,,epN06_Platform_3_BounceApproach_1,,,,603,4
6,6265,,,,,,epN06_Platform_4_UpDownSlide_3,,,,604,5
6,6006,,,,,,epN06_Platform_4_PopOut_1,,,,604,6
6,6190,,,,,,epN06_Platform_5_JumpCreate_1,,,,605,7
6,6269,,,,,,epN06_Platform_6_RunObstacle2x1_Dog,,,,606,8
6,6278,,,,,,epN06_Platform_6_ExpandObstacle_1,,,,606,9
