break_qty,gen_qty,powder_group,tag,_key
3,30,MT_C,1,1
6,99999999,TR_E,4,10
121,99999999,TR2_C+,4,100
123,99999999,TR2_C+,5,101
124,99999999,TR2_C+,6,102
127,99999999,TR2_C+,7,103
128,99999999,TR2_C+,8,104
132,99999999,TR2_C+,9,105
136,99999999,TR2_C+,10,106
185,99999999,TR2_B,1,107
186,99999999,TR2_B,2,108
188,99999999,TR2_B,3,109
8,99999999,TR_E,5,11
190,99999999,TR2_B,4,110
194,99999999,TR2_B,5,111
198,99999999,TR2_B,6,112
203,99999999,TR2_B,7,113
211,99999999,TR2_B,8,114
219,99999999,TR2_B,9,115
228,99999999,TR2_B,10,116
205,99999999,TR2_B+,1,117
206,99999999,TR2_B+,2,118
208,99999999,TR2_B+,3,119
9,99999999,TR_E,6,12
210,99999999,TR2_B+,4,120
214,99999999,TR2_B+,5,121
218,99999999,TR2_B+,6,122
223,99999999,TR2_B+,7,123
231,99999999,TR2_B+,8,124
239,99999999,TR2_B+,9,125
248,99999999,TR2_B+,10,126
345,99999999,TR2_A,1,127
347,99999999,TR2_A,2,128
349,99999999,TR2_A,3,129
12,99999999,TR_E,7,13
353,99999999,TR2_A,4,130
358,99999999,TR2_A,5,131
364,99999999,TR2_A,6,132
371,99999999,TR2_A,7,133
382,99999999,TR2_A,8,134
427,99999999,TR2_A,9,135
477,99999999,TR2_A,10,136
385,99999999,TR2_A+,1,137
387,99999999,TR2_A+,2,138
389,99999999,TR2_A+,3,139
13,99999999,TR_E,8,14
393,99999999,TR2_A+,4,140
398,99999999,TR2_A+,5,141
404,99999999,TR2_A+,6,142
411,99999999,TR2_A+,7,143
422,99999999,TR2_A+,8,144
467,99999999,TR2_A+,9,145
517,99999999,TR2_A+,10,146
685,99999999,TR2_A++,1,147
687,99999999,TR2_A++,2,148
689,99999999,TR2_A++,3,149
17,99999999,TR_E,9,15
693,99999999,TR2_A++,4,150
698,99999999,TR2_A++,5,151
704,99999999,TR2_A++,6,152
711,99999999,TR2_A++,7,153
722,99999999,TR2_A++,8,154
767,99999999,TR2_A++,9,155
817,99999999,TR2_A++,10,156
1210,99999999,TR2_S,1,157
1213,99999999,TR2_S,2,158
1218,99999999,TR2_S,3,159
21,99999999,TR_E,10,16
1224,99999999,TR2_S,4,160
1236,99999999,TR2_S,5,161
1249,99999999,TR2_S,6,162
1262,99999999,TR2_S,7,163
1323,99999999,TR2_S,8,164
1390,99999999,TR2_S,9,165
1464,99999999,TR2_S,10,166
1310,99999999,TR2_S+,1,167
1313,99999999,TR2_S+,2,168
1318,99999999,TR2_S+,3,169
190,99999999,TR_E2,1,17
1324,99999999,TR2_S+,4,170
1336,99999999,TR2_S+,5,171
1349,99999999,TR2_S+,6,172
1362,99999999,TR2_S+,7,173
1423,99999999,TR2_S+,8,174
1490,99999999,TR2_S+,9,175
1564,99999999,TR2_S+,10,176
1910,99999999,TR2_S++,1,177
1913,99999999,TR2_S++,2,178
1918,99999999,TR2_S++,3,179
230,99999999,TR_E2,2,18
1924,99999999,TR2_S++,4,180
1936,99999999,TR2_S++,5,181
1949,99999999,TR2_S++,6,182
1962,99999999,TR2_S++,7,183
2023,99999999,TR2_S++,8,184
2090,99999999,TR2_S++,9,185
2164,99999999,TR2_S++,10,186
2810,99999999,TR2_SS,1,187
2813,99999999,TR2_SS,2,188
2818,99999999,TR2_SS,3,189
280,99999999,TR_E2,3,19
2824,99999999,TR2_SS,4,190
2836,99999999,TR2_SS,5,191
2849,99999999,TR2_SS,6,192
2862,99999999,TR2_SS,7,193
2923,99999999,TR2_SS,8,194
2990,99999999,TR2_SS,9,195
3064,99999999,TR2_SS,10,196
174,99999999,TR2X_C,1,197
177,99999999,TR2X_C,2,198
180,99999999,TR2X_C,3,199
15,150,MT_B,1,2
340,99999999,TR_E2,4,20
183,99999999,TR2X_C,4,200
189,99999999,TR2X_C,5,201
192,99999999,TR2X_C,6,202
201,99999999,TR2X_C,7,203
204,99999999,TR2X_C,8,204
216,99999999,TR2X_C,9,205
228,99999999,TR2X_C,10,206
354,99999999,TR2X_C+,1,207
357,99999999,TR2X_C+,2,208
360,99999999,TR2X_C+,3,209
440,99999999,TR_E2,5,21
363,99999999,TR2X_C+,4,210
369,99999999,TR2X_C+,5,211
372,99999999,TR2X_C+,6,212
381,99999999,TR2X_C+,7,213
384,99999999,TR2X_C+,8,214
396,99999999,TR2X_C+,9,215
408,99999999,TR2X_C+,10,216
555,99999999,TR2X_B,1,217
558,99999999,TR2X_B,2,218
564,99999999,TR2X_B,3,219
570,99999999,TR_E2,6,22
570,99999999,TR2X_B,4,220
582,99999999,TR2X_B,5,221
594,99999999,TR2X_B,6,222
609,99999999,TR2X_B,7,223
633,99999999,TR2X_B,8,224
657,99999999,TR2X_B,9,225
684,99999999,TR2X_B,10,226
615,99999999,TR2X_B+,1,227
618,99999999,TR2X_B+,2,228
624,99999999,TR2X_B+,3,229
730,99999999,TR_E2,7,23
630,99999999,TR2X_B+,4,230
642,99999999,TR2X_B+,5,231
654,99999999,TR2X_B+,6,232
669,99999999,TR2X_B+,7,233
693,99999999,TR2X_B+,8,234
717,99999999,TR2X_B+,9,235
744,99999999,TR2X_B+,10,236
1035,99999999,TR2X_A,1,237
1041,99999999,TR2X_A,2,238
1047,99999999,TR2X_A,3,239
970,99999999,TR_E2,8,24
1059,99999999,TR2X_A,4,240
1074,99999999,TR2X_A,5,241
1092,99999999,TR2X_A,6,242
1113,99999999,TR2X_A,7,243
1146,99999999,TR2X_A,8,244
1281,99999999,TR2X_A,9,245
1431,99999999,TR2X_A,10,246
1155,99999999,TR2X_A+,1,247
