Grade,Name,Percentage,PercentageBonus,Rarity,_key
S,Blueberry Horse Music Box,0.5,,Epic,1
S,Antimagnetic Safety Gloves,0.49,,Epic,10
S,Dropped Banana Peel,0.5,,Epic,100
S,5g Amateur Ankle Weights,0.5,,Epic,101
S,Amateur Baking Powder,0.56,,Epic,102
S,Jelly Pogo Stick,0.5,,Epic,103
S,Cherry Blossom Cotton Candy,0.5,,Epic,104
S,Cool Soda Popsicle,0.54,,Epic,105
S,Sparkling Water Drink,0.53,,Epic,106
S,Decorative Crystal Spork,0.11,,Epic,107
S,Sweet Jujube Flower Rice Cake,0.5,,Epic,108
S,Bamboo Scented Sticky Rice,0.5,,Epic,109
S,Hyper Soda Zero,0.49,,Epic,11
S,Icy Glass Slippers,0.53,,Epic,110
S,Shiny Golden Nunchucks,0.59,,Epic,111
S,Orange-Lime Smoothie,0.73,,Epic,112
S,Sweet Chocolate Eclair Baton,0.63,,Epic,113
S,Pink Spring Jelly Shoes,0.65,,Epic,114
S,Cherished Sacred Crystal Sword,0.3,,Epic,115
A,Speedy Foot Lollipop,1.88,,Epic,116
A,Melted Pocket Watch,1.88,,Epic,117
A,Speedy Foot Lollipop,1.88,,Epic,118
A,Choco Dip Sticks,1.67,,Epic,119
S,Plum Rubber Balls,0.49,,Epic,12
A,Star Desk Lamp,1.88,,Epic,120
A,Glowing Meteor Chip,2.78,,Epic,121
A,Last Standing Chess Piece,2.78,,Epic,122
A,Extra Sweet Strawberry Jam,2.78,,Epic,123
A,Dark Choco Hair Mousse,2.78,,Epic,124
A,Waterproof Wristwatch,2.78,,Epic,125
A,Juice Bottle Cap,2.78,,Epic,126
A,Crystal Pearl Earring,0.18,,Epic,127
A,Flaring Slice of Sun,2.78,,Epic,128
A,Purple Ribbon Bow,2.78,,Epic,129
S,Freshly Roasted Ginkgo Skewer,0.5,,Epic,13
A,Macaron Hamburger,2.78,,Epic,130
A,Squeaky Mjollnir,2.78,,Epic,131
A,Best Ice Cream Ever,2.78,,Epic,132
A,Ever Hungry Piggy Bank,2.78,,Epic,133
A,Prickly Director's Clapboard,2.78,,Epic,134
A,Runaway Party Piñata,2.78,,Epic,135
A,Glowing Meteor Chip,2.31,,Rare,136
A,Last Standing Chess Piece,2.31,,Rare,137
A,Extra Sweet Strawberry Jam,0.77,,Rare,138
A,Dark Choco Hair Mousse,0.77,,Rare,139
S,Mushroom Drink,0.5,,Epic,14
A,Waterproof Wristwatch,2.31,,Rare,140
A,Juice Bottle Cap,0.77,,Rare,141
A,Crystal Pearl Earring,0.77,,Rare,142
A,Flaring Slice of Sun,2.31,,Rare,143
A,Purple Ribbon Bow,2.31,,Rare,144
A,Macaron Hamburger,2.31,,Rare,145
A,Squeaky Mjollnir,2.31,,Rare,146
A,Best Ice Cream Ever,2.31,,Rare,147
A,Ever Hungry Piggy Bank,2.31,,Rare,148
A,Prickly Director's Clapboard,2.31,,Rare,149
S,Enduring Mushroom Flashlight,0.5,,Epic,15
A,Runaway Party Piñata,2.31,,Rare,150
A,Speedy Foot Lollipop,2.31,,Rare,151
A,Melted Pocket Watch,2.31,,Rare,152
A,Speedy Foot Lollipop,2.31,,Rare,153
A,Choco Dip Sticks,2.31,,Rare,154
A,Star Desk Lamp,2.31,,Rare,155
B,Deep Sea Murex Shell,4.62,,Rare,156
B,Smiling Carnival Mask,4.62,,Rare,157
B,Famous Choco Chip Cookie,4.62,,Rare,158
B,Vitalizing Vitamin C Capsule,4.62,,Rare,159
S,Summon Feed,0.5,,Epic,16
B,Nutritious Cranberry,4.62,,Rare,160
B,Grow-Back Cream,4.62,,Rare,161
B,Kitty Paw Marshmallow,4.62,,Rare,162
B,First Harvest Olive Oil,4.62,,Rare,163
B,Cookie First-Aid Kit,4.62,,Rare,164
B,Roof Whirligig,4.62,,Rare,165
B,Whatsinit Sausage,4.62,,Rare,166
B,Lucky 5-Leaf Clover,4.62,,Rare,167
B,Red Dragon's Tooth,4.62,,Rare,168
S,Victor's Feather Laurel Wreath,0.5,,Epic,17
S,Jingle-jangle Coin Wallet,0.5,,Epic,18
S,Freshly Baked Naan,0.39,,Epic,19
S,Colorful Kids' Paints,0.5,,Epic,2
S,Refreshing Mango Lassi,0.39,,Epic,20
S,Sour Soda,0.39,,Epic,21
S,Recipe For Acting Success,0.39,,Epic,22
S,Ancient Ginseng Root,0.39,,Epic,23
S,Rare Sapphire Brooch,0.08,,Epic,24
S,Magic Sword Handle,0.38,,Epic,25
S,Pink Bear Jelly Prototype,0.38,,Epic,26
S,Game Controller,0.51,,Epic,27
S,Special Edition Cookie Comic,0.39,,Epic,28
S,Primordial Red Ginseng,0.39,,Epic,29
S,Sturdy Catchball Glove,0.5,,Epic,3
S,Treasure Merchant's Mini Safe,0.39,,Epic,30
