Coin,Grade,Level,Percentage,_key
2800,C,1,100,1
6600,B,1,100,10
8400,B,2,100,11
11200,B,3,100,12
12500,B,4,75,13
14600,B,5,75,14
16700,B,6,75,15
17200,B,7,50,16
18600,B,8,50,17
20000,B,9,50,18
9600,A,1,100,19
4200,C,2,100,2
12300,A,2,100,20
15200,A,3,100,21
17000,A,4,75,22
20000,A,5,75,23
23000,A,6,75,24
25200,A,7,50,25
26000,A,8,25,26
27500,A,9,20,27
17000,S,1,100,28
21000,S,2,100,29
5600,C,3,100,3
25000,S,3,100,30
27000,S,4,50,31
29000,S,5,50,32
31000,S,6,50,33
33000,S,7,25,34
35000,S,8,20,35
38000,S,9,15,36
7000,C,4,100,4
8400,C,5,100,5
9800,C,6,100,6
11200,C,7,100,7
12500,C,8,75,8
14000,C,9,75,9
