title_category,title_text,_key
6,Party Run Rookie,4450001
6,Always Online,4450002
6,Lonesome,4450003
6,Formidable,4450004
6,In Sync,4450005
6,Best Friend,4450006
6,Final Fairy,4450007
6,Party Run Guru,4450008
6,Best Partner,4450009
6,Rising Star,4450010
6,Talented,4450011
6,Survivor,4450012
6,Getting Along,4450013
6,Team Carrier,4450014
6,Air Time,4450015
6,Cakewalker,4450016
6,Bootstrapper,4450017
6,Voracious,4450018
6,Moneybags,4450019
6,Silver Spoon,4450020
6,All That Glitters,4450021
6,Stuffed,4450022
6,Gourmand,4450023
6,Yellow Gourmand,4450024
6,Pink Gourmand,4450025
6,Ice Cold,4450026
6,Brain Freeze,4450027
6,Renowned Glutton,4450028
6,Angel,4450029
6,Slow Aging,4450030
6,Called to Mom,4450031
6,Stomach of Steel,4450032
6,Never-stopping,4450033
6,Speedster,4450034
6,Slowpokes,4450035
6,Ballistics Expert,4450036
6,Unstoppable,4450037
6,Sluggish,4450038
6,Hardhead,4450039
