action,comment,condition,episode_seq,finish,ice_tower_mission_order,ice_tower_stage,increment,is_reward_mail,operator,quest_category,quest_status,quest_type,resouce_key_string,reward_qty,reward_seq,reward_type,start,_key
FRIEND_INFO,"[함께하면 더 즐거워]
친구 수 1000명",questIsFinished(109),0,1000,,,#friendCount,,SET,0,1,NORMAL,accrue,1,,G,0,100
NONE,"[풍족한 쿠키마을]
보물 100개 보유",questIsFinished(1009),0,100,,,countStuffsWithType('T'),,SET,0,1,NORMAL,accrue,1000,,C,0,1000
NONE,"[풍족한 쿠키마을]
보물 5개 보유",,0,5,,,countStuffsWithType('T'),,SET,0,1,NORMAL,accrue,1000,,C,0,1001
AFTER_PLAY,"[점프왕]
점프 5000번 하기",questIsRewarded(100109),1,5000,,,#totalJump,,MAX,0,1,NORMAL,1play,1,,G,0,100100
AFTER_PLAY,"[점프왕]
점프 100번 하기",,1,100,,,#totalJump,,MAX,0,1,NORMAL,1play,1,853,S,0,100101
AFTER_PLAY,"[점프왕]
점프 200번 하기",questIsRewarded(100101),1,200,,,#totalJump,,MAX,0,1,NORMAL,1play,1000,,C,0,100102
AFTER_PLAY,"[점프왕]
점프 500번 하기",questIsRewarded(100102),1,500,,,#totalJump,,MAX,0,1,NORMAL,1play,2,213,S,0,100103
AFTER_PLAY,"[점프왕]
점프 1000번 하기",questIsRewarded(100103),1,1000,,,#totalJump,,MAX,0,1,NORMAL,1play,3000,,C,0,100104
AFTER_PLAY,"[점프왕]
점프 1500번 하기",questIsRewarded(100104),1,1500,,,#totalJump,,MAX,0,1,NORMAL,1play,2500,,C,0,100105
AFTER_PLAY,"[점프왕]
점프 2000번 하기",questIsRewarded(100105),1,2000,,,#totalJump,,MAX,0,1,NORMAL,1play,3000,,C,0,100106
AFTER_PLAY,"[점프왕]
점프 2500번 하기",questIsRewarded(100106),1,2500,,,#totalJump,,MAX,0,1,NORMAL,1play,3500,,C,0,100107
AFTER_PLAY,"[점프왕]
점프 3000번 하기",questIsRewarded(100107),1,3000,,,#totalJump,,MAX,0,1,NORMAL,1play,1,215,S,0,100108
AFTER_PLAY,"[점프왕]
점프 4000번 하기",questIsRewarded(100108),1,4000,,,#totalJump,,MAX,0,1,NORMAL,1play,4500,,C,0,100109
NONE,"[풍족한 쿠키마을]
보물 10개 보유",questIsFinished(1001),0,10,,,countStuffsWithType('T'),,SET,0,1,NORMAL,accrue,1000,,C,0,1002
AFTER_PLAY,"[쩜프왕]
2단 점프 5000번 하기",questIsRewarded(100209),1,5000,,,#doubleJump,,MAX,0,1,NORMAL,1play,1,,G,0,100200
AFTER_PLAY,"[쩜프왕]
2단 점프 100번 하기",,1,100,,,#doubleJump,,MAX,0,1,NORMAL,1play,500,,C,0,100201
AFTER_PLAY,"[쩜프왕]
2단 점프 200번 하기",questIsRewarded(100201),1,200,,,#doubleJump,,MAX,0,1,NORMAL,1play,2,213,S,0,100202
AFTER_PLAY,"[쩜프왕]
2단 점프 500번 하기",questIsRewarded(100202),1,500,,,#doubleJump,,MAX,0,1,NORMAL,1play,1500,,C,0,100203
AFTER_PLAY,"[쩜프왕]
2단 점프 1000번 하기",questIsRewarded(100203),1,1000,,,#doubleJump,,MAX,0,1,NORMAL,1play,3000,,C,0,100204
AFTER_PLAY,"[쩜프왕]
2단 점프 1500번 하기",questIsRewarded(100204),1,1500,,,#doubleJump,,MAX,0,1,NORMAL,1play,2500,,C,0,100205
AFTER_PLAY,"[쩜프왕]
2단 점프 2000번 하기",questIsRewarded(100205),1,2000,,,#doubleJump,,MAX,0,1,NORMAL,1play,3000,,C,0,100206
AFTER_PLAY,"[쩜프왕]
2단 점프 2500번 하기",questIsRewarded(100206),1,2500,,,#doubleJump,,MAX,0,1,NORMAL,1play,1,215,S,0,100207
AFTER_PLAY,"[쩜프왕]
2단 점프 3000번 하기",questIsRewarded(100207),1,3000,,,#doubleJump,,MAX,0,1,NORMAL,1play,4000,,C,0,100208
AFTER_PLAY,"[쩜프왕]
2단 점프 4000번 하기",questIsRewarded(100208),1,4000,,,#doubleJump,,MAX,0,1,NORMAL,1play,4500,,C,0,100209
NONE,"[풍족한 쿠키마을]
보물 15개 보유",questIsFinished(1002),0,15,,,countStuffsWithType('T'),,SET,0,1,NORMAL,accrue,1000,,C,0,1003
AFTER_PLAY,"[자는거 아니죠?]
슬라이드 500초 동안 하기",questIsRewarded(100309),1,500,,,#slideTime,,MAX,0,1,NORMAL,1play,1,,G,0,100300
AFTER_PLAY,"[자는거 아니죠?]
슬라이드 25초 동안 하기",,1,25,,,#slideTime,,MAX,0,1,NORMAL,1play,500,,C,0,100301
AFTER_PLAY,"[자는거 아니죠?]
슬라이드 50초 동안 하기",questIsRewarded(100301),1,50,,,#slideTime,,MAX,0,1,NORMAL,1play,1000,,C,0,100302
AFTER_PLAY,"[자는거 아니죠?]
슬라이드 100초 동안 하기",questIsRewarded(100302),1,100,,,#slideTime,,MAX,0,1,NORMAL,1play,1500,,C,0,100303
AFTER_PLAY,"[자는거 아니죠?]
슬라이드 150초 동안 하기",questIsRewarded(100303),1,150,,,#slideTime,,MAX,0,1,NORMAL,1play,3000,,C,0,100304
AFTER_PLAY,"[자는거 아니죠?]
슬라이드 200초 동안 하기",questIsRewarded(100304),1,200,,,#slideTime,,MAX,0,1,NORMAL,1play,2500,,C,0,100305
AFTER_PLAY,"[자는거 아니죠?]
슬라이드 250초 동안 하기",questIsRewarded(100305),1,250,,,#slideTime,,MAX,0,1,NORMAL,1play,3,213,S,0,100306
AFTER_PLAY,"[자는거 아니죠?]
슬라이드 300초 동안 하기",questIsRewarded(100306),1,300,,,#slideTime,,MAX,0,1,NORMAL,1play,3500,,C,0,100307
AFTER_PLAY,"[자는거 아니죠?]
슬라이드 350초 동안 하기",questIsRewarded(100307),1,350,,,#slideTime,,MAX,0,1,NORMAL,1play,4000,,C,0,100308
AFTER_PLAY,"[자는거 아니죠?]
슬라이드 400초 동안 하기",questIsRewarded(100308),1,400,,,#slideTime,,MAX,0,1,NORMAL,1play,1,215,S,0,100309
NONE,"[풍족한 쿠키마을]
보물 20개 보유",questIsFinished(1003),0,20,,,countStuffsWithType('T'),,SET,0,1,NORMAL,accrue,1000,,C,0,1004
AFTER_PLAY,"[젤리젤리냠냠]
젤리 50000개 먹기",questIsRewarded(100409),1,50000,,,#jellyCount,,MAX,0,1,NORMAL,1play,1,,G,0,100400
AFTER_PLAY,"[젤리젤리냠냠]
젤리 1000개 먹기",,1,1000,,,#jellyCount,,MAX,0,1,NORMAL,1play,500,,C,0,100401
AFTER_PLAY,"[젤리젤리냠냠]
젤리 2000개 먹기",questIsRewarded(100401),1,2000,,,#jellyCount,,MAX,0,1,NORMAL,1play,1000,,C,0,100402
AFTER_PLAY,"[젤리젤리냠냠]
젤리 5000개 먹기",questIsRewarded(100402),1,5000,,,#jellyCount,,MAX,0,1,NORMAL,1play,1500,,C,0,100403
AFTER_PLAY,"[젤리젤리냠냠]
젤리 10000개 먹기",questIsRewarded(100403),1,10000,,,#jellyCount,,MAX,0,1,NORMAL,1play,3000,,C,0,100404
AFTER_PLAY,"[젤리젤리냠냠]
젤리 15000개 먹기",questIsRewarded(100404),1,15000,,,#jellyCount,,MAX,0,1,NORMAL,1play,3,213,S,0,100405
AFTER_PLAY,"[젤리젤리냠냠]
젤리 20000개 먹기",questIsRewarded(100405),1,20000,,,#jellyCount,,MAX,0,1,NORMAL,1play,3000,,C,0,100406
AFTER_PLAY,"[젤리젤리냠냠]
젤리 25000개 먹기",questIsRewarded(100406),1,25000,,,#jellyCount,,MAX,0,1,NORMAL,1play,1,215,S,0,100407
AFTER_PLAY,"[젤리젤리냠냠]
젤리 30000개 먹기",questIsRewarded(100407),1,30000,,,#jellyCount,,MAX,0,1,NORMAL,1play,4000,,C,0,100408
AFTER_PLAY,"[젤리젤리냠냠]
젤리 40000개 먹기",questIsRewarded(100408),1,40000,,,#jellyCount,,MAX,0,1,NORMAL,1play,4500,,C,0,100409
NONE,"[풍족한 쿠키마을]
보물 30개 보유",questIsFinished(1004),0,30,,,countStuffsWithType('T'),,SET,0,1,NORMAL,accrue,1000,,C,0,1005
AFTER_PLAY,"[노란곰젤리냠냠]
노란곰젤리 25000개 먹기",questIsRewarded(100509),1,25000,,,#yellowBearJelly,,MAX,0,1,NORMAL,1play,1,,G,0,100500
AFTER_PLAY,"[노란곰젤리냠냠]
노란곰젤리 500개 먹기",,1,500,,,#yellowBearJelly,,MAX,0,1,NORMAL,1play,500,,C,0,100501
AFTER_PLAY,"[노란곰젤리냠냠]
노란곰젤리 1000개 먹기",questIsRewarded(100501),1,1000,,,#yellowBearJelly,,MAX,0,1,NORMAL,1play,1000,,C,0,100502
AFTER_PLAY,"[노란곰젤리냠냠]
노란곰젤리 2000개 먹기",questIsRewarded(100502),1,2000,,,#yellowBearJelly,,MAX,0,1,NORMAL,1play,1500,,C,0,100503
AFTER_PLAY,"[노란곰젤리냠냠]
노란곰젤리 3000개 먹기",questIsRewarded(100503),1,3000,,,#yellowBearJelly,,MAX,0,1,NORMAL,1play,3000,,C,0,100504
AFTER_PLAY,"[노란곰젤리냠냠]
노란곰젤리 4000개 먹기",questIsRewarded(100504),1,4000,,,#yellowBearJelly,,MAX,0,1,NORMAL,1play,2500,,C,0,100505
AFTER_PLAY,"[노란곰젤리냠냠]
노란곰젤리 8000개 먹기",questIsRewarded(100505),1,8000,,,#yellowBearJelly,,MAX,0,1,NORMAL,1play,3,213,S,0,100506
AFTER_PLAY,"[노란곰젤리냠냠]
노란곰젤리 12000개 먹기",questIsRewarded(100506),1,12000,,,#yellowBearJelly,,MAX,0,1,NORMAL,1play,3500,,C,0,100507
AFTER_PLAY,"[노란곰젤리냠냠]
노란곰젤리 16000개 먹기",questIsRewarded(100507),1,16000,,,#yellowBearJelly,,MAX,0,1,NORMAL,1play,4000,,C,0,100508
AFTER_PLAY,"[노란곰젤리냠냠]
노란곰젤리 20000개 먹기",questIsRewarded(100508),1,20000,,,#yellowBearJelly,,MAX,0,1,NORMAL,1play,1,215,S,0,100509
NONE,"[풍족한 쿠키마을]
보물 40개 보유",questIsFinished(1005),0,40,,,countStuffsWithType('T'),,SET,0,1,NORMAL,accrue,1000,,C,0,1006
AFTER_PLAY,"[분홍곰젤리냠냠]
분홍곰젤리 10000개 먹기",questIsRewarded(100609),1,10000,,,#pinkBearJelly,,MAX,0,1,NORMAL,1play,1,,G,0,100600
AFTER_PLAY,"[분홍곰젤리냠냠]
분홍곰젤리 500개 먹기",,1,500,,,#pinkBearJelly,,MAX,0,1,NORMAL,1play,500,,C,0,100601
AFTER_PLAY,"[분홍곰젤리냠냠]
분홍곰젤리 1000개 먹기",questIsRewarded(100601),1,1000,,,#pinkBearJelly,,MAX,0,1,NORMAL,1play,1000,,C,0,100602
AFTER_PLAY,"[분홍곰젤리냠냠]
분홍곰젤리 1500개 먹기",questIsRewarded(100602),1,1500,,,#pinkBearJelly,,MAX,0,1,NORMAL,1play,2,213,S,0,100603
AFTER_PLAY,"[분홍곰젤리냠냠]
분홍곰젤리 2000개 먹기",questIsRewarded(100603),1,2000,,,#pinkBearJelly,,MAX,0,1,NORMAL,1play,3000,,C,0,100604
AFTER_PLAY,"[분홍곰젤리냠냠]
분홍곰젤리 2500개 먹기",questIsRewarded(100604),1,2500,,,#pinkBearJelly,,MAX,0,1,NORMAL,1play,2500,,C,0,100605
AFTER_PLAY,"[분홍곰젤리냠냠]
분홍곰젤리 3000개 먹기",questIsRewarded(100605),1,3000,,,#pinkBearJelly,,MAX,0,1,NORMAL,1play,3000,,C,0,100606
AFTER_PLAY,"[분홍곰젤리냠냠]
분홍곰젤리 5000개 먹기",questIsRewarded(100606),1,5000,,,#pinkBearJelly,,MAX,0,1,NORMAL,1play,3500,,C,0,100607
AFTER_PLAY,"[분홍곰젤리냠냠]
분홍곰젤리 6000개 먹기",questIsRewarded(100607),1,6000,,,#pinkBearJelly,,MAX,0,1,NORMAL,1play,1,215,S,0,100608
AFTER_PLAY,"[분홍곰젤리냠냠]
분홍곰젤리 8000개 먹기",questIsRewarded(100608),1,8000,,,#pinkBearJelly,,MAX,0,1,NORMAL,1play,4500,,C,0,100609
NONE,"[풍족한 쿠키마을]
보물 50개 보유",questIsFinished(1006),0,50,,,countStuffsWithType('T'),,SET,0,1,NORMAL,accrue,1000,,C,0,1007
AFTER_PLAY,"[이 구역의 대식가]
왕곰젤리 500개 먹기",questIsRewarded(100709),1,500,,,#kingBearJelly,,MAX,0,1,NORMAL,1play,1,,G,0,100700
AFTER_PLAY,"[이 구역의 대식가]
왕곰젤리 10개 먹기",,1,10,,,#kingBearJelly,,MAX,0,1,NORMAL,1play,500,,C,0,100701
AFTER_PLAY,"[이 구역의 대식가]
왕곰젤리 30개 먹기",questIsRewarded(100701),1,30,,,#kingBearJelly,,MAX,0,1,NORMAL,1play,1000,,C,0,100702
AFTER_PLAY,"[이 구역의 대식가]
왕곰젤리 50개 먹기",questIsRewarded(100702),1,50,,,#kingBearJelly,,MAX,0,1,NORMAL,1play,1500,,C,0,100703
AFTER_PLAY,"[이 구역의 대식가]
왕곰젤리 70개 먹기",questIsRewarded(100703),1,70,,,#kingBearJelly,,MAX,0,1,NORMAL,1play,3000,,C,0,100704
AFTER_PLAY,"[이 구역의 대식가]
왕곰젤리 100개 먹기",questIsRewarded(100704),1,100,,,#kingBearJelly,,MAX,0,1,NORMAL,1play,3,213,S,0,100705
AFTER_PLAY,"[이 구역의 대식가]
왕곰젤리 150개 먹기",questIsRewarded(100705),1,150,,,#kingBearJelly,,MAX,0,1,NORMAL,1play,3000,,C,0,100706
AFTER_PLAY,"[이 구역의 대식가]
왕곰젤리 200개 먹기",questIsRewarded(100706),1,200,,,#kingBearJelly,,MAX,0,1,NORMAL,1play,3500,,C,0,100707
AFTER_PLAY,"[이 구역의 대식가]
왕곰젤리 300개 먹기",questIsRewarded(100707),1,300,,,#kingBearJelly,,MAX,0,1,NORMAL,1play,1,215,S,0,100708
AFTER_PLAY,"[이 구역의 대식가]
왕곰젤리 400개 먹기",questIsRewarded(100708),1,400,,,#kingBearJelly,,MAX,0,1,NORMAL,1play,4500,,C,0,100709
