comment,episode_seq,medal_count,min_percentage,min_ranking,min_score,rating_seq,type,_key
-,1,0,,,0,0,ABSOLUTE_SCORE,1
중수 4,1,64,,,"15,000,000",9,ABSOLUTE_SCORE,10
초인 5,3,107,1.5,,,25,RELATIVE,100
제왕 1,3,110,1,,,26,RELATIVE,101
제왕 2,3,114,0.8,,,27,RELATIVE,102
제왕 3,3,118,0.6,,,28,RELATIVE,103
제왕 4,3,122,0.4,,,29,RELATIVE,104
제왕 5,3,126,0.2,,,30,RELATIVE,105
전설 1,3,130,0.1,,,31,RELATIVE,106
전설 2,3,134,0.05,,,32,RELATIVE,107
전설 3,3,138,,200,,33,ABSOLUTE_RANKING,108
전설 4,3,142,,100,,34,ABSOLUTE_RANKING,109
중수 5,1,67,,,"20,000,000",10,ABSOLUTE_SCORE,11
전설 5,3,146,,50,,35,ABSOLUTE_RANKING,110
신,3,150,,12,,36,ABSOLUTE_RANKING,111
-,4,0,,,0,0,ABSOLUTE_SCORE,112
새싹 1,4,35,,,1,1,ABSOLUTE_SCORE,113
새싹 2,4,39,,,"5,000,000",2,ABSOLUTE_SCORE,114
새싹 3,4,43,,,"10,000,000",3,ABSOLUTE_SCORE,115
새싹 4,4,47,,,"15,000,000",4,ABSOLUTE_SCORE,116
새싹 5,4,51,,,"20,000,000",5,ABSOLUTE_SCORE,117
중수 1,4,55,,,"25,000,000",6,ABSOLUTE_SCORE,118
중수 2,4,58,,,"30,000,000",7,ABSOLUTE_SCORE,119
고수 1,1,70,,,"25,000,000",11,ABSOLUTE_SCORE,12
중수 3,4,61,,,"35,000,000",8,ABSOLUTE_SCORE,120
중수 4,4,64,,,"40,000,000",9,ABSOLUTE_SCORE,121
중수 5,4,67,,,"50,000,000",10,ABSOLUTE_SCORE,122
고수 1,4,70,,,"60,000,000",11,ABSOLUTE_SCORE,123
고수 2,4,72,,,"70,000,000",12,ABSOLUTE_SCORE,124
고수 3,4,74,,,"80,000,000",13,ABSOLUTE_SCORE,125
고수 4,4,76,,,"90,000,000",14,ABSOLUTE_SCORE,126
고수 5,4,77,,,"100,000,000",15,ABSOLUTE_SCORE,127
영웅 1,4,80,10,,,16,RELATIVE,128
영웅 2,4,83,9,,,17,RELATIVE,129
고수 2,1,72,,,"30,000,000",12,ABSOLUTE_SCORE,13
영웅 3,4,86,8,,,18,RELATIVE,130
영웅 4,4,89,7,,,19,RELATIVE,131
영웅 5,4,92,6,,,20,RELATIVE,132
초인 1,4,95,5,,,21,RELATIVE,133
초인 2,4,98,4,,,22,RELATIVE,134
초인 3,4,101,3,,,23,RELATIVE,135
초인 4,4,104,2,,,24,RELATIVE,136
초인 5,4,107,1.5,,,25,RELATIVE,137
제왕 1,4,110,1,,,26,RELATIVE,138
제왕 2,4,114,0.8,,,27,RELATIVE,139
고수 3,1,74,,,"35,000,000",13,ABSOLUTE_SCORE,14
제왕 3,4,118,0.6,,,28,RELATIVE,140
제왕 4,4,122,0.4,,,29,RELATIVE,141
제왕 5,4,126,0.2,,,30,RELATIVE,142
전설 1,4,130,0.1,,,31,RELATIVE,143
전설 2,4,134,0.05,,,32,RELATIVE,144
전설 3,4,138,,200,,33,ABSOLUTE_RANKING,145
전설 4,4,142,,100,,34,ABSOLUTE_RANKING,146
전설 5,4,146,,50,,35,ABSOLUTE_RANKING,147
신,4,150,,12,,36,ABSOLUTE_RANKING,148
-,5,0,,,0,0,ABSOLUTE_SCORE,149
고수 4,1,76,,,"40,000,000",14,ABSOLUTE_SCORE,15
새싹 1,5,35,,,1,1,ABSOLUTE_SCORE,150
새싹 2,5,39,,,"5,000,000",2,ABSOLUTE_SCORE,151
새싹 3,5,43,,,"10,000,000",3,ABSOLUTE_SCORE,152
새싹 4,5,47,,,"15,000,000",4,ABSOLUTE_SCORE,153
새싹 5,5,51,,,"20,000,000",5,ABSOLUTE_SCORE,154
중수 1,5,55,,,"25,000,000",6,ABSOLUTE_SCORE,155
중수 2,5,58,,,"30,000,000",7,ABSOLUTE_SCORE,156
중수 3,5,61,,,"35,000,000",8,ABSOLUTE_SCORE,157
중수 4,5,64,,,"40,000,000",9,ABSOLUTE_SCORE,158
중수 5,5,67,,,"50,000,000",10,ABSOLUTE_SCORE,159
고수 5,1,77,,,"45,000,000",15,ABSOLUTE_SCORE,16
고수 1,5,70,,,"60,000,000",11,ABSOLUTE_SCORE,160
고수 2,5,72,,,"70,000,000",12,ABSOLUTE_SCORE,161
고수 3,5,74,,,"80,000,000",13,ABSOLUTE_SCORE,162
고수 4,5,76,,,"90,000,000",14,ABSOLUTE_SCORE,163
고수 5,5,77,,,"100,000,000",15,ABSOLUTE_SCORE,164
영웅 1,5,80,10,,,16,RELATIVE,165
영웅 2,5,83,9,,,17,RELATIVE,166
영웅 3,5,86,8,,,18,RELATIVE,167
영웅 4,5,89,7,,,19,RELATIVE,168
영웅 5,5,92,6,,,20,RELATIVE,169
영웅 1,1,80,10,,,16,RELATIVE,17
초인 1,5,95,5,,,21,RELATIVE,170
초인 2,5,98,4,,,22,RELATIVE,171
초인 3,5,101,3,,,23,RELATIVE,172
초인 4,5,104,2,,,24,RELATIVE,173
초인 5,5,107,1.5,,,25,RELATIVE,174
제왕 1,5,110,1,,,26,RELATIVE,175
제왕 2,5,114,0.8,,,27,RELATIVE,176
제왕 3,5,118,0.6,,,28,RELATIVE,177
제왕 4,5,122,0.4,,,29,RELATIVE,178
제왕 5,5,126,0.2,,,30,RELATIVE,179
영웅 2,1,83,9,,,17,RELATIVE,18
전설 1,5,130,0.1,,,31,RELATIVE,180
전설 2,5,134,0.05,,,32,RELATIVE,181
전설 3,5,138,,200,,33,ABSOLUTE_RANKING,182
전설 4,5,142,,100,,34,ABSOLUTE_RANKING,183
전설 5,5,146,,50,,35,ABSOLUTE_RANKING,184
신,5,150,,12,,36,ABSOLUTE_RANKING,185
영웅 3,1,86,8,,,18,RELATIVE,19
