break_qty,shard_group,tag,_key
0,MS_00,1,1
0,MS_00,10,10
24,MS_09,10,100
5,MS_10,1,101
5,MS_10,2,102
6,MS_10,3,103
6,MS_10,4,104
7,MS_10,5,105
7,MS_10,6,106
8,MS_10,7,107
8,MS_10,8,108
9,MS_10,9,109
91,MS_01,1,11
9,MS_10,10,110
0,MSX_00,1,111
0,MSX_00,2,112
0,MSX_00,3,113
0,MSX_00,4,114
0,MSX_00,5,115
0,MSX_00,6,116
0,MSX_00,7,117
0,MSX_00,8,118
0,MSX_00,9,119
92,MS_01,2,12
0,MSX_00,10,120
137,MSX_01,1,121
138,MSX_01,2,122
140,MSX_01,3,123
141,MSX_01,4,124
143,MSX_01,5,125
144,MSX_01,6,126
146,MSX_01,7,127
147,MSX_01,8,128
149,MSX_01,9,129
93,MS_01,3,13
150,MSX_01,10,130
119,MSX_02,1,131
120,MSX_02,2,132
122,MSX_02,3,133
123,MSX_02,4,134
125,MSX_02,5,135
126,MSX_02,6,136
128,MSX_02,7,137
129,MSX_02,8,138
131,MSX_02,9,139
94,MS_01,4,14
132,MSX_02,10,140
101,MSX_03,1,141
102,MSX_03,2,142
104,MSX_03,3,143
105,MSX_03,4,144
107,MSX_03,5,145
108,MSX_03,6,146
110,MSX_03,7,147
111,MSX_03,8,148
113,MSX_03,9,149
95,MS_01,5,15
114,MSX_03,10,150
98,MSX_04,1,151
99,MSX_04,2,152
101,MSX_04,3,153
102,MSX_04,4,154
104,MSX_04,5,155
105,MSX_04,6,156
107,MSX_04,7,157
108,MSX_04,8,158
110,MSX_04,9,159
96,MS_01,6,16
111,MSX_04,10,160
81,MSX_05,1,161
83,MSX_05,2,162
84,MSX_05,3,163
86,MSX_05,4,164
87,MSX_05,5,165
89,MSX_05,6,166
90,MSX_05,7,167
92,MSX_05,8,168
93,MSX_05,9,169
97,MS_01,7,17
95,MSX_05,10,170
72,MSX_06,1,171
72,MSX_06,2,172
74,MSX_06,3,173
74,MSX_06,4,174
75,MSX_06,5,175
75,MSX_06,6,176
77,MSX_06,7,177
77,MSX_06,8,178
78,MSX_06,9,179
98,MS_01,8,18
78,MSX_06,10,180
60,MSX_07,1,181
60,MSX_07,2,182
62,MSX_07,3,183
62,MSX_07,4,184
63,MSX_07,5,185
63,MSX_07,6,186
65,MSX_07,7,187
65,MSX_07,8,188
66,MSX_07,9,189
99,MS_01,9,19
66,MSX_07,10,190
38,MSX_08,1,191
38,MSX_08,2,192
39,MSX_08,3,193
39,MSX_08,4,194
41,MSX_08,5,195
41,MSX_08,6,196
42,MSX_08,7,197
42,MSX_08,8,198
44,MSX_08,9,199
0,MS_00,2,2
100,MS_01,10,20
44,MSX_08,10,200
30,MSX_09,1,201
30,MSX_09,2,202
32,MSX_09,3,203
32,MSX_09,4,204
33,MSX_09,5,205
33,MSX_09,6,206
35,MSX_09,7,207
35,MSX_09,8,208
36,MSX_09,9,209
79,MS_02,1,21
36,MSX_09,10,210
8,MSX_10,1,211
8,MSX_10,2,212
9,MSX_10,3,213
9,MSX_10,4,214
11,MSX_10,5,215
11,MSX_10,6,216
12,MSX_10,7,217
12,MSX_10,8,218
14,MSX_10,9,219
80,MS_02,2,22
14,MSX_10,10,220
81,MS_02,3,23
82,MS_02,4,24
83,MS_02,5,25
84,MS_02,6,26
85,MS_02,7,27
86,MS_02,8,28
87,MS_02,9,29
0,MS_00,3,3
88,MS_02,10,30
67,MS_03,1,31
68,MS_03,2,32
69,MS_03,3,33
70,MS_03,4,34
71,MS_03,5,35
72,MS_03,6,36
73,MS_03,7,37
74,MS_03,8,38
75,MS_03,9,39
0,MS_00,4,4
76,MS_03,10,40
65,MS_04,1,41
66,MS_04,2,42
67,MS_04,3,43
68,MS_04,4,44
69,MS_04,5,45
70,MS_04,6,46
71,MS_04,7,47
72,MS_04,8,48
73,MS_04,9,49
0,MS_00,5,5
74,MS_04,10,50
54,MS_05,1,51
55,MS_05,2,52
56,MS_05,3,53
57,MS_05,4,54
58,MS_05,5,55
59,MS_05,6,56
60,MS_05,7,57
61,MS_05,8,58
62,MS_05,9,59
0,MS_00,6,6
63,MS_05,10,60
48,MS_06,1,61
48,MS_06,2,62
49,MS_06,3,63
49,MS_06,4,64
50,MS_06,5,65
50,MS_06,6,66
51,MS_06,7,67
51,MS_06,8,68
52,MS_06,9,69
0,MS_00,7,7
52,MS_06,10,70
40,MS_07,1,71
40,MS_07,2,72
41,MS_07,3,73
41,MS_07,4,74
42,MS_07,5,75
42,MS_07,6,76
43,MS_07,7,77
43,MS_07,8,78
44,MS_07,9,79
0,MS_00,8,8
44,MS_07,10,80
25,MS_08,1,81
25,MS_08,2,82
26,MS_08,3,83
26,MS_08,4,84
27,MS_08,5,85
27,MS_08,6,86
28,MS_08,7,87
28,MS_08,8,88
29,MS_08,9,89
0,MS_00,9,9
29,MS_08,10,90
20,MS_09,1,91
20,MS_09,2,92
21,MS_09,3,93
21,MS_09,4,94
22,MS_09,5,95
22,MS_09,6,96
23,MS_09,7,97
23,MS_09,8,98
24,MS_09,9,99
