base_value,mapped_value,stuff_id,value_type,_key
ch49_effect,"ch49_skin01_effect,ch49_skin01_effect1_aniinfo.plist,ch49_skin01_effect2_aniinfo.plist,ch49_skin01_effect3_aniinfo.plist",1800003,6,1
4382,4382_ch75_skin01,1800006,5,10
4383,4383_ch75_skin01,1800006,5,11
4384,4384_ch75_skin01,1800006,5,12
4385,4385_ch75_skin01,1800006,5,13
4382,4382_ch75_skin02,1800007,5,14
4383,4383_ch75_skin02,1800007,5,15
4384,4384_ch75_skin02,1800007,5,16
4385,4385_ch75_skin02,1800007,5,17
ch40_effect_2,"effect_2_ch40_skin01,ch40_skin01_effect1_aniinfo.plist,ch40_skin01_effect2_aniinfo.plist,ch40_skin01_effect3_aniinfo.plist,ch40_skin01_effect4_aniinfo.plist,ch40_skin01_effect5_aniinfo.plist",1800009,6,18
ch40_effect1,ch40_skin01_effect1,1800009,3,19
ch49_effect1,ch49_skin01_effect1,1800003,3,2
ch40_effect2,ch40_skin01_effect2,1800009,3,20
ch40_effect3,ch40_skin01_effect3,1800009,3,21
ch40_effect4,ch40_skin01_effect4,1800009,3,22
ch40_effect5,ch40_skin01_effect5,1800009,3,23
4253,4253_ch40_skin01,1800009,5,24
4254,4254_ch40_skin01,1800009,5,25
4255,4255_ch40_skin01,1800009,5,26
ch81_effect,"ch81_skin01_effect,ch81_skin01_effect_aniinfo.plist",1800010,6,27
ch81_effect_ghost,"ch81_skin01_effect,ch81_skin01_effect_aniinfo.plist",1800010,6,28
26,29,1800010,2,29
ch49_effect2,ch49_skin01_effect2,1800003,3,3
ch81_effect,ch81_skin01_effect,1800010,3,30
ch81_effect04_gauge0.png,ch81_skin01_effect04_gauge0.png,1800010,4,31
ch81_effect04_gauge1.png,ch81_skin01_effect04_gauge1.png,1800010,4,32
4406,4406_ch81_skin01,1800010,5,33
4407,4407_ch81_skin01,1800010,5,34
4408,4408_ch81_skin01,1800010,5,35
ch82_effect,"ch82_skin01_effect,ch82_skin01_effect_aniinfo.plist",1800011,6,36
27,30,1800011,2,37
ch82_effect,ch82_skin01_effect,1800011,3,38
ch85_effect,"ch85_skin01_effect03,ch85_skin01_effect03_aniinfo.plist",1800012,6,39
ch49_effect3,ch49_skin01_effect3,1800003,3,4
ch85_effect_back,"ch85_skin01_effect02,ch85_skin01_effect02_aniinfo.plist",1800012,6,40
ch85_effect_ship,"ch85_skin01_effect01,ch85_skin01_effect01_aniinfo.plist",1800012,6,41
ch85_effect_front,"ch85_skin01_effect02,ch85_skin01_effect02_aniinfo.plist",1800012,6,42
ch85_effect_jellycho,"ch85_skin01_effect03,ch85_skin01_effect03_aniinfo.plist",1800012,6,43
ch85_effect03,ch85_skin01_effect03,1800012,3,44
ch85_effect02,ch85_skin01_effect02,1800012,3,45
ch85_effect01,ch85_skin01_effect01,1800012,3,46
4418,4418_ch85_skin01,1800012,5,47
ch65_effect,"ch65_skin01_effect,ch65_skin01_effect_aniinfo.plist",1800004,6,5
ch65_effect,ch65_skin01_effect,1800004,3,6
ch70_effect,"ch70_skin01_effect,ch70_skin01_effect_aniinfo.plist",1800005,6,7
ch70_effect,ch70_skin01_effect,1800005,3,8
4366,4366_ch70_skin01,1800005,5,9
