reward_message,reward_qty,reward_seq,reward_type,staff_event_seq,win_count,_key
"Beat 3 Devsquirrels
2 Crystals",2,,G,1,3,1
"Beat 10 Devsquirrels
30,000 Coins",30000,,C,1,10,10
"Beat 32 Devsquirrels
2 Supreme Treasure Tickets",2,853,S,2,32,100
"Beat 35 Devsquirrels
28 Crystals",28,,G,2,35,101
"Beat 35 Devsquirrels
50,000 Coins",50000,,C,2,35,102
"Beat 35 Devsquirrels
4,000 units Magic Powder",4000,,P,2,35,103
"Beat 35 Devsquirrels
3 Supreme Treasure Tickets",3,853,S,2,35,104
"Beat 37 Devsquirrels
32 Crystals",32,,G,2,37,105
"Beat 37 Devsquirrels
50,000 Coins",50000,,C,2,37,106
"Beat 37 Devsquirrels
1 Rainbow Dough",1,80004,S,2,37,107
"Beat 37 Devsquirrels
3 Supreme Treasure Tickets",3,853,S,2,37,108
"Beat 40 Devsquirrels
40 Crystals",40,,G,2,40,109
"Beat 10 Devsquirrels
7 Boost Sets",7,2207,S,1,10,11
"Beat 40 Devsquirrels
50,000 Coins",50000,,C,2,40,110
"Beat 40 Devsquirrels
2 Rainbow Doughs",2,80004,S,2,40,111
"Beat 40 Devsquirrels
5 Supreme Treasure Tickets",5,853,S,2,40,112
"Beat 3 Devsquirrels
2 Crystals",2,,G,3,3,113
"Beat 3 Devsquirrels
10,000 Coins",10000,,C,3,3,114
"Beat 3 Devsquirrels
3 Boost Sets",3,2203,S,3,3,115
"Beat 3 Devsquirrels
1 Brown Dough",1,80001,S,3,3,116
"Beat 6 Devsquirrels
2 Crystals",2,,G,3,6,117
"Beat 6 Devsquirrels
20,000 Coins",20000,,C,3,6,118
"Beat 6 Devsquirrels
5 Boost Sets",5,2205,S,3,6,119
"Beat 10 Devsquirrels
3 Brown Doughs",3,80001,S,1,10,12
"Beat 6 Devsquirrels
2 Brown Doughs",2,80001,S,3,6,120
"Beat 10 Devsquirrels
6 Crystals",6,,G,3,10,121
"Beat 10 Devsquirrels
30,000 Coins",30000,,C,3,10,122
"Beat 10 Devsquirrels
7 Boost Sets",7,2207,S,3,10,123
"Beat 10 Devsquirrels
3 Brown Doughs",3,80001,S,3,10,124
"Beat 14 Devsquirrels
8 Crystals",8,,G,3,14,125
"Beat 14 Devsquirrels
40,000 Coins",40000,,C,3,14,126
"Beat 14 Devsquirrels
10 Boost Sets",10,2210,S,3,14,127
"Beat 14 Devsquirrels
2 Silver Doughs",2,80002,S,3,14,128
"Beat 16 Devsquirrels
10 Crystals",10,,G,3,16,129
"Beat 14 Devsquirrels
8 Crystals",8,,G,1,14,13
"Beat 16 Devsquirrels
50,000 Coins",50000,,C,3,16,130
"Beat 16 Devsquirrels
10 Boost Sets",10,2210,S,3,16,131
"Beat 16 Devsquirrels
3 Silver Doughs",3,80002,S,3,16,132
"Beat 20 Devsquirrels
12 Crystals",12,,G,3,20,133
"Beat 20 Devsquirrels
50,000 Coins",50000,,C,3,20,134
"Beat 20 Devsquirrels
10 Boost Sets",10,2210,S,3,20,135
"Beat 20 Devsquirrels
1 Supreme Treasure Ticket",1,853,S,3,20,136
"Beat 22 Devsquirrels
14 Crystals",14,,G,3,22,137
"Beat 22 Devsquirrels
50,000 Coins",50000,,C,3,22,138
"Beat 22 Devsquirrels
1 Golden Dough",1,80003,S,3,22,139
"Beat 14 Devsquirrels
40,000 Coins",40000,,C,1,14,14
"Beat 22 Devsquirrels
1 Supreme Treasure Ticket",1,853,S,3,22,140
"Beat 25 Devsquirrels
16 Crystals",16,,G,3,25,141
"Beat 25 Devsquirrels
50,000 Coins",50000,,C,3,25,142
