AllwaysLoaded,Bg1_Loop,Bg1_MoveRate,Bg2_Loop,Bg2_MoveRate,Bg3_Loop,Bg3_MoveRate,Bg4_Loop,Bg4_MoveRate,NextThemeId,ResourceKeyString,SnowEffectTexture,SnowOffsetY,SnowSize,SnowSpeedY,SnowTotalParticles,SoundKeyString,ThemeName,ThemeTime,ThemeType,_key
0,1,0.1,1,0.3,1,0.6,1,1,4,tm01,,,,,,,1,30,NormalStart,1
0,1,0.1,1,0.3,1,0.5,1,0.5,6,tm13,,,,,,,10,50,Normal,10
0,1,0.03,1,0.06,1,0.1,1,1,6,tm09,,,,,,,11,100,Normal,11
0,1,0.3,1,0.6,1,0.6,1,0,4,tm10,,,,,,,12,30,Normal,12
0,1,0.1,1,0.3,1,0.6,1,1,4,tm11,xmas_particle2.png,,,,,,13,30,Normal,13
0,1,0.1,1,0.3,1,0,1,0,2,tm02,,,,,,,2,30,Normal,2
0,1,0.1,1,0.2,1,0.4,1,0.6,2,tm03,xmas_particle2.png,,,,,,3,30,Normal,3
0,1,0.1,1,0.3,1,1,1,1,3,tm04,xmas_particle2.png,,,,,,4,30,Normal,4
0,1,0.1,1,0.4,1,0.8,1,0.8,4,tm05,,,,,,,5,30,Normal,5
0,1,0.1,1,0.3,1,0.6,1,1,4,tm12,xmas_particle2.png,,,,,,6,30,Normal,6
0,1,0.1,1,0.2,1,0.5,1,0.8,4,tm06,,,,,,,7,30,Normal,7
0,0,0.005,1,0.05,1,0.2,1,0.15,5,tm07,,,,,,,8,30,Normal,8
1,1,0.1,1,0.6,1,0.5,1,0,0,tm81,,,,,,SoundBgm_FeverModeBgm,Bonus_Day,9999,Bonus1,81
1,1,0.1,1,0.3,1,0.5,1,0,0,tm82,,,,,,SoundBgm_FeverModeBgm2,Bonus_Night,9999,Bonus2,82
1,1,0.1,1,0.3,1,0.5,1,0,0,tm83,,,,,,SoundBgm_FeverModeBgm3,Bonus_Crazy,9999,Bonus3,83
1,1,0.1,1,0.6,1,0.5,1,0,0,tm81_ch36,,,,,,SoundBgm_FeverModeBgm,Bonus_Day,9999,Bonus1,84
1,1,0.1,1,0.3,1,0.5,1,0,0,tm82_ch36,,,,,,SoundBgm_FeverModeBgm2,Bonus_Night,9999,Bonus2,85
1,1,0.1,1,0.3,1,0.5,1,0,0,tm83_ch36,,,,,,SoundBgm_FeverModeBgm3,Bonus_Crazy,9999,Bonus3,86
0,1,0.1,1,0.3,1,0.6,1,1,4,tm08,xmas_particle2.png,,,,,,9,30,Normal,9
