group_seq,level,treasure_seq,_key
100100,8,1100101,1
101000,8,1101001,10
200900,8,1200901,100
201000,8,1201001,101
201100,8,1201101,102
201200,8,1201201,103
201300,8,1201301,104
201400,8,1201401,105
201500,8,1201501,106
201600,8,1201601,107
201700,8,1201701,108
201800,8,1201801,109
101100,8,1101101,11
201900,8,1201901,110
202000,8,1202001,111
202100,8,1202101,112
202300,8,1202301,113
202400,8,1202401,114
202600,8,1202601,115
202700,8,1202701,116
202800,8,1202801,117
202900,8,1202901,118
203000,8,1203001,119
101200,8,1101201,12
203100,8,1203101,120
203200,8,1203201,121
203300,8,1203301,122
203400,8,1203401,123
203500,8,1203501,124
203600,8,1203601,125
203700,8,1203701,126
203800,8,1203801,127
203900,8,1203901,128
204000,8,1204001,129
101300,8,1101301,13
204100,8,1204101,130
204200,8,1204201,131
204300,8,1204301,132
204400,8,1204401,133
204500,8,1204501,134
204600,8,1204601,135
204700,8,1204701,136
204800,8,1204801,137
204900,8,1204901,138
205000,8,1205001,139
101400,8,1101401,14
205100,8,1205101,140
205200,8,1205201,141
205300,8,1205301,142
205400,8,1205401,143
205600,8,1205601,144
205700,8,1205701,145
205800,8,1205801,146
205900,8,1205901,147
206000,8,1206001,148
206100,8,1206101,149
101500,8,1101501,15
206200,8,1206201,150
206300,8,1206301,151
206400,8,1206401,152
206500,8,1206501,153
206600,8,1206601,154
206700,8,1206701,155
206800,8,1206801,156
206900,8,1206901,157
207000,8,1207001,158
207100,8,1207101,159
101600,8,1101601,16
207200,8,1207201,160
207300,8,1207301,161
207400,8,1207401,162
207500,8,1207501,163
207600,8,1207601,164
207700,8,1207701,165
207800,8,1207801,166
207900,8,1207901,167
208000,8,1208001,168
208100,8,1208101,169
101800,8,1101801,17
208200,8,1208201,170
208300,8,1208301,171
208400,8,1208401,172
208500,8,1208501,173
208700,8,1208701,174
208900,8,1208901,175
209000,8,1209001,176
209100,8,1209101,177
209200,8,1209201,178
209300,8,1209301,179
101900,8,1101901,18
209400,8,1209401,180
209500,8,1209501,181
209600,8,1209601,182
209700,8,1209701,183
209800,8,1209801,184
209900,8,1209901,185
210000,8,1210001,186
210100,8,1210101,187
210200,8,1210201,188
210300,8,1210301,189
102000,8,1102001,19
210400,8,1210401,190
290100,8,1290101,191
290200,8,1290201,192
100200,8,1100201,2
102100,8,1102101,20
102200,8,1102201,21
102300,8,1102301,22
102400,8,1102401,23
102500,8,1102501,24
102600,8,1102601,25
102700,8,1102701,26
102800,8,1102801,27
102900,8,1102901,28
103000,8,1103001,29
100300,8,1100301,3
103100,8,1103101,30
103200,8,1103201,31
103300,8,1103301,32
103400,8,1103401,33
103500,8,1103501,34
103600,8,1103601,35
103700,8,1103701,36
103800,8,1103801,37
103900,8,1103901,38
104000,8,1104001,39
100400,8,1100401,4
104100,8,1104101,40
104200,8,1104201,41
104300,8,1104301,42
104400,8,1104401,43
104500,8,1104501,44
104600,8,1104601,45
104700,8,1104701,46
104800,8,1104801,47
104900,8,1104901,48
105000,8,1105001,49
100500,8,1100501,5
105100,8,1105101,50
105200,8,1105201,51
105300,8,1105301,52
105400,8,1105401,53
105500,8,1105501,54
105600,8,1105601,55
105700,8,1105701,56
105800,8,1105801,57
105900,8,1105901,58
106000,8,1106001,59
100600,8,1100601,6
106100,8,1106101,60
106200,8,1106201,61
106300,8,1106301,62
106400,8,1106401,63
106500,8,1106501,64
106600,8,1106601,65
106700,8,1106701,66
106800,8,1106801,67
106900,8,1106901,68
107000,8,1107001,69
100700,8,1100701,7
107100,8,1107101,70
107200,8,1108101,71
107300,8,1107301,72
107400,8,1107401,73
107500,8,1107501,74
107700,8,1107701,75
107800,8,1107801,76
107900,8,1107901,77
108000,8,1108001,78
108100,8,1107201,79
100800,8,1100801,8
108200,8,1108201,80
108300,8,1108301,81
108400,8,1108401,82
108500,8,1108501,83
108600,8,1108601,84
108700,8,1108701,85
108800,8,1108801,86
108900,8,1108901,87
109000,8,1109001,88
109100,8,1109101,89
100900,8,1100901,9
109200,8,1109201,90
109300,8,1109301,91
200100,8,1200101,92
200200,8,1200201,93
200300,8,1200301,94
200400,8,1200401,95
200500,8,1200501,96
200600,8,1200601,97
200700,8,1200701,98
200800,8,1200801,99
