effect_type,ignore_sync,node_type,plist_file_name_list,resource_usage_tester,texture_name_list,z_order,z_order_offset,_key
GAME,0,CCSpriteBatchNode,ch18_effect1_aniinfo.plist,ch18_effect,effect_2_ch18,JELLY,1,ch18_effect
HUD,0,CCSpriteBatchNode,"ch19_effect1_aniinfo.plist,ch19_effect2_aniinfo.plist",ch19_effect,effect_2_ch19,BOTTOM,0,ch19_effect_hud
GAME,0,CCSpriteBatchNode,ch20_effect1_aniinfo.plist,ch20_effect,ch20_effect1,JELLY,1,ch20_effect
GAME,0,CCSpriteBatchNode,"ch22_effect1_aniinfo.plist,ch22_effect2_aniinfo.plist",ch22_effect,ch22_effect,COOKIE,1,ch22_effect
GAME,0,CCSpriteBatchNode,ch23_jelly_ef_aniinfo.plist,ch23_effect,effect_3_pet24,JELLY,1,ch23_effect
HUD,0,CCSpriteBatchNode,"ch19_effect1_aniinfo.plist,ch23_effect1_aniinfo.plist",ch23_effect,effect_2_ch19,BOTTOM,0,ch23_effect_hud
HUD,0,CCSpriteBatchNode,effect_2_ch19_fox_aniinfo.plist,ch24_effect,effect_2_ch19,BOTTOM,0,ch24_effect_hud
GAME,0,CCSpriteBatchNode,"ch25_effect4_aniinfo.plist,ch25_effect5_aniinfo.plist,ch25_effect6_aniinfo.plist,ch25_effect7_aniinfo.plist,ch25_effect8_aniinfo.plist,ch28_effect1_aniinfo.plist,pet36_effect1_aniinfo.plist,pet36_effect2_aniinfo.plist",ch25_effect,effect_ch25,ORDINARY_EFFECT,0,ch25_effect
GAME,0,CCSpriteBatchNode,"ch26_effect1_aniinfo.plist,ch26_effect2_aniinfo.plist,ch26_effect3_aniinfo.plist",ch26_effect,effect_ch26,ORDINARY_EFFECT,0,ch26_effect
GAME,0,CCSpriteBatchNode,"ch29_effect_11_aniinfo.plist,ch29_effect_12_aniinfo.plist,ch29_effect_13_aniinfo.plist,ch29_effect_21_aniinfo.plist,ch29_effect_22_aniinfo.plist,ch29_effect_23_aniinfo.plist,ch29_effect_32_aniinfo.plist,ch29_effect_33_aniinfo.plist",ch29_effect,ch29_effect,JELLY,1,ch29_effect
HUD,0,CCSpriteBatchNode,ch29_effect31_aniinfo.plist,ch29_effect,effect_2_ch19,BOTTOM,0,ch29_effect_hud
GAME,0,CCSpriteBatchNode,"ch30_effect_aniinfo.plist,ch30_effect_1_aniinfo.plist,ch30_effect_2_aniinfo.plist,ch30_effect_3_aniinfo.plist,ch30_effect_4_aniinfo.plist,ch30_effect_6_aniinfo.plist",ch30_effect,ch30_effect,PLATFORM,1,ch30_effect
GAME,0,CCSpriteBatchNode,"ch30_effect_3_aniinfo.plist,ch30_effect_4_aniinfo.plist",ch30_effect,ch30_effect,COOKIE,1,ch30_effect_between
HUD,0,CCSpriteBatchNode,ch30_effect_5_aniinfo.plist,ch30_effect,effect_2_ch19,BOTTOM,0,ch30_effect_hud
GAME,0,CCSpriteBatchNode,"ch31_effect1_aniinfo.plist,ch31_effect2_aniinfo.plist",ch31_effect,effect_3_pet24,JELLY,1,ch31_effect
GAME,1,CCSpriteBatchNode,"ch33_effect1_aniinfo.plist,pet42_effect1_aniinfo.plist",ch33_effect,effect,JELLY,1,ch33_effect
HUD,0,CCSpriteBatchNode,"ch33_effect2_aniinfo.plist,ch33_effect3_aniinfo.plist,ch33_effect4_aniinfo.plist",ch33_effect,effect_2_ch19,BOTTOM,0,ch33_effect_hud
GAME,0,CCSpriteBatchNode,"ch34_effect2_aniinfo.plist,ch34_effect3_aniinfo.plist,ch34_effect4_aniinfo.plist,ch34_effect5_aniinfo.plist",ch34_effect,effect_2_ch34,ORDINARY_EFFECT,0,ch34_effect
HUD,0,CCSpriteBatchNode,,ch34_effect,effect_2_ch19,BOTTOM,0,ch34_effect_hud
GAME,1,CCSpriteBatchNode,ch35_effect2_aniinfo.plist,ch35_effect,tme,PLATFORM,1,ch35_effect
GAME,0,CCSpriteBatchNode,ch35_effect1_aniinfo.plist,ch35_effect,effect_3_pet24,JELLY,1,ch35_effect_under
GAME,0,CCSpriteBatchNode,ch39_effect_aniinfo.plist,ch39_effect,ch39_effect,BOTTOM,0,ch39_effect
GAME,0,CCSpriteBatchNode,"ch40_effect1_aniinfo.plist,ch40_effect2_aniinfo.plist,ch40_effect3_aniinfo.plist,ch40_effect4_aniinfo.plist,ch40_effect5_aniinfo.plist",ch40_effect,effect_2_ch40,JELLY,1,ch40_effect_2
GAME,0,CCSpriteBatchNode,"ch42_effect1_aniinfo.plist,ch42_effect2_aniinfo.plist,ch42_effect3_aniinfo.plist,ch42_effect4_aniinfo.plist,ch42_effect5_aniinfo.plist,ch42_effect6_aniinfo.plist",ch42_effect,ch42_effect,ORDINARY_EFFECT,0,ch42_effect
GAME,0,CCSpriteBatchNode,"ch43_back_effect_aniinfo.plist,ch43_jelly_effect_aniinfo.plist",ch43_effect,ch43_effect,JELLY,3,ch43_effect_back
GAME,0,CCSpriteBatchNode,ch43_front_effect_aniinfo.plist,ch43_effect,ch43_front_effect,ORDINARY_EFFECT,0,ch43_effect_front
GAME,0,CCSpriteBatchNode,ch44_effect_aniinfo.plist,ch44_effect,ch44_effect,ORDINARY_EFFECT,0,ch44_effect
GAME,0,CCSpriteBatchNode,ch46_effect_aniinfo.plist,ch46_effect,ch46_effect,JELLY,3,ch46_effect
GAME,0,CCSpriteBatchNode,"ch49_effect1_aniinfo.plist,ch49_effect2_aniinfo.plist,ch49_effect3_aniinfo.plist",ch49_effect,ch49_effect,ORDINARY_EFFECT,0,ch49_effect
GAME,0,CCSpriteBatchNode,"ch50_effect01_aniinfo.plist,ch50_effect02_aniinfo.plist,ch50_effect03_aniinfo.plist",ch50_effect,ch50_effect,JELLY,4,ch50_effect
GAME,0,CCSpriteBatchNode,ch51_effect_aniinfo.plist,ch51_effect,ch51_effect,JELLY,4,ch51_effect
GAME,0,CCSpriteBatchNode,"ch52_effect_aniinfo.plist,ch52_effect_aura_aniinfo.plist,ch52_effect_shield_aniinfo.plist,ch52_effect_shield_fever_aniinfo.plist",ch52_effect,ch52_effect,ORDINARY_EFFECT,0,ch52_effect
GAME,0,CCSpriteBatchNode,ch52_effect_under_aniinfo.plist,ch52_effect,ch52_effect_under,PLATFORM,1,ch52_effect_under
GAME,0,CCSpriteBatchNode,ch53_effect_aniinfo.plist,ch53_effect,ch53_effect,ORDINARY_EFFECT,0,ch53_effect
GAME,0,CCSpriteBatchNode,ch54_effect_aniinfo.plist,ch54_effect,ch54_effect,ORDINARY_EFFECT,0,ch54_effect
GAME,0,CCSpriteBatchNode,ch55_effect_aniinfo.plist,ch55_effect,ch55_effect,JELLY,4,ch55_effect_back
GAME,0,CCSpriteBatchNode,ch55_effect_aniinfo.plist,ch55_effect,ch55_effect,ORDINARY_EFFECT,0,ch55_effect_front
GAME,0,CCSpriteBatchNode,ch55_effect_whale_aniinfo.plist,ch55_effect,ch55_effect_whale,JELLY,5,ch55_effect_whale
GAME,0,CCSpriteBatchNode,ch57_effect_aniinfo.plist,ch57_effect,ch57_effect,JELLY,5,ch57_effect
GAME,0,CCSpriteBatchNode,ch59_effect_aniinfo.plist,ch59_effect,ch59_effect,ORDINARY_EFFECT,0,ch59_effect
GAME,0,CCSpriteBatchNode,ch60_effect_aniinfo.plist,ch60_effect,ch60_effect,ORDINARY_EFFECT,0,ch60_effect
GAME,0,CCSpriteBatchNode,ch61_effect_aniinfo.plist,ch61_effect,ch61_effect,ORDINARY_EFFECT,0,ch61_effect
GAME,0,CCSpriteBatchNode,ch18_effect1_aniinfo.plist,ch61_effect,effect_2_ch18,JELLY,1,ch61_effect_platform
GAME,0,CCSpriteBatchNode,ch62_effect_aniinfo.plist,ch62_effect,ch62_effect,ORDINARY_EFFECT,0,ch62_effect
GAME,0,CCSpriteBatchNode,ch63_effect1_aniinfo.plist,ch63_effect,ch63_effect1,ORDINARY_EFFECT,0,ch63_effect
GAME,0,CCSpriteBatchNode,ch63_effect2_aniinfo.plist,ch63_effect,ch63_effect2,ORDINARY_EFFECT,0,ch63_effect_gauge
GAME,0,CCSpriteBatchNode,ch65_effect_aniinfo.plist,ch65_effect,ch65_effect,ORDINARY_EFFECT,0,ch65_effect
GAME,0,CCSpriteBatchNode,ch66_effect_aniinfo.plist,ch66_effect,ch66_effect,COOKIE,-1,ch66_effect
GAME,0,CCSpriteBatchNode,ch66_effect_aniinfo.plist,ch66_effect,ch66_effect,TOP_MOST,0,ch66_effect_front
GAME,0,CCSpriteBatchNode,ch66_jelly_aniinfo.plist,ch66_effect,ch66_jelly,TOP_MOST,0,ch66_jelly_effect
GAME,0,CCSpriteBatchNode,ch67_effect_aniinfo.plist,ch67_effect,ch67_effect,ORDINARY_EFFECT,0,ch67_effect
GAME,0,CCSpriteBatchNode,ch68_effect_aniinfo.plist,ch68_effect,ch68_effect,ORDINARY_EFFECT,0,ch68_effect
GAME,0,CCSpriteBatchNode,ch68_effect_back_aniinfo.plist,ch68_effect,ch68_effect_back,COOKIE,-1,ch68_effect_back
GAME,0,CCSpriteBatchNode,ch69_effect_aniinfo.plist,ch69_effect,ch69_effect,ORDINARY_EFFECT,0,ch69_effect
GAME,0,CCSpriteBatchNode,ch70_effect_aniinfo.plist,ch70_effect,ch70_effect,ORDINARY_EFFECT,0,ch70_effect
GAME,0,CCSpriteBatchNode,ch70_effect_aniinfo.plist,ch70_effect,ch70_effect,PLATFORM,1,ch70_effect_under
GAME,0,CCSpriteBatchNode,ch73_effect_aniinfo.plist,ch73_effect,ch73_effect,JELLY,-3,ch73_effect_bottom
GAME,0,CCSpriteBatchNode,ch73_effect_aniinfo.plist,ch73_effect,ch73_effect,JELLY,4,ch73_effect_ch_round
GAME,0,CCSpriteBatchNode,ch73_effect_aniinfo.plist,ch73_effect,ch73_effect,JELLY,5,ch73_effect_flower
GAME,0,CCSpriteBatchNode,ch73_effect_aniinfo.plist,ch73_effect,ch73_effect,JELLY,-1,ch73_effect_middle
GAME,0,CCSpriteBatchNode,ch74_effect_aniinfo.plist,ch74_effect,ch74_effect,COOKIE,1,ch74_effect
GAME,0,CCSpriteBatchNode,ch74_effect_aniinfo.plist,ch74_effect,ch74_effect,COOKIE,-1,ch74_effect_back
GAME,0,CCSpriteBatchNode,"ch75_effect1_aniinfo.plist,ch75_effect2_aniinfo.plist,ch75_effect3_aniinfo.plist,ch75_effect4_aniinfo.plist,ch75_effect5_aniinfo.plist,ch75_effect6_aniinfo.plist,ch75_effect7_aniinfo.plist,ch75_effect8_aniinfo.plist,ch75_effect9_aniinfo.plist,ch75_effect10_aniinfo.plist,ch75_effect11_aniinfo.plist,ch75_effect12_aniinfo.plist,ch75_effect13_aniinfo.plist,ch75_effect14_aniinfo.plist,ch75_effect15_aniinfo.plist,ch75_effect16_aniinfo.plist",ch75_effect,ch75_effect,JELLY,0,ch75_effect
GAME,0,CCSpriteBatchNode,"ch75_effect1_aniinfo.plist,ch75_effect2_aniinfo.plist,ch75_effect3_aniinfo.plist,ch75_effect4_aniinfo.plist,ch75_effect5_aniinfo.plist,ch75_effect6_aniinfo.plist,ch75_effect7_aniinfo.plist,ch75_effect8_aniinfo.plist,ch75_effect9_aniinfo.plist,ch75_effect10_aniinfo.plist,ch75_effect11_aniinfo.plist,ch75_effect12_aniinfo.plist,ch75_effect13_aniinfo.plist,ch75_effect14_aniinfo.plist,ch75_effect15_aniinfo.plist,ch75_effect16_aniinfo.plist",ch75_effect,ch75_effect,ORDINARY_EFFECT,0,ch75_effect_front
HUD,0,CCSpriteBatchNode,"ch75_effect1_aniinfo.plist,ch75_effect2_aniinfo.plist,ch75_effect3_aniinfo.plist,ch75_effect4_aniinfo.plist,ch75_effect5_aniinfo.plist,ch75_effect6_aniinfo.plist,ch75_effect7_aniinfo.plist,ch75_effect8_aniinfo.plist,ch75_effect9_aniinfo.plist,ch75_effect10_aniinfo.plist,ch75_effect11_aniinfo.plist,ch75_effect12_aniinfo.plist,ch75_effect13_aniinfo.plist,ch75_effect14_aniinfo.plist,ch75_effect15_aniinfo.plist,ch75_effect16_aniinfo.plist",ch75_effect,ch75_effect,BOTTOM,0,ch75_effect_hud
GAME,0,CCSpriteBatchNode,ch76_effect_aniinfo.plist,ch76_effect,ch76_effect,COOKIE,1,ch76_effect
GAME,0,CCSpriteBatchNode,ch76_effect_aniinfo.plist,ch76_effect,ch76_effect,COOKIE,-1,ch76_effect_back
