group_seq,magic_group,powder_group,shard_group,upgrade_group,_key
1100100,mC,TR_C,MS_00,C,1
1101000,mA,TR_A,MS_00,A,10
1200900,mB,TR_B,MS_00,B,100
13102100,mS,TR2X_S++,MSX_05,S,1000
13103000,mS,TR2_S++,MS_04,S,1001
13103100,mS,TR2X_S++,MSX_04,S,1002
13104000,mS,TR2_S+,MS_06,S,1003
13104100,mS,TR2X_S+,MSX_06,S,1004
13105000,mS,TR2_S,MS_06,S,1005
13105100,mS,TR2X_S,MSX_06,S,1006
13106000,mS,TR2_SS,MS_03,S,1007
13106100,mS,TR2X_SS,MSX_03,S,1008
13108000,mS,TR2_S++,MS_05,S,1009
1201000,mB,TR_B,MS_00,B,101
13108100,mS,TR2X_S++,MSX_05,S,1010
13109000,mS,TR2_SS,MS_03,S,1011
13109100,mS,TR2X_SS,MSX_03,S,1012
13110000,mS,TR2_SS,MS_02,S,1013
13110100,mS,TR2X_SS,MSX_02,S,1014
13111000,mS,TR2_S++,MS_05,S,1015
13111100,mS,TR2X_S++,MSX_05,S,1016
13112000,mS,TR2_S++,MS_05,S,1017
13112100,mS,TR2X_S++,MSX_05,S,1018
13113000,mS,TR2_SS,MS_03,S,1019
1201100,mA,TR_A,MS_00,A,102
13113100,mS,TR2X_SS,MSX_03,S,1020
13115000,mS,TR2_SS,MS_02,S,1021
13115100,mS,TR2X_SS,MSX_02,S,1022
13116000,mS,TR2_SS,MS_02,S,1023
13116100,mS,TR2X_SS,MSX_02,S,1024
13117000,mS,TR2_SS,MS_01,S,1025
13117100,mS,TR2X_SS,MSX_01,S,1026
13118000,mS,TR2_S++,MS_06,S,1027
13118100,mS,TR2X_S++,MSX_06,S,1028
13119000,mS,TR2_S++,MS_04,S,1029
1201200,mS,TR_S,MS_00,S,103
13119100,mS,TR2X_S++,MSX_04,S,1030
13120000,mS,TR2_S++,MS_03,S,1031
13120100,mS,TR2X_S++,MSX_03,S,1032
13121000,mS,TR2_S++,MS_04,S,1033
13121100,mS,TR2X_S++,MSX_04,S,1034
13122000,mS,TR2_S++,MS_04,S,1035
13122100,mS,TR2X_S++,MSX_04,S,1036
13123000,mS,TR2_S++,MS_05,S,1037
13123100,mS,TR2X_S++,MSX_05,S,1038
13124000,mS,TR2_S++,MS_03,S,1039
1201300,mS,TR_S,MS_00,S,104
13124100,mS,TR2X_S++,MSX_03,S,1040
13125000,mS,TR2_S++,MS_05,S,1041
13125100,mS,TR2X_S++,MSX_05,S,1042
13126000,mS,TR2_S++,MS_04,S,1043
13126100,mS,TR2X_S++,MSX_04,S,1044
13127000,mS,TR2_S++,MS_06,S,1045
13127100,mS,TR2X_S++,MSX_06,S,1046
13128000,mS,TR2_S++,MS_05,S,1047
13128100,mS,TR2X_S++,MSX_05,S,1048
13129000,mS,TR2_S++,MS_06,S,1049
1201400,mB,TR_B,MS_00,B,105
13129100,mS,TR2X_S++,MSX_06,S,1050
13130000,mS,TR2_S++,MS_04,S,1051
13130100,mS,TR2X_S++,MSX_04,S,1052
13131000,mS,TR2_S++,MS_04,S,1053
13131100,mS,TR2X_S++,MSX_04,S,1054
13132000,mS,TR2_S++,MS_04,S,1055
13132100,mS,TR2X_S++,MSX_04,S,1056
13134000,mS,TR2_S++,MS_05,S,1057
13134100,mS,TR2X_S++,MSX_05,S,1058
13135000,mS,TR2_S++,MS_05,S,1059
1201500,mA,TR_A,MS_00,A,106
13135100,mS,TR2X_S++,MSX_05,S,1060
13136000,mS,TR2_S++,MS_05,S,1061
13136100,mS,TR2X_S++,MSX_05,S,1062
13137000,mS,TR2_S++,MS_05,S,1063
13137100,mS,TR2X_S++,MSX_05,S,1064
13138000,mS,TR2_S++,MS_02,S,1065
13138100,mS,TR2X_S++,MSX_02,S,1066
13139000,mS,TR2_S++,MS_01,S,1067
13139100,mS,TR2X_S++,MSX_01,S,1068
13140000,mS,TR2_S++,MS_01,S,1069
1201600,mS,TR_S,MS_00,S,107
13140100,mS,TR2X_S++,MSX_01,S,1070
13142000,mS,TR2_S++,MS_04,S,1071
13142100,mS,TR2X_S++,MSX_04,S,1072
13143000,mS,TR2_S++,MS_03,S,1073
13143100,mS,TR2X_S++,MSX_03,S,1074
13144000,mS,TR2_SS,MS_02,S,1075
13144100,mS,TR2X_SS,MSX_02,S,1076
13145000,mS,TR2_S++,MS_04,S,1077
13145100,mS,TR2X_S++,MSX_04,S,1078
13146000,mS,TR2_S+,MS_05,S,1079
1201700,mA,TR_A,MS_00,A,108
13146100,mS,TR2X_S+,MSX_05,S,1080
13147000,mS,TR2_S++,MS_04,S,1081
13147100,mS,TR2X_S++,MSX_04,S,1082
13148000,mS,TR2_S++,MS_03,S,1083
13148100,mS,TR2X_S++,MSX_03,S,1084
13149000,mS,TR2_S++,MS_03,S,1085
13149100,mS,TR2X_S++,MSX_03,S,1086
13150000,mS,TR2_S++,MS_04,S,1087
13150100,mS,TR2X_S++,MSX_04,S,1088
13151000,mS,TR2_S++,MS_04,S,1089
1201800,mA,TR_A,MS_00,A,109
13151100,mS,TR2X_S++,MSX_04,S,1090
13152000,mS,TR2_S++,MS_03,S,1091
13152100,mS,TR2X_S++,MSX_03,S,1092
13153000,mS,TR2_S++,MS_03,S,1093
13153100,mS,TR2X_S++,MSX_03,S,1094
13154000,mS,TR2_S++,MS_03,S,1095
13154100,mS,TR2X_S++,MSX_03,S,1096
13155000,mS,TR2_S++,MS_03,S,1097
13155100,mS,TR2X_S++,MSX_03,S,1098
13156000,mS,TR2_S++,MS_03,S,1099
1101100,mA,TR_A,MS_00,A,11
1201900,mB,TR_B,MS_00,B,110
13156100,mS,TR2X_S++,MSX_03,S,1100
13157000,mS,TR2_S++,MS_03,S,1101
13157100,mS,TR2X_S++,MSX_03,S,1102
13158000,mS,TR2_S++,MS_04,S,1103
13158100,mS,TR2X_S++,MSX_04,S,1104
13160000,mS,TR2_S++,MS_03,S,1105
13160100,mS,TR2X_S++,MSX_03,S,1106
13161000,mS,TR2_S++,MS_04,S,1107
13161100,mS,TR2X_S++,MSX_04,S,1108
13162000,mS,TR2_S++,MS_03,S,1109
1202000,mA,TR_A,MS_00,A,111
13162100,mS,TR2X_S++,MSX_03,S,1110
13163000,mS,TR2_S++,MS_03,S,1111
13163100,mS,TR2X_S++,MSX_03,S,1112
13164000,mS,TR2_S++,MS_03,S,1113
13164100,mS,TR2X_S++,MSX_03,S,1114
13165000,mS,TR2_S++,MS_03,S,1115
13165100,mS,TR2X_S++,MSX_03,S,1116
1202100,mB,TR_B,MS_00,B,112
1202300,mS,TR_S,MS_00,S,113
1202400,mS,TR_S,MS_00,S,114
1202600,mS,TR_S,MS_00,S,115
1202700,mS,TR_S,MS_00,S,116
1202800,mS,TR_S,MS_00,S,117
1202900,mA,TR_S,MS_00,S,118
1203000,mS,TR_S,MS_00,S,119
1101200,mS,TR_S,MS_00,S,12
1203100,mS,TR_S,MS_00,S,120
1203200,mA,TR_A,MS_00,A,121
1203300,mS,TR_S,MS_00,S,122
1203400,mS,TR_S,MS_00,S,123
1203500,mS,TR_S,MS_00,S,124
1203600,mS,TR_S,MS_00,S,125
1203700,mS,TR_S,MS_00,S,126
1203800,mS,TR_S,MS_00,S,127
1203900,mS,TR_S,MS_00,S,128
1204000,mS,TR_S,MS_00,S,129
1101300,mA,TR_A,MS_00,A,13
1204100,mS,TR_S,MS_00,S,130
1204200,mS,TR_S,MS_00,S,131
1204300,mS,TR_S,MS_00,S,132
1204400,mS,TR_S,MS_00,S,133
1204500,mS,TR_S,MS_00,S,134
1204600,mS,TR_S,MS_00,S,135
1204700,mS,TR_S,MS_00,S,136
1204800,mS,TR_S,MS_00,S,137
1204900,mS,TR_S,MS_00,S,138
1205000,mS,TR_S,MS_00,S,139
1101400,mB,TR_B,MS_00,B,14
1205100,mS,TR_S,MS_00,S,140
1205200,mS,TR_S,MS_00,S,141
1205300,mS,TR_S,MS_00,S,142
1205400,mS,TR_S,MS_00,S,143
1205600,mS,TR_S,MS_00,S,144
1205700,mS,TR_S,MS_00,S,145
1205800,mS,TR_S,MS_00,S,146
1205900,mS,TR_S,MS_00,S,147
1206000,mS,TR_S,MS_00,S,148
1206100,mS,TR_S,MS_00,S,149
1101500,mA,TR_A,MS_00,A,15
1206200,mS,TR_S,MS_00,S,150
1206300,mS,TR_S,MS_00,S,151
1206400,mS,TR_S,MS_00,S,152
1206500,mS,TR_S,MS_00,S,153
1206600,mS,TR_S,MS_00,S,154
1206700,mS,TR_S,MS_00,S,155
1206800,mS,TR_S,MS_00,S,156
1206900,mS,TR_S,MS_00,S,157
1207000,mS,TR_S,MS_00,S,158
1207100,mS,TR_S,MS_00,S,159
1101600,mS,TR_S,MS_00,S,16
1207200,mS,TR_S,MS_00,S,160
1207300,mS,TR_S,MS_00,S,161
1207400,mS,TR_S,MS_00,S,162
1207500,mS,TR_S,MS_00,S,163
1207600,mS,TR_S,MS_00,S,164
1207700,mS,TR_S,MS_00,S,165
1207800,mS,TR_S,MS_00,S,166
1207900,mS,TR_S,MS_00,S,167
1208000,mS,TR_S,MS_00,S,168
1208100,mS,TR_S,MS_00,S,169
1101800,mS,TR_S,MS_00,S,17
1208200,mS,TR_S,MS_00,S,170
1208300,mS,TR_S,MS_00,S,171
1208400,mS,TR_S,MS_00,S,172
1208500,mS,TR_S,MS_00,S,173
1208700,mS,TR_S,MS_00,S,174
1208900,mS,TR_S,MS_00,S,175
1209000,mS,TR_S,MS_00,S,176
1209100,mS,TR_S,MS_00,S,177
1209200,mS,TR_S,MS_00,S,178
1209300,mS,TR_S,MS_00,S,179
1101900,mS,TR_S,MS_00,S,18
1209400,mS,TR_S,MS_00,S,180
1209500,mS,TR_S,MS_00,S,181
1209600,mS,TR_S,MS_00,S,182
1209700,mS,TR_S,MS_00,S,183
1209800,mS,TR_S,MS_00,S,184
1209900,mS,TR_S,MS_00,S,185
1210000,mS,TR_S,MS_00,S,186
1210100,mS,TR_S,MS_00,S,187
1210200,mS,TR_S,MS_00,S,188
1210300,mS,TR_S,MS_00,S,189
1102000,mS,TR_S,MS_00,S,19
1210400,mS,TR_S,MS_00,S,190
1290100,mA,TR_A,MS_00,A,191
1290200,mA,TR_A,MS_00,A,192
1300100,mS,TR_S,MS_00,S,193
1300200,mS,TR_S,MS_00,S,194
1300400,mS,TR_S,MS_00,S,195
1300500,mS,TR_S,MS_00,S,196
1300600,mS,TR_S,MS_00,S,197
1300700,mA,TR_A,MS_00,A,198
1300800,mA,TR_A,MS_00,A,199
1100200,mB,TR_B,MS_00,B,2
1102100,mS,TR_S,MS_00,S,20
1300900,mA,TR_A,MS_00,A,200
1301000,mA,TR_A,MS_00,A,201
1301100,mA,TR_A,MS_00,A,202
1301200,mA,TR_A,MS_00,A,203
1301300,mA,TR_A,MS_00,A,204
1301400,mA,TR_A,MS_00,A,205
1301500,mA,TR_A,MS_00,A,206
1301600,mB,TR_B,MS_00,B,207
1301700,mB,TR_B,MS_00,B,208
1301800,mB,TR_B,MS_00,B,209
1102200,mS,TR_S,MS_00,S,21
1301900,mB,TR_B,MS_00,B,210
1302000,mB,TR_B,MS_00,B,211
1302100,mB,TR_B,MS_00,B,212
1302200,mB,TR_B,MS_00,B,213
1302300,mB,TR_B,MS_00,B,214
1302400,mB,TR_B,MS_00,B,215
1302500,mB,TR_B,MS_00,B,216
1302600,mB,TR_B,MS_00,B,217
1302700,mB,TR_B,MS_00,B,218
1302800,mB,TR_B,MS_00,B,219
1102300,mS,TR_S,MS_00,S,22
1302900,mC,TR_C,MS_00,C,220
1303000,mC,TR_C,MS_00,C,221
1303100,mC,TR_C,MS_00,C,222
1303200,mC,TR_C,MS_00,C,223
1303300,mC,TR_C,MS_00,C,224
1303400,mC,TR_C,MS_00,C,225
1303500,mC,TR_C,MS_00,C,226
1303600,mC,TR_C,MS_00,C,227
1303700,mC,TR_C,MS_00,C,228
1303800,mC,TR_C,MS_00,C,229
1102400,mS,TR_S,MS_00,S,23
1303900,mC,TR_C,MS_00,C,230
1304000,mC,TR_C,MS_00,C,231
1304100,mC,TR_C,MS_00,C,232
1304200,mS,TR_S,MS_00,S,233
1304300,mS,TR_S,MS_00,S,234
1304400,mS,TR_S,MS_00,S,235
1304500,mA,TR_A,MS_00,A,236
1304600,mA,TR_A,MS_00,A,237
1304700,mA,TR_A,MS_00,A,238
1304800,mA,TR_A,MS_00,A,239
1102500,mS,TR_S,MS_00,S,24
1304900,mA,TR_A,MS_00,A,240
1305000,mA,TR_A,MS_00,A,241
1305100,mS,TR_S,MS_00,S,242
1305200,mS,TR_S,MS_00,S,243
1305300,mS,TR_S,MS_00,S,244
1305400,mS,TR_S,MS_00,S,245
1305500,mS,TR_S,MS_00,S,246
1305600,mS,TR_S,MS_00,S,247
1305700,mS,TR_S,MS_00,S,248
1305800,mS,TR_S,MS_00,S,249
1102600,mS,TR_S,MS_00,S,25
1305900,mS,TR_S,MS_00,S,250
1306000,mS,TR_S,MS_00,S,251
1306100,mS,TR_S,MS_00,S,252
1306200,mS,TR_S,MS_00,S,253
1306300,mS,TR_S,MS_00,S,254
1306400,mS,TR_S,MS_00,S,255
1306500,mS,TR_S,MS_00,S,256
1306600,mS,TR_S,MS_00,S,257
1306700,mS,TR_S,MS_00,S,258
1306800,mS,TR_S,MS_00,S,259
1102700,mS,TR_S,MS_00,S,26
1306900,mS,TR_S,MS_00,S,260
1307000,mS,TR_S,MS_00,S,261
1307100,mS,TR_S,MS_00,S,262
1307200,mS,TR_S,MS_00,S,263
1307300,mS,TR_S,MS_00,S,264
1307400,mS,TR_S,MS_00,S,265
1307500,mS,TR_S,MS_00,S,266
1307600,mS,TR_S,MS_00,S,267
1307700,mS,TR_S,MS_00,S,268
1307800,mS,TR_S,MS_00,S,269
1102800,mS,TR_S,MS_00,S,27
1307900,mS,TR_S,MS_00,S,270
1308000,mS,TR_S,MS_00,S,271
1308100,mS,TR_S,MS_00,S,272
1308200,mS,TR_S,MS_00,S,273
1308300,mS,TR_S,MS_00,S,274
1308400,mS,TR_S,MS_00,S,275
1308500,mS,TR_S,MS_00,S,276
1308600,mA,TR_A,MS_00,A,277
1308700,mA,TR_A,MS_00,A,278
1308800,mA,TR_A,MS_00,A,279
1102900,mS,TR_S,MS_00,S,28
1308900,mA,TR_A,MS_00,A,280
1309000,mA,TR_A,MS_00,A,281
1309100,mS,TR_S,MS_00,S,282
1309200,mS,TR_S,MS_00,S,283
1309300,mS,TR_S,MS_00,S,284
1309400,mS,TR_S,MS_00,S,285
1309500,mS,TR_S,MS_00,S,286
1309600,mS,TR_S,MS_00,S,287
