activity_pointA,activity_pointB,bonus_qty,contentsVersion,group_seq,imageTag,item_id,mix_level,moneyTypeA,moneyTypeB,money_stuff_seqA,money_stuff_seqB,priceA,priceB,qty,related_stuff_seq,slotPriority,special_type,stuffStatus,stuffType,stuff_name,tag,_key
0,0,0,0,1100100,tr_ch01,,0,1,2,,,0,0,1,,0,0,1,T,Third Skull Button,0,1100100
0,0,0,0,11001000,tr_ch01_m,,1,1,2,,,0,9999,1,,0,0,1,T,Skeleton Necklace of Bravery,0,11001000
0,0,0,0,11001000,tr_ch01_m,,1,1,2,,,6849,9999,1,,0,0,1,T,Skeleton Necklace of Bravery,1,11001001
0,0,0,0,11001000,tr_ch01_m,,1,1,2,,,6933,9999,1,,0,0,1,T,Skeleton Necklace of Bravery,2,11001002
0,0,0,0,11001000,tr_ch01_m,,1,1,2,,,7059,9999,1,,0,0,1,T,Skeleton Necklace of Bravery,3,11001003
0,0,0,0,11001000,tr_ch01_m,,1,1,2,,,7227,9999,1,,0,0,1,T,Skeleton Necklace of Bravery,4,11001004
0,0,0,0,11001000,tr_ch01_m,,1,1,2,,,7437,9999,1,,0,0,1,T,Skeleton Necklace of Bravery,5,11001005
0,0,0,0,11001000,tr_ch01_m,,1,1,2,,,7689,9999,1,,0,0,1,T,Skeleton Necklace of Bravery,6,11001006
0,0,0,0,11001000,tr_ch01_m,,1,1,2,,,7983,9999,1,,0,0,1,T,Skeleton Necklace of Bravery,7,11001007
0,0,0,0,11001000,tr_ch01_m,,1,1,2,,,8319,9999,1,,0,0,1,T,Skeleton Necklace of Bravery,8,11001008
0,0,0,0,11001000,tr_ch01_m,,1,1,2,,,8697,9999,1,,0,0,1,T,Skeleton Necklace of Bravery,9,11001009
0,15,0,0,1100100,tr_ch01,,0,1,2,,,276,5,1,,0,0,1,T,Third Skull Button,1,1100101
0,0,0,0,11001000,tr_ch01_m,,1,1,2,,,9117,9999,1,,0,0,1,T,Skeleton Necklace of Bravery,10,11001010
0,0,0,0,1100100,tr_ch01,,0,1,2,,,360,360,1,,0,0,1,T,Third Skull Button,2,1100102
0,0,0,0,1100100,tr_ch01,,0,1,2,,,486,486,1,,0,0,1,T,Third Skull Button,3,1100103
0,0,0,0,1100100,tr_ch01,,0,1,2,,,654,654,1,,0,0,1,T,Third Skull Button,4,1100104
0,0,0,0,1100100,tr_ch01,,0,1,2,,,864,864,1,,0,0,1,T,Third Skull Button,5,1100105
0,0,0,0,1100100,tr_ch01,,0,1,2,,,1116,1116,1,,0,0,1,T,Third Skull Button,6,1100106
0,0,0,0,1100100,tr_ch01,,0,1,2,,,1410,1410,1,,0,0,1,T,Third Skull Button,7,1100107
0,0,0,0,1100100,tr_ch01,,0,1,2,,,1746,1746,1,,0,0,1,T,Third Skull Button,8,1100108
0,0,0,0,1100100,tr_ch01,,0,1,2,,,2124,2124,1,,0,0,1,T,Third Skull Button,9,1100109
0,0,0,0,1100100,tr_ch01,,0,1,2,,,2544,2544,1,,0,0,1,T,Third Skull Button,10,1100110
0,0,0,0,11001100,tr_ch01_m,,1,1,2,,,0,9999,1,,0,1,0,T,Blessed Skeleton Necklace of Bravery,0,11001100
0,0,0,0,11001100,tr_ch01_m,,1,1,2,,,7145,9999,1,,0,1,0,T,Blessed Skeleton Necklace of Bravery,1,11001101
0,0,0,0,11001100,tr_ch01_m,,1,1,2,,,7229,9999,1,,0,1,0,T,Blessed Skeleton Necklace of Bravery,2,11001102
0,0,0,0,11001100,tr_ch01_m,,1,1,2,,,7355,9999,1,,0,1,0,T,Blessed Skeleton Necklace of Bravery,3,11001103
0,0,0,0,11001100,tr_ch01_m,,1,1,2,,,7523,9999,1,,0,1,0,T,Blessed Skeleton Necklace of Bravery,4,11001104
0,0,0,0,11001100,tr_ch01_m,,1,1,2,,,7733,9999,1,,0,1,0,T,Blessed Skeleton Necklace of Bravery,5,11001105
0,0,0,0,11001100,tr_ch01_m,,1,1,2,,,7985,9999,1,,0,1,0,T,Blessed Skeleton Necklace of Bravery,6,11001106
0,0,0,0,11001100,tr_ch01_m,,1,1,2,,,8279,9999,1,,0,1,0,T,Blessed Skeleton Necklace of Bravery,7,11001107
0,0,0,0,11001100,tr_ch01_m,,1,1,2,,,8615,9999,1,,0,1,0,T,Blessed Skeleton Necklace of Bravery,8,11001108
0,0,0,0,11001100,tr_ch01_m,,1,1,2,,,8993,9999,1,,0,1,0,T,Blessed Skeleton Necklace of Bravery,9,11001109
0,0,0,0,11001100,tr_ch01_m,,1,1,2,,,9413,9999,1,,0,1,0,T,Blessed Skeleton Necklace of Bravery,10,11001110
0,0,0,0,1100200,tr_ch02,,0,1,2,,,0,0,1,,0,0,1,T,Sweet Strawberry,0,1100200
0,0,0,0,11002000,tr_ch02_m,,1,1,2,,,0,9999,1,,0,0,1,T,Sweet Strawberry Tart,0,11002000
0,0,0,0,11002000,tr_ch02_m,,1,1,2,,,7362,9999,1,,0,0,1,T,Sweet Strawberry Tart,1,11002001
0,0,0,0,11002000,tr_ch02_m,,1,1,2,,,7560,9999,1,,0,0,1,T,Sweet Strawberry Tart,2,11002002
0,0,0,0,11002000,tr_ch02_m,,1,1,2,,,7812,9999,1,,0,0,1,T,Sweet Strawberry Tart,3,11002003
0,0,0,0,11002000,tr_ch02_m,,1,1,2,,,8148,9999,1,,0,0,1,T,Sweet Strawberry Tart,4,11002004
0,0,0,0,11002000,tr_ch02_m,,1,1,2,,,8568,9999,1,,0,0,1,T,Sweet Strawberry Tart,5,11002005
0,0,0,0,11002000,tr_ch02_m,,1,1,2,,,9072,9999,1,,0,0,1,T,Sweet Strawberry Tart,6,11002006
0,0,0,0,11002000,tr_ch02_m,,1,1,2,,,9660,9999,1,,0,0,1,T,Sweet Strawberry Tart,7,11002007
0,0,0,0,11002000,tr_ch02_m,,1,1,2,,,10332,9999,1,,0,0,1,T,Sweet Strawberry Tart,8,11002008
0,0,0,0,11002000,tr_ch02_m,,1,1,2,,,11088,9999,1,,0,0,1,T,Sweet Strawberry Tart,9,11002009
0,45,0,0,1100200,tr_ch02,,0,1,2,,,3765,15,1,,0,0,1,T,Sweet Strawberry,1,1100201
0,0,0,0,11002000,tr_ch02_m,,1,1,2,,,11928,9999,1,,0,0,1,T,Sweet Strawberry Tart,10,11002010
0,0,0,0,1100200,tr_ch02,,0,1,2,,,3963,3963,1,,0,0,1,T,Sweet Strawberry,2,1100202
0,0,0,0,1100200,tr_ch02,,0,1,2,,,4215,4215,1,,0,0,1,T,Sweet Strawberry,3,1100203
0,0,0,0,1100200,tr_ch02,,0,1,2,,,4551,4551,1,,0,0,1,T,Sweet Strawberry,4,1100204
0,0,0,0,1100200,tr_ch02,,0,1,2,,,4971,4971,1,,0,0,1,T,Sweet Strawberry,5,1100205
0,0,0,0,1100200,tr_ch02,,0,1,2,,,5475,5475,1,,0,0,1,T,Sweet Strawberry,6,1100206
0,0,0,0,1100200,tr_ch02,,0,1,2,,,6063,6063,1,,0,0,1,T,Sweet Strawberry,7,1100207
0,0,0,0,1100200,tr_ch02,,0,1,2,,,6735,6735,1,,0,0,1,T,Sweet Strawberry,8,1100208
0,0,0,0,1100200,tr_ch02,,0,1,2,,,7491,7491,1,,0,0,1,T,Sweet Strawberry,9,1100209
0,0,0,0,1100200,tr_ch02,,0,1,2,,,8331,8331,1,,0,0,1,T,Sweet Strawberry,10,1100210
0,0,0,0,11002100,tr_ch02_m,,1,1,2,,,0,9999,1,,0,1,0,T,Blessed Sweet Strawberry Tart,0,11002100
0,0,0,0,11002100,tr_ch02_m,,1,1,2,,,7708,9999,1,,0,1,0,T,Blessed Sweet Strawberry Tart,1,11002101
0,0,0,0,11002100,tr_ch02_m,,1,1,2,,,7906,9999,1,,0,1,0,T,Blessed Sweet Strawberry Tart,2,11002102
0,0,0,0,11002100,tr_ch02_m,,1,1,2,,,8158,9999,1,,0,1,0,T,Blessed Sweet Strawberry Tart,3,11002103
0,0,0,0,11002100,tr_ch02_m,,1,1,2,,,8494,9999,1,,0,1,0,T,Blessed Sweet Strawberry Tart,4,11002104
0,0,0,0,11002100,tr_ch02_m,,1,1,2,,,8914,9999,1,,0,1,0,T,Blessed Sweet Strawberry Tart,5,11002105
0,0,0,0,11002100,tr_ch02_m,,1,1,2,,,9418,9999,1,,0,1,0,T,Blessed Sweet Strawberry Tart,6,11002106
0,0,0,0,11002100,tr_ch02_m,,1,1,2,,,10006,9999,1,,0,1,0,T,Blessed Sweet Strawberry Tart,7,11002107
0,0,0,0,11002100,tr_ch02_m,,1,1,2,,,10678,9999,1,,0,1,0,T,Blessed Sweet Strawberry Tart,8,11002108
0,0,0,0,11002100,tr_ch02_m,,1,1,2,,,11434,9999,1,,0,1,0,T,Blessed Sweet Strawberry Tart,9,11002109
0,0,0,0,11002100,tr_ch02_m,,1,1,2,,,12274,9999,1,,0,1,0,T,Blessed Sweet Strawberry Tart,10,11002110
0,0,0,0,1100300,tr_ch03,,0,1,2,,,0,0,1,,0,0,1,T,Lollipop Bite,0,1100300
0,0,0,0,11003000,tr_ch03_m,,1,1,2,,,0,9999,1,,0,0,1,T,Sugary Lollipop Shard,0,11003000
0,0,0,0,11003000,tr_ch03_m,,1,1,2,,,2356,9999,1,,0,0,1,T,Sugary Lollipop Shard,1,11003001
0,0,0,0,11003000,tr_ch03_m,,1,1,2,,,2440,9999,1,,0,0,1,T,Sugary Lollipop Shard,2,11003002
0,0,0,0,11003000,tr_ch03_m,,1,1,2,,,2566,9999,1,,0,0,1,T,Sugary Lollipop Shard,3,11003003
0,0,0,0,11003000,tr_ch03_m,,1,1,2,,,2734,9999,1,,0,0,1,T,Sugary Lollipop Shard,4,11003004
0,0,0,0,11003000,tr_ch03_m,,1,1,2,,,2944,9999,1,,0,0,1,T,Sugary Lollipop Shard,5,11003005
0,0,0,0,11003000,tr_ch03_m,,1,1,2,,,3196,9999,1,,0,0,1,T,Sugary Lollipop Shard,6,11003006
0,0,0,0,11003000,tr_ch03_m,,1,1,2,,,3490,9999,1,,0,0,1,T,Sugary Lollipop Shard,7,11003007
0,0,0,0,11003000,tr_ch03_m,,1,1,2,,,3826,9999,1,,0,0,1,T,Sugary Lollipop Shard,8,11003008
0,0,0,0,11003000,tr_ch03_m,,1,1,2,,,4204,9999,1,,0,0,1,T,Sugary Lollipop Shard,9,11003009
0,15,0,0,1100300,tr_ch03,,0,1,2,,,543,5,1,,0,0,1,T,Lollipop Bite,1,1100301
0,0,0,0,11003000,tr_ch03_m,,1,1,2,,,4624,9999,1,,0,0,1,T,Sugary Lollipop Shard,10,11003010
0,0,0,0,1100300,tr_ch03,,0,1,2,,,627,627,1,,0,0,1,T,Lollipop Bite,2,1100302
0,0,0,0,1100300,tr_ch03,,0,1,2,,,753,753,1,,0,0,1,T,Lollipop Bite,3,1100303
0,0,0,0,1100300,tr_ch03,,0,1,2,,,921,921,1,,0,0,1,T,Lollipop Bite,4,1100304
0,0,0,0,1100300,tr_ch03,,0,1,2,,,1131,1131,1,,0,0,1,T,Lollipop Bite,5,1100305
0,0,0,0,1100300,tr_ch03,,0,1,2,,,1383,1383,1,,0,0,1,T,Lollipop Bite,6,1100306
0,0,0,0,1100300,tr_ch03,,0,1,2,,,1677,1677,1,,0,0,1,T,Lollipop Bite,7,1100307
0,0,0,0,1100300,tr_ch03,,0,1,2,,,2013,2013,1,,0,0,1,T,Lollipop Bite,8,1100308
0,0,0,0,1100300,tr_ch03,,0,1,2,,,2391,2391,1,,0,0,1,T,Lollipop Bite,9,1100309
0,0,0,0,1100300,tr_ch03,,0,1,2,,,2811,2811,1,,0,0,1,T,Lollipop Bite,10,1100310
0,0,0,0,11003100,tr_ch03_m,,1,1,2,,,0,9999,1,,0,1,0,T,Blessed Sugary Lollipop Shard,0,11003100
0,0,0,0,11003100,tr_ch03_m,,1,1,2,,,2070,9999,1,,0,1,0,T,Blessed Sugary Lollipop Shard,1,11003101
0,0,0,0,11003100,tr_ch03_m,,1,1,2,,,2154,9999,1,,0,1,0,T,Blessed Sugary Lollipop Shard,2,11003102
0,0,0,0,11003100,tr_ch03_m,,1,1,2,,,2280,9999,1,,0,1,0,T,Blessed Sugary Lollipop Shard,3,11003103
0,0,0,0,11003100,tr_ch03_m,,1,1,2,,,2448,9999,1,,0,1,0,T,Blessed Sugary Lollipop Shard,4,11003104
0,0,0,0,11003100,tr_ch03_m,,1,1,2,,,2658,9999,1,,0,1,0,T,Blessed Sugary Lollipop Shard,5,11003105
0,0,0,0,11003100,tr_ch03_m,,1,1,2,,,2910,9999,1,,0,1,0,T,Blessed Sugary Lollipop Shard,6,11003106
0,0,0,0,11003100,tr_ch03_m,,1,1,2,,,3204,9999,1,,0,1,0,T,Blessed Sugary Lollipop Shard,7,11003107
0,0,0,0,11003100,tr_ch03_m,,1,1,2,,,3540,9999,1,,0,1,0,T,Blessed Sugary Lollipop Shard,8,11003108
0,0,0,0,11003100,tr_ch03_m,,1,1,2,,,3918,9999,1,,0,1,0,T,Blessed Sugary Lollipop Shard,9,11003109
0,0,0,0,11003100,tr_ch03_m,,1,1,2,,,4338,9999,1,,0,1,0,T,Blessed Sugary Lollipop Shard,10,11003110
0,0,0,0,1100400,tr_ch04,,0,1,2,,,0,0,1,,0,0,0,T,Ginger Claus Gift Bag,0,1100400
0,75,0,0,1100400,tr_ch04,,0,1,2,,,6420,25,1,,0,0,0,T,Ginger Claus Gift Bag,1,1100401
0,0,0,0,1100400,tr_ch04,,0,1,2,,,6756,6756,1,,0,0,0,T,Ginger Claus Gift Bag,2,1100402
0,0,0,0,1100400,tr_ch04,,0,1,2,,,7218,7218,1,,0,0,0,T,Ginger Claus Gift Bag,3,1100403
0,0,0,0,1100400,tr_ch04,,0,1,2,,,7806,7806,1,,0,0,0,T,Ginger Claus Gift Bag,4,1100404
0,0,0,0,1100400,tr_ch04,,0,1,2,,,8520,8520,1,,0,0,0,T,Ginger Claus Gift Bag,5,1100405
0,0,0,0,1100400,tr_ch04,,0,1,2,,,9360,9360,1,,0,0,0,T,Ginger Claus Gift Bag,6,1100406
0,0,0,0,1100400,tr_ch04,,0,1,2,,,10326,10326,1,,0,0,0,T,Ginger Claus Gift Bag,7,1100407
0,0,0,0,1100400,tr_ch04,,0,1,2,,,11418,11418,1,,0,0,0,T,Ginger Claus Gift Bag,8,1100408
0,0,0,0,1100400,tr_ch04,,0,1,2,,,12549,12549,1,,0,0,0,T,Ginger Claus Gift Bag,9,1100409
0,0,0,0,1100400,tr_ch04,,0,1,2,,,13797,13797,1,,0,0,0,T,Ginger Claus Gift Bag,10,1100410
0,0,0,0,1100500,tr_ch05,,0,1,2,,,0,0,1,,0,0,1,T,Rainbow Candy,0,1100500
0,0,0,0,11005000,tr_ch05_m,,1,1,2,,,0,9999,1,,0,0,1,T,Double Rainbow Candy,0,11005000
0,0,0,0,11005000,tr_ch05_m,,1,1,2,,,7362,9999,1,,0,0,1,T,Double Rainbow Candy,1,11005001
0,0,0,0,11005000,tr_ch05_m,,1,1,2,,,7560,9999,1,,0,0,1,T,Double Rainbow Candy,2,11005002
0,0,0,0,11005000,tr_ch05_m,,1,1,2,,,7812,9999,1,,0,0,1,T,Double Rainbow Candy,3,11005003
