end_dt,event,group_seq,method,prob,qty,ratio,reward,reward_condition,reward_stuff_seq,reward_stuff_seq_set,start_dt,tag,_key
NULL,DAILY,1100400,PROB,0,0,0,A,,0,,NULL,0,1100400
NULL,DAILY,1100400,PROB,3000,100,0,A,,0,,NULL,1,1100401
NULL,DAILY,1100400,PROB,3200,100,0,A,,0,,NULL,2,1100402
NULL,DAILY,1100400,PROB,3400,100,0,A,,0,,NULL,3,1100403
NULL,DAILY,1100400,PROB,3600,100,0,A,,0,,NULL,4,1100404
NULL,DAILY,1100400,PROB,3800,100,0,A,,0,,NULL,5,1100405
NULL,DAILY,1100400,PROB,4000,100,0,A,,0,,NULL,6,1100406
NULL,DAILY,1100400,PROB,4200,100,0,A,,0,,NULL,7,1100407
NULL,DAILY,1100400,PROB,4400,100,0,A,,0,,NULL,8,1100408
NULL,DAILY,1100400,PROB,4700,100,0,A,,0,,NULL,9,1100409
NULL,DAILY,1100400,PROB,5000,100,0,A,,0,,NULL,10,1100410
NULL,DAILY,1103200,PROB,0,0,0,E,,0,,NULL,0,1103200
NULL,DAILY,1103200,PROB,700,2,0,E,,0,,NULL,1,1103201
NULL,DAILY,1103200,PROB,1000,2,0,E,,0,,NULL,2,1103202
NULL,DAILY,1103200,PROB,1200,2,0,E,,0,,NULL,3,1103203
NULL,DAILY,1103200,PROB,1500,2,0,E,,0,,NULL,4,1103204
NULL,DAILY,1103200,PROB,1700,2,0,E,,0,,NULL,5,1103205
NULL,DAILY,1103200,PROB,2000,2,0,E,,0,,NULL,6,1103206
NULL,DAILY,1103200,PROB,2200,2,0,E,,0,,NULL,7,1103207
NULL,DAILY,1103200,PROB,2500,2,0,E,,0,,NULL,8,1103208
NULL,DAILY,1103200,PROB,2700,2,0,E,,0,,NULL,9,1103209
NULL,DAILY,1103200,PROB,3000,2,0,E,,0,,NULL,10,1103210
NULL,DAILY,1105100,PROB,0,0,0,BS,,0,,NULL,0,1105100
NULL,DAILY,1105100,PROB,3000,1,0,BS,,0,211 | 212 | 213 | 214 | 215,NULL,1,1105101
NULL,DAILY,1105100,PROB,3200,1,0,BS,,0,211 | 212 | 213 | 214 | 215,NULL,2,1105102
NULL,DAILY,1105100,PROB,3400,1,0,BS,,0,211 | 212 | 213 | 214 | 215,NULL,3,1105103
NULL,DAILY,1105100,PROB,3600,1,0,BS,,0,211 | 212 | 213 | 214 | 215,NULL,4,1105104
NULL,DAILY,1105100,PROB,3800,1,0,BS,,0,211 | 212 | 213 | 214 | 215,NULL,5,1105105
NULL,DAILY,1105100,PROB,4000,1,0,BS,,0,211 | 212 | 213 | 214 | 215,NULL,6,1105106
NULL,DAILY,1105100,PROB,4200,1,0,BS,,0,211 | 212 | 213 | 214 | 215,NULL,7,1105107
NULL,DAILY,1105100,PROB,4400,1,0,BS,,0,211 | 212 | 213 | 214 | 215,NULL,8,1105108
NULL,DAILY,1105100,PROB,4700,1,0,BS,,0,211 | 212 | 213 | 214 | 215,NULL,9,1105109
