group_seq,magic_group,upgrade_group,_key
1100100,C,C,1
1100100,C,C,10
1101000,A,A,100
1301300,A,A,1000
1301300,A,A,1001
1301400,A,A,1002
1301400,A,A,1003
1301400,A,A,1004
1301400,A,A,1005
1301400,A,A,1006
1301400,A,A,1007
1301400,A,A,1008
1301400,A,A,1009
1101000,A,A,101
1301400,A,A,1010
1301400,A,A,1011
1301400,A,A,1012
1301500,A,A,1013
1301500,A,A,1014
1301500,A,A,1015
1301500,A,A,1016
1301500,A,A,1017
1301500,A,A,1018
1301500,A,A,1019
1101000,A,A,102
1301500,A,A,1020
1301500,A,A,1021
1301500,A,A,1022
1301500,A,A,1023
1301600,B,B,1024
1301600,B,B,1025
1301600,B,B,1026
1301600,B,B,1027
1301600,B,B,1028
1301600,B,B,1029
1101000,A,A,103
1301600,B,B,1030
1301600,B,B,1031
1301600,B,B,1032
1301600,B,B,1033
1301600,B,B,1034
1301700,B,B,1035
1301700,B,B,1036
1301700,B,B,1037
1301700,B,B,1038
1301700,B,B,1039
1101000,A,A,104
1301700,B,B,1040
1301700,B,B,1041
1301700,B,B,1042
1301700,B,B,1043
1301700,B,B,1044
1301700,B,B,1045
1301800,B,B,1046
1301800,B,B,1047
1301800,B,B,1048
1301800,B,B,1049
1101000,A,A,105
1301800,B,B,1050
1301800,B,B,1051
1301800,B,B,1052
1301800,B,B,1053
1301800,B,B,1054
1301800,B,B,1055
1301800,B,B,1056
1301900,B,B,1057
1301900,B,B,1058
1301900,B,B,1059
1101000,A,A,106
1301900,B,B,1060
1301900,B,B,1061
1301900,B,B,1062
1301900,B,B,1063
1301900,B,B,1064
1301900,B,B,1065
1301900,B,B,1066
1301900,B,B,1067
1302000,B,B,1068
1302000,B,B,1069
1101000,A,A,107
1302000,B,B,1070
1302000,B,B,1071
1302000,B,B,1072
1302000,B,B,1073
1302000,B,B,1074
1302000,B,B,1075
1302000,B,B,1076
1302000,B,B,1077
1302000,B,B,1078
1302100,B,B,1079
1101000,A,A,108
1302100,B,B,1080
1302100,B,B,1081
1302100,B,B,1082
1302100,B,B,1083
1302100,B,B,1084
1302100,B,B,1085
1302100,B,B,1086
1302100,B,B,1087
1302100,B,B,1088
1302100,B,B,1089
1101000,A,A,109
1302200,B,B,1090
1302200,B,B,1091
1302200,B,B,1092
1302200,B,B,1093
1302200,B,B,1094
1302200,B,B,1095
1302200,B,B,1096
1302200,B,B,1097
1302200,B,B,1098
1302200,B,B,1099
1100100,C,C,11
1101000,A,A,110
1302200,B,B,1100
1302300,B,B,1101
1302300,B,B,1102
1302300,B,B,1103
1302300,B,B,1104
1302300,B,B,1105
1302300,B,B,1106
1302300,B,B,1107
1302300,B,B,1108
1302300,B,B,1109
1101100,A,A,111
1302300,B,B,1110
1302300,B,B,1111
1302400,B,B,1112
1302400,B,B,1113
1302400,B,B,1114
1302400,B,B,1115
1302400,B,B,1116
1302400,B,B,1117
1302400,B,B,1118
1302400,B,B,1119
1101100,A,A,112
1302400,B,B,1120
1302400,B,B,1121
1302400,B,B,1122
1302500,B,B,1123
1302500,B,B,1124
1302500,B,B,1125
1302500,B,B,1126
1302500,B,B,1127
1302500,B,B,1128
1302500,B,B,1129
1101100,A,A,113
1302500,B,B,1130
1302500,B,B,1131
1302500,B,B,1132
1302500,B,B,1133
1302600,B,B,1134
1302600,B,B,1135
1302600,B,B,1136
1302600,B,B,1137
1302600,B,B,1138
1302600,B,B,1139
1101100,A,A,114
1302600,B,B,1140
1302600,B,B,1141
1302600,B,B,1142
1302600,B,B,1143
1302600,B,B,1144
1302700,B,B,1145
1302700,B,B,1146
1302700,B,B,1147
1302700,B,B,1148
1302700,B,B,1149
1101100,A,A,115
1302700,B,B,1150
1302700,B,B,1151
1302700,B,B,1152
1302700,B,B,1153
1302700,B,B,1154
1302700,B,B,1155
1302800,B,B,1156
1302800,B,B,1157
1302800,B,B,1158
1302800,B,B,1159
1101100,A,A,116
1302800,B,B,1160
1302800,B,B,1161
1302800,B,B,1162
1302800,B,B,1163
1302800,B,B,1164
1302800,B,B,1165
1302800,B,B,1166
1302900,C,C,1167
1302900,C,C,1168
1302900,C,C,1169
1101100,A,A,117
1302900,C,C,1170
1302900,C,C,1171
1302900,C,C,1172
1302900,C,C,1173
1302900,C,C,1174
1302900,C,C,1175
1302900,C,C,1176
1302900,C,C,1177
1303000,C,C,1178
1303000,C,C,1179
1101100,A,A,118
1303000,C,C,1180
1303000,C,C,1181
1303000,C,C,1182
1303000,C,C,1183
1303000,C,C,1184
1303000,C,C,1185
1303000,C,C,1186
1303000,C,C,1187
1303000,C,C,1188
1303100,C,C,1189
1101100,A,A,119
1303100,C,C,1190
1303100,C,C,1191
1303100,C,C,1192
1303100,C,C,1193
1303100,C,C,1194
1303100,C,C,1195
1303100,C,C,1196
1303100,C,C,1197
1303100,C,C,1198
1303100,C,C,1199
1100200,B,B,12
1101100,A,A,120
1303200,C,C,1200
1303200,C,C,1201
1303200,C,C,1202
1303200,C,C,1203
1303200,C,C,1204
1303200,C,C,1205
1303200,C,C,1206
1303200,C,C,1207
1303200,C,C,1208
1303200,C,C,1209
1101100,A,A,121
1303200,C,C,1210
1303300,C,C,1211
1303300,C,C,1212
1303300,C,C,1213
1303300,C,C,1214
1303300,C,C,1215
1303300,C,C,1216
1303300,C,C,1217
1303300,C,C,1218
1303300,C,C,1219
1101200,S,S,122
1303300,C,C,1220
1303300,C,C,1221
1303400,C,C,1222
1303400,C,C,1223
1303400,C,C,1224
1303400,C,C,1225
1303400,C,C,1226
1303400,C,C,1227
1303400,C,C,1228
1303400,C,C,1229
1101200,S,S,123
1303400,C,C,1230
1303400,C,C,1231
1303400,C,C,1232
1303500,C,C,1233
1303500,C,C,1234
1303500,C,C,1235
1303500,C,C,1236
1303500,C,C,1237
1303500,C,C,1238
1303500,C,C,1239
1101200,S,S,124
1303500,C,C,1240
1303500,C,C,1241
1303500,C,C,1242
1303500,C,C,1243
1303600,C,C,1244
1303600,C,C,1245
1303600,C,C,1246
1303600,C,C,1247
1303600,C,C,1248
1303600,C,C,1249
1101200,S,S,125
1303600,C,C,1250
1303600,C,C,1251
1303600,C,C,1252
1303600,C,C,1253
1303600,C,C,1254
1303700,C,C,1255
1303700,C,C,1256
1303700,C,C,1257
1303700,C,C,1258
1303700,C,C,1259
1101200,S,S,126
1303700,C,C,1260
1303700,C,C,1261
1303700,C,C,1262
1303700,C,C,1263
1303700,C,C,1264
1303700,C,C,1265
1303800,C,C,1266
1303800,C,C,1267
1303800,C,C,1268
1303800,C,C,1269
1101200,S,S,127
1303800,C,C,1270
1303800,C,C,1271
1303800,C,C,1272
1303800,C,C,1273
1303800,C,C,1274
1303800,C,C,1275
1303800,C,C,1276
1303900,C,C,1277
1303900,C,C,1278
1303900,C,C,1279
1101200,S,S,128
1303900,C,C,1280
1303900,C,C,1281
1303900,C,C,1282
1303900,C,C,1283
1303900,C,C,1284
1303900,C,C,1285
1303900,C,C,1286
1303900,C,C,1287
1304000,C,C,1288
1304000,C,C,1289
1101200,S,S,129
1304000,C,C,1290
1304000,C,C,1291
1304000,C,C,1292
1304000,C,C,1293
1304000,C,C,1294
1304000,C,C,1295
1304000,C,C,1296
1304000,C,C,1297
1304000,C,C,1298
1304100,C,C,1299
1100200,B,B,13
1101200,S,S,130
1304100,C,C,1300
1304100,C,C,1301
1304100,C,C,1302
1304100,C,C,1303
1304100,C,C,1304
1304100,C,C,1305
1304100,C,C,1306
1304100,C,C,1307
1304100,C,C,1308
1304100,C,C,1309
1101200,S,S,131
1304200,S,S,1310
1304200,S,S,1311
1304200,S,S,1312
1304200,S,S,1313
1304200,S,S,1314
1304200,S,S,1315
1304200,S,S,1316
1304200,S,S,1317
1304200,S,S,1318
1304200,S,S,1319
1101200,S,S,132
1304200,S,S,1320
1304300,S,S,1321
1304300,S,S,1322
1304300,S,S,1323
1304300,S,S,1324
1304300,S,S,1325
1304300,S,S,1326
1304300,S,S,1327
1304300,S,S,1328
1304300,S,S,1329
1101300,A,A,133
1304300,S,S,1330
1304300,S,S,1331
1304400,S,S,1332
1304400,S,S,1333
1304400,S,S,1334
1304400,S,S,1335
1304400,S,S,1336
1304400,S,S,1337
1304400,S,S,1338
1304400,S,S,1339
1101300,A,A,134
1304400,S,S,1340
1304400,S,S,1341
1304400,S,S,1342
1304500,A,A,1343
1304500,A,A,1344
1304500,A,A,1345
1304500,A,A,1346
1304500,A,A,1347
1304500,A,A,1348
1304500,A,A,1349
1101300,A,A,135
1304500,A,A,1350
1304500,A,A,1351
1304500,A,A,1352
1304500,A,A,1353
1304600,A,A,1354
1304600,A,A,1355
1304600,A,A,1356
1304600,A,A,1357
1304600,A,A,1358
1304600,A,A,1359
1101300,A,A,136
1304600,A,A,1360
1304600,A,A,1361
1304600,A,A,1362
1304600,A,A,1363
1304600,A,A,1364
1304700,A,A,1365
1304700,A,A,1366
1304700,A,A,1367
1304700,A,A,1368
1304700,A,A,1369
1101300,A,A,137
1304700,A,A,1370
1304700,A,A,1371
1304700,A,A,1372
1304700,A,A,1373
1304700,A,A,1374
1304700,A,A,1375
1304800,A,A,1376
1304800,A,A,1377
1304800,A,A,1378
1304800,A,A,1379
1101300,A,A,138
