group_seq,prob_group,_key
1100100,C,1
1100100,C,10
1101000,A,100
1300900,A,1000
1300900,A,1001
1301000,A,1002
1301000,A,1003
1301000,A,1004
1301000,A,1005
1301000,A,1006
1301000,A,1007
1301000,A,1008
1301000,A,1009
1101000,A,101
1301000,A,1010
1301000,A,1011
1301000,A,1012
1301100,A,1013
1301100,A,1014
1301100,A,1015
1301100,A,1016
1301100,A,1017
1301100,A,1018
1301100,A,1019
1101000,A,102
1301100,A,1020
1301100,A,1021
1301100,A,1022
1301100,A,1023
1301200,A,1024
1301200,A,1025
1301200,A,1026
1301200,A,1027
1301200,A,1028
1301200,A,1029
1101000,A,103
1301200,A,1030
1301200,A,1031
1301200,A,1032
1301200,A,1033
1301200,A,1034
1301300,A,1035
1301300,A,1036
1301300,A,1037
1301300,A,1038
1301300,A,1039
1101000,A,104
1301300,A,1040
1301300,A,1041
1301300,A,1042
1301300,A,1043
1301300,A,1044
1301300,A,1045
1301400,A,1046
1301400,A,1047
1301400,A,1048
1301400,A,1049
1101000,A,105
1301400,A,1050
1301400,A,1051
1301400,A,1052
1301400,A,1053
1301400,A,1054
1301400,A,1055
1301400,A,1056
1301500,A,1057
1301500,A,1058
1301500,A,1059
1101000,A,106
1301500,A,1060
1301500,A,1061
1301500,A,1062
1301500,A,1063
1301500,A,1064
1301500,A,1065
1301500,A,1066
1301500,A,1067
1301600,B,1068
1301600,B,1069
1101000,A,107
1301600,B,1070
1301600,B,1071
1301600,B,1072
1301600,B,1073
1301600,B,1074
1301600,B,1075
1301600,B,1076
1301600,B,1077
1301600,B,1078
1301700,B,1079
1101000,A,108
1301700,B,1080
1301700,B,1081
1301700,B,1082
1301700,B,1083
1301700,B,1084
1301700,B,1085
1301700,B,1086
1301700,B,1087
1301700,B,1088
1301700,B,1089
1101000,A,109
1301800,B,1090
1301800,B,1091
1301800,B,1092
1301800,B,1093
1301800,B,1094
1301800,B,1095
1301800,B,1096
1301800,B,1097
1301800,B,1098
1301800,B,1099
1100100,C,11
1101000,A,110
1301800,B,1100
1301900,B,1101
1301900,B,1102
1301900,B,1103
1301900,B,1104
1301900,B,1105
1301900,B,1106
1301900,B,1107
1301900,B,1108
1301900,B,1109
1101100,A,111
1301900,B,1110
1301900,B,1111
1302000,B,1112
1302000,B,1113
1302000,B,1114
1302000,B,1115
1302000,B,1116
1302000,B,1117
1302000,B,1118
1302000,B,1119
