coin,coin_big_win_prob,coin_lose_powder,coin_lose_prob,coin_win_prob,gem,gem_big_win_additional_prob,gem_big_win_prob,gem_big_win_prob_max,gem_lose_powder,gem_lose_prob,gem_win_prob,tag,treasure_recipe_prob_group,_key
68000,0,20,70,30,99,10,30,80,0,0,70,1,S,1
68000,0,20,70,30,99,10,30,80,0,0,70,10,S,10
47000,0,12,50,50,49,0,30,30,0,0,70,1,A,11
47000,0,12,50,50,49,0,30,30,0,0,70,2,A,12
47000,0,12,50,50,49,0,30,30,0,0,70,3,A,13
47000,0,12,50,50,49,0,30,30,0,0,70,4,A,14
47000,0,12,50,50,49,0,30,30,0,0,70,5,A,15
47000,0,12,50,50,49,0,30,30,0,0,70,6,A,16
47000,0,12,50,50,49,0,30,30,0,0,70,7,A,17
47000,0,12,50,50,49,0,30,30,0,0,70,8,A,18
47000,0,12,50,50,49,0,30,30,0,0,70,9,A,19
68000,0,20,70,30,99,10,30,80,0,0,70,2,S,2
47000,0,12,50,50,49,0,30,30,0,0,70,10,A,20
26000,0,8,30,70,29,0,30,30,0,0,70,1,B,21
26000,0,8,30,70,29,0,30,30,0,0,70,2,B,22
26000,0,8,30,70,29,0,30,30,0,0,70,3,B,23
26000,0,8,30,70,29,0,30,30,0,0,70,4,B,24
26000,0,8,30,70,29,0,30,30,0,0,70,5,B,25
26000,0,8,30,70,29,0,30,30,0,0,70,6,B,26
26000,0,8,30,70,29,0,30,30,0,0,70,7,B,27
26000,0,8,30,70,29,0,30,30,0,0,70,8,B,28
26000,0,8,30,70,29,0,30,30,0,0,70,9,B,29
68000,0,20,70,30,99,10,30,80,0,0,70,3,S,3
26000,0,8,30,70,29,0,30,30,0,0,70,10,B,30
12000,0,0,0,100,10,0,30,30,0,0,70,1,C,31
12000,0,0,0,100,10,0,30,30,0,0,70,2,C,32
12000,0,0,0,100,10,0,30,30,0,0,70,3,C,33
12000,0,0,0,100,10,0,30,30,0,0,70,4,C,34
12000,0,0,0,100,10,0,30,30,0,0,70,5,C,35
12000,0,0,0,100,10,0,30,30,0,0,70,6,C,36
12000,0,0,0,100,10,0,30,30,0,0,70,7,C,37
12000,0,0,0,100,10,0,30,30,0,0,70,8,C,38
12000,0,0,0,100,10,0,30,30,0,0,70,9,C,39
68000,0,20,70,30,99,10,30,80,0,0,70,4,S,4
12000,0,0,0,100,10,0,30,30,0,0,70,10,C,40
68000,0,20,70,30,99,10,30,80,0,0,70,5,S,5
68000,0,20,70,30,99,10,30,80,0,0,70,6,S,6
68000,0,20,70,30,99,10,30,80,0,0,70,7,S,7
68000,0,20,70,30,99,10,30,80,0,0,70,8,S,8
68000,0,20,70,30,99,10,30,80,0,0,70,9,S,9
