prob,prob_group,prob_type,tag,upgrade_type,_key
0,C,0,1,0,1
1,C,1,5,0,10
1,S,1,1,1,100
1,S,1,2,1,101
1,S,1,3,1,102
1,S,1,4,1,103
1,S,1,5,1,104
1,S,1,6,1,105
1,S,1,7,1,106
1,S,1,8,1,107
1,S,1,9,1,108
0,E,0,1,0,109
0,C,0,6,0,11
1,E,1,1,0,110
0,E,0,2,0,111
1,E,1,2,0,112
0,E,0,3,0,113
1,E,1,3,0,114
1,E,0,4,0,115
3,E,1,4,0,116
3,E,0,5,0,117
7,E,1,5,0,118
35,E,0,6,0,119
1,C,1,6,0,12
65,E,1,6,0,120
1,E,0,7,0,121
1,E,1,7,0,122
1,E,0,8,0,123
1,E,1,8,0,124
3,E,0,9,0,125
1,E,1,9,0,126
1,E,1,1,1,127
1,E,1,2,1,128
1,E,1,3,1,129
0,C,0,7,0,13
1,E,1,4,1,130
1,E,1,5,1,131
1,E,1,6,1,132
1,E,1,7,1,133
1,E,1,8,1,134
1,E,1,9,1,135
0,E2,0,1,0,136
1,E2,1,1,0,137
0,E2,0,2,0,138
1,E2,1,2,0,139
1,C,1,7,0,14
0,E2,0,3,0,140
1,E2,1,3,0,141
1,E2,0,4,0,142
4,E2,1,4,0,143
3,E2,0,5,0,144
7,E2,1,5,0,145
35,E2,0,6,0,146
65,E2,1,6,0,147
1,E2,0,7,0,148
1,E2,1,7,0,149
1,C,0,8,0,15
3,E2,0,8,0,150
2,E2,1,8,0,151
3,E2,0,9,0,152
1,E2,1,9,0,153
1,E2,1,1,1,154
1,E2,1,2,1,155
1,E2,1,3,1,156
1,E2,1,4,1,157
1,E2,1,5,1,158
1,E2,1,6,1,159
3,C,1,8,0,16
1,E2,1,7,1,160
1,E2,1,8,1,161
1,E2,1,9,1,162
1,C,0,9,0,17
3,C,1,9,0,18
1,C,1,1,1,19
1,C,1,1,0,2
1,C,1,2,1,20
1,C,1,3,1,21
1,C,1,4,1,22
1,C,1,5,1,23
1,C,1,6,1,24
1,C,1,7,1,25
1,C,1,8,1,26
1,C,1,9,1,27
0,B,0,1,0,28
1,B,1,1,0,29
0,C,0,2,0,3
0,B,0,2,0,30
1,B,1,2,0,31
0,B,0,3,0,32
1,B,1,3,0,33
1,B,0,4,0,34
3,B,1,4,0,35
1,B,0,5,0,36
3,B,1,5,0,37
1,B,0,6,0,38
3,B,1,6,0,39
1,C,1,2,0,4
1,B,0,7,0,40
1,B,1,7,0,41
1,B,0,8,0,42
1,B,1,8,0,43
1,B,0,9,0,44
1,B,1,9,0,45
1,B,1,1,1,46
1,B,1,2,1,47
1,B,1,3,1,48
1,B,1,4,1,49
0,C,0,3,0,5
1,B,1,5,1,50
1,B,1,6,1,51
1,B,1,7,1,52
1,B,1,8,1,53
1,B,1,9,1,54
0,A,0,1,0,55
1,A,1,1,0,56
0,A,0,2,0,57
1,A,1,2,0,58
0,A,0,3,0,59
1,C,1,3,0,6
1,A,1,3,0,60
1,A,0,4,0,61
3,A,1,4,0,62
1,A,0,5,0,63
3,A,1,5,0,64
1,A,0,6,0,65
3,A,1,6,0,66
1,A,0,7,0,67
1,A,1,7,0,68
3,A,0,8,0,69
0,C,0,4,0,7
1,A,1,8,0,70
4,A,0,9,0,71
1,A,1,9,0,72
1,A,1,1,1,73
1,A,1,2,1,74
1,A,1,3,1,75
1,A,1,4,1,76
1,A,1,5,1,77
1,A,1,6,1,78
1,A,1,7,1,79
1,C,1,4,0,8
1,A,1,8,1,80
1,A,1,9,1,81
0,S,0,1,0,82
1,S,1,1,0,83
0,S,0,2,0,84
1,S,1,2,0,85
0,S,0,3,0,86
1,S,1,3,0,87
1,S,0,4,0,88
1,S,1,4,0,89
0,C,0,5,0,9
1,S,0,5,0,90
1,S,1,5,0,91
1,S,0,6,0,92
1,S,1,6,0,93
3,S,0,7,0,94
1,S,1,7,0,95
4,S,0,8,0,96
1,S,1,8,0,97
85,S,0,9,0,98
15,S,1,9,0,99
