EventType,FlurryEvent,TextContent,TextHideDistance,TriggerType,TriggerValue1,TriggerValue2,_key
100,TutorialStart,안녕하세요,0,12,0,0,1
100,z,내 점수가 될 젤리~,0,10,10004,360,10
100,z,이건 좀더 점수가 높은,0,10,10005,0,11
100,z,곰젤리~,0,10,10005,360,12
100,z,이건 코인이에요!,0,10,10006,0,13
100,TutorialPrologueEnd,다른 쿠키들을 살 수 있어요 ^^,0,10,10006,360,14
200,z,"앗, 장애물이다!",0,10,10007,100,15
200,z,점프해서 넘어야겠어요!,0,10,10007,100,16
201,z,지금! 점프!,0,10,10007,295,17
100,z,우와!,0,10,10007,400,18
200,z,잘하시는데요!,0,10,10008,100,19
100,z,용감한 쿠키입니다,0,12,0,360,2
200,z,앗! 큰 장애물!,0,10,10008,100,20
200,z,그렇다면 이단점프!,0,10,10008,100,21
201,z,지금! 점프!,0,10,10008,230,22
201,z,공중에서! 한번 더!,0,10,10008,300,23
100,z,우와! 멋진데요!,0,10,10008,400,24
200,z,앗! 이건 너무 큰데!,0,10,10009,0,25
200,z,"어? 밑으로 공간이 있네요
이런건 슬라이드로~",0,10,10009,0,26
202,z,지금! 오른쪽 슬라이드 꾸욱~!,0,10,10009,120,27
202,z,통과할때까지 계속 눌러주세요,1,30,10009,490,28
101,z,우와! 완벽해요!,0,10,10009,500,29
100,z,오븐속은 정말…,0,10,10001,0,3
100,z,벌써 조작법을 다 익히시다니,0,10,10001,0,30
100,TutorialControlEnd,정말 대단해요!,0,10,10001,360,31
100,z,정말 간단하죠?,0,10,10002,0,32
100,z,"그럼, 체력을 알려드리죠",0,10,10002,360,33
100,z,왼쪽위 체력바가 보이시죠?,0,10,10003,0,34
100,z,달릴때는 체력이 소모됩니다,0,10,10003,360,35
100,z,부딪히면 많이 깎이구요,0,10,10001,0,36
100,z,네? 부딪혀 보라구요?,0,10,10001,360,37
200,z,(아플텐데...),0,10,10008,100,38
200,z,악!,1,20,0,0,39
100,z,덥네요!,0,10,10001,360,4
100,z,아파요 ㅜㅜ,0,10,10008,400,40
100,z,체력이 거의 없네요,0,10,10001,0,41
100,z,곧 회복물약이 나올거에요,0,10,10001,360,42
200,z,앗싸! 회복물약!,0,10,10012,300,43
200,z,휴~ 체력 회복 완료!,0,10,10012,600,44
200,TutorialHealthEnd,"회복물약까지의 거리는
왼쪽 위에 있어요",0,10,10012,600,45
200,z,"앗, 조심! 구멍이에요!",1,10,10013,80,46
200,z,부디 조심해주세요,1,10,10013,80,47
200,z,"구멍에 빠지면 
그대로 끝이니까요!",1,10,10013,80,48
201,z,"그럼 이것도, 점프!",1,10,10013,180,49
100,z,게임방법을 모두 익혀,0,10,10002,0,5
201,z,"앗, 한번 더!",1,10,10013,280,50
100,z,오! 확실히 잘하시네요!,240,10,10013,400,51
200,z,이 젤리는 알파벳젤리!,240,10,10014,0,52
200,z,BONUSTIME… ?,240,10,10014,0,53
200,z,다 먹어볼까요?,240,10,10014,0,54
201,z,가볍게 점프!,1,10,10014,80,55
201,z,한번 더!,1,10,10014,150,56
100,z,우왓! 다 먹어버렸네!,300,40,0,0,57
200,z,오! 이곳은?,1,11,0,360,58
200,h,보너스타임에 올라왔어요!,1,11,0,380,59
100,z,꼭 탈출시켜주세요!,0,10,10002,360,6
200,h,여기선 날아다닐 수 있어요.,1,11,0,380,60
200,h,아무곳이나 누르면 올라가고,1,11,0,380,61
200,h,떼면 내려가고~,1,11,0,380,62
300,h,한번 해 보세요,300,11,0,380,63
100,e,눌렀다~ 말았다~,600,11,0,600,64
100,e,야호~~~ 신난다~~~!,400,11,0,1200,65
100,e,앗! 벌써 시간이…,0,11,0,2200,66
301,e,내려간다아아아~~,300,41,0,0,67
100,TutorialBonusTimeEnd,마지막으로 아이템이에요,0,10,10001,0,68
200,e,저기 거대화 물약이 있네요,0,10,10001,500,69
100,z,방법은 간단해요,0,10,10003,0,7
100,z,후훗!,0,10,10015,0,70
100,z,우와! 몸이 커졌다,0,10,10015,200,71
100,z,장애물들아 다 꺼져라!,0,10,10015,500,72
100,z,멋진데? ㅎㅎ,0,10,10001,0,73
200,z,이번엔  광속질주에요,0,10,10001,500,74
100,z,바람처럼 빠르게!,0,10,10016,60,75
100,z,바위처럼 단단하게!,0,10,10016,500,76
100,z,살아있네?,0,10,10017,200,77
100,z,아니 저것은,0,10,10001,0,78
200,z,곰젤리 파티 아이템이네요!,0,10,10001,500,79
100,z,"맛있는 젤리를 먹으면서
달리면 되죠",0,10,10003,360,8
100,z,일반젤리가 곰젤리로 변신!,0,10,10018,60,80
100,z,곰젤리는 점수가 제일 높죠,0,10,10018,300,81
100,z,와우! 꽤 많이 바뀌죠?,0,10,10023,0,82
200,z,앗! 자석아이템!,0,10,10023,500,83
100,z,우왓! 대박!,0,10,10019,60,84
100,z,히히,0,10,10019,360,85
100,z,마지막 아이템은,0,10,10001,0,86
200,z,코인마법 아이템이에요,0,10,10001,500,87
100,z,장애물들이 모두,0,10,10020,60,88
100,z,코인으로 변했어요!,0,10,10020,360,89
100,z,지금먹고 있는게,0,10,10004,0,9
100,z,이제 모든 준비가 끝났어요,0,10,10001,0,90
100,z,후훗,0,10,10001,360,91
100,z,튜토리얼을 다시 보시려면,0,10,10002,0,92
100,z,"설정에 있는 튜토리얼 
버튼을 눌르시면 됩니다",0,10,10002,360,93
100,z,이제 절 탈출시켜...앗!,0,10,10008,0,94
999,TutorialEnd,아야! ㅠㅠ,0,10,10008,305,95
