ConditionId_1,ConditionId_2,ConditionId_3,Parameter_1,Parameter_2,Parameter_3,Relation_1,Relation_2,Relation_3,RequiredAmount_1,RequiredAmount_2,RequiredAmount_3,_key
1,0,0,0,0,0,1,0,0,300,0,0,1
1,0,0,0,0,0,1,0,0,450000,0,0,10
9,0,0,0,0,0,1,0,0,52,0,0,100
7,7,0,0,0,0,2,2,0,100100,200100,0,10000
7,7,0,0,0,0,2,2,0,100200,201100,0,10010
7,7,0,0,0,0,2,2,0,100300,200200,0,10020
7,7,0,0,0,0,2,2,0,100500,200700,0,10030
7,7,0,0,0,0,2,2,0,100600,200500,0,10040
7,7,0,0,0,0,2,2,0,100700,201200,0,10050
7,7,0,0,0,0,2,2,0,100800,201600,0,10060
7,7,0,0,0,0,2,2,0,100900,201700,0,10070
7,7,0,0,0,0,2,2,0,101000,201900,0,10080
7,7,0,0,0,0,2,2,0,101100,201500,0,10090
18,0,0,0,0,0,1,0,0,30,0,0,101
7,7,0,0,0,0,2,2,0,101200,202000,0,10100
7,7,0,0,0,0,2,2,0,101300,201800,0,10110
7,7,0,0,0,0,2,2,0,101400,201400,0,10120
7,7,0,0,0,0,2,2,0,101500,202100,0,10130
7,7,0,0,0,0,2,2,0,101600,201300,0,10140
7,7,0,0,0,0,2,2,0,101900,202400,0,10150
7,7,0,0,0,0,2,2,0,101800,202300,0,10160
22,0,0,0,0,0,1,0,0,25,0,0,102
7,7,0,0,0,0,2,2,0,102100,202700,0,10230
7,7,0,0,0,0,2,2,0,102000,202600,0,10240
19,0,0,0,0,0,1,0,0,70,0,0,103
7,7,0,0,0,0,2,2,0,102300,202800,0,10350
7,7,0,0,0,0,2,2,0,102400,203100,0,10360
7,7,0,0,0,0,2,2,0,102200,203000,0,10370
7,7,0,0,0,0,2,2,0,102500,203300,0,10380
7,7,0,0,0,0,2,2,0,102600,203400,0,10390
5,0,0,0,0,0,2,0,0,207200,0,0,104
7,7,0,0,0,0,2,2,0,102700,203500,0,10400
7,7,0,0,0,0,2,2,0,102800,203600,0,10410
7,7,0,0,0,0,2,2,0,102900,203700,0,10420
7,7,0,0,0,0,2,2,0,100400,200600,0,10430
7,7,0,0,0,0,2,2,0,100400,200800,0,10440
7,7,0,0,0,0,2,2,0,103000,203800,0,10450
5,0,0,0,0,0,2,0,0,207400,0,0,105
4,0,0,0,0,0,1,0,0,76,0,0,106
7,7,0,0,0,0,2,2,0,103100,204000,0,10610
7,7,0,0,0,0,2,2,0,103200,204100,0,10620
7,7,0,0,0,0,2,2,0,103300,204200,0,10630
7,7,0,0,0,0,2,2,0,103400,204300,0,10640
7,7,0,0,0,0,2,2,0,103400,204400,0,10650
9,0,0,0,0,0,1,0,0,56,0,0,107
7,7,0,0,0,0,2,2,0,103500,204500,0,10780
28,0,0,500001,0,0,1,0,0,100,0,0,108
7,7,0,0,0,0,2,2,0,103600,204600,0,10800
7,7,0,0,0,0,2,2,0,103700,204700,0,10810
2,0,0,0,0,0,1,0,0,299,0,0,109
7,7,0,0,0,0,2,2,0,103900,205000,0,10900
7,7,0,0,0,0,2,2,0,103800,204800,0,10910
7,7,0,0,0,0,2,2,0,104200,205100,0,10920
7,7,0,0,0,0,2,2,0,104300,205200,0,10930
7,7,0,0,0,0,2,2,0,104400,205300,0,10940
7,7,0,0,0,0,2,2,0,104500,205600,0,10980
7,7,0,0,0,0,2,2,0,104600,205700,0,10990
1,0,0,0,0,0,1,0,0,600000,0,0,11
5,0,0,0,0,0,2,0,0,207800,0,0,110
7,7,0,0,0,0,2,2,0,104600,205800,0,11000
