friendWinCount,reward1qty,reward1type,reward2qty,reward2type,reward3qty,reward3type,_key
1,,,,,30,A,1
45,2,G,5000,C,100,A,10
50,3,G,5000,C,110,A,11
60,3,G,6000,C,110,A,12
70,3,G,6000,C,120,A,13
80,3,G,7000,C,120,A,14
90,3,G,7000,C,130,A,15
100,4,G,7000,C,130,A,16
110,4,G,8000,C,130,A,17
120,4,G,8000,C,140,A,18
130,4,G,9000,C,140,A,19
5,,,1000,C,30,A,2
140,4,G,9000,C,150,A,20
150,5,G,9000,C,150,A,21
160,5,G,10000,C,150,A,22
170,5,G,10000,C,160,A,23
180,5,G,11000,C,160,A,24
190,5,G,11000,C,170,A,25
200,6,G,11000,C,170,A,26
220,6,G,12000,C,170,A,27
240,6,G,12000,C,180,A,28
260,6,G,13000,C,180,A,29
10,1,G,1000,C,30,A,3
280,6,G,13000,C,190,A,30
300,7,G,13000,C,190,A,31
350,7,G,14000,C,190,A,32
400,7,G,14000,C,200,A,33
450,7,G,15000,C,200,A,34
500,8,G,15000,C,200,A,35
550,8,G,16000,C,200,A,36
600,8,G,16000,C,210,A,37
650,8,G,17000,C,210,A,38
700,8,G,17000,C,220,A,39
15,1,G,2000,C,30,A,4
750,8,G,18000,C,220,A,40
800,9,G,18000,C,220,A,41
850,9,G,19000,C,220,A,42
900,9,G,19000,C,230,A,43
950,9,G,20000,C,230,A,44
1000,10,G,20000,C,230,A,45
1100,10,G,21000,C,230,A,46
1200,10,G,21000,C,240,A,47
1300,10,G,22000,C,240,A,48
1400,10,G,22000,C,250,A,49
20,1,G,2000,C,60,A,5
1500,10,G,23000,C,250,A,50
1600,10,G,23000,C,260,A,51
1700,10,G,24000,C,260,A,52
1800,10,G,24000,C,270,A,53
1900,10,G,25000,C,270,A,54
2000,11,G,25000,C,270,A,55
2200,11,G,26000,C,270,A,56
2400,11,G,26000,C,280,A,57
2600,11,G,27000,C,280,A,58
2800,11,G,27000,C,290,A,59
25,1,G,3000,C,60,A,6
3000,12,G,28000,C,290,A,60
3500,12,G,28000,C,300,A,61
4000,12,G,29000,C,300,A,62
4500,12,G,29000,C,310,A,63
5000,13,G,30000,C,320,A,64
30,2,G,3000,C,80,A,7
35,2,G,4000,C,80,A,8
40,2,G,4000,C,100,A,9
