filename,status,rows,csv_path,error
AbilityGroup.djb,ok,88,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/AbilityGroup.csv,
AbusingExceptionDevice.djb,ok,38,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/AbusingExceptionDevice.csv,
ActivePoint.djb,ok,10,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/ActivePoint.csv,
AddingPlatformMagicStat.djb,ok,70,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/AddingPlatformMagicStat.csv,
Artifact.djb,ok,78,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/Artifact.csv,
CRCAchievingCoinEvent.djb,ok,5,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/CRCAchievingCoinEvent.csv,
CRCCommonNetworkErrorInfo.djb,ok,99,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/CRCCommonNetworkErrorInfo.csv,
CRCCreditStage.djb,ok,1,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/CRCCreditStage.csv,
CRCEventInfo.djb,ok,164,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/CRCEventInfo.csv,
CRCEventInfoCategory.djb,ok,1,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/CRCEventInfoCategory.csv,
CRCEventMissionReward.djb,ok,450,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/CRCEventMissionReward.csv,
CRCGameCountEvent.djb,ok,5,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/CRCGameCountEvent.csv,
CRCImageEvent.djb,ok,50,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/CRCImageEvent.csv,
CRCMiniGameFlappyBird.djb,ok,26,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/CRCMiniGameFlappyBird.csv,
CRCScoreEvent.djb,ok,5,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/CRCScoreEvent.csv,
CRCSerialRequestAPI.djb,ok,10,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/CRCSerialRequestAPI.csv,
CRCTimeDeal.djb,ok,3,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/CRCTimeDeal.csv,
CRXAlphabetCardEventData.djb,ok,8,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/CRXAlphabetCardEventData.csv,
CRXAlphabetCardJellyProb.djb,ok,31,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/CRXAlphabetCardJellyProb.csv,
CRXAppRateSequence.djb,ok,12,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/CRXAppRateSequence.csv,
