image,winCount,_key
map_rankLevel00.png,0,1
map_rankLevel09.png,1000,10
map_rankLevel10.png,1500,11
map_rankLevel11.png,2000,12
map_rankLevel12.png,2500,13
map_rankLevel13.png,3000,14
map_rankLevel14.png,4000,15
map_rankLevel15.png,5000,16
map_rankLevel16.png,6000,17
map_rankLevel17.png,7000,18
map_rankLevel18.png,9000,19
map_rankLevel01.png,1,2
map_rankLevel19.png,11000,20
map_rankLevel20.png,13000,21
map_rankLevel21.png,15000,22
map_rankLevel22.png,18000,23
map_rankLevel23.png,23000,24
map_rankLevel24.png,30000,25
map_rankLevel25.png,40000,26
map_rankLevel26.png,55000,27
map_rankLevel27.png,70000,28
map_rankLevel28.png,85000,29
map_rankLevel02.png,25,3
map_rankLevel03.png,50,4
map_rankLevel04.png,75,5
map_rankLevel05.png,100,6
map_rankLevel06.png,250,7
map_rankLevel07.png,500,8
map_rankLevel08.png,750,9
